Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
25,7,1,0,16,17,10,6,6,9,0,0,2,1,0,1,19,7,9,4
0,7,1,0,0,4,15,19,6,9,1,0,1,1,0,0,22,10,10,0
22,7,2,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,2
7,7,3,0,15,0,11,11,6,9,0,0,2,1,1,0,5,3,4,4
22,7,3,0,16,17,10,6,6,9,0,0,2,1,0,1,19,7,9,2
22,7,4,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,2
21,7,4,0,20,24,1,1,6,9,0,0,1,1,0,3,13,7,6,7
22,7,4,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,4
19,7,0,0,1,3,11,7,6,9,0,0,2,1,0,0,21,13,5,11
21,7,0,0,10,2,11,9,6,9,0,2,1,0,0,1,17,7,8,7
1,7,0,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,7
1,7,1,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,7
11,7,2,0,13,22,8,8,6,9,0,0,4,1,0,0,3,3,3,7
11,7,2,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,1
22,7,2,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,4
14,7,4,0,11,11,13,13,6,9,0,0,0,1,0,0,4,5,3,7
22,7,4,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,2
20,7,0,0,3,23,15,10,6,9,0,0,0,1,0,0,18,5,10,7
11,7,3,0,5,14,10,6,6,9,0,0,2,0,0,2,6,2,5,7
22,8,2,0,12,11,11,16,0,4,0,0,2,0,0,1,16,1,11,2
10,8,2,0,19,7,2,1,0,4,0,1,0,0,0,0,15,11,5,7
11,8,0,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,1
13,8,0,0,20,24,1,1,0,4,0,0,1,1,0,3,13,7,6,11
27,8,4,0,13,22,8,8,0,4,0,0,4,1,0,0,3,3,3,4
18,8,0,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,7
24,8,0,0,20,24,1,1,0,4,0,0,1,1,0,3,13,7,6,6
22,8,1,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,1
27,8,2,0,2,13,3,2,0,4,0,0,0,1,1,0,9,12,2,4
18,8,2,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,7
22,8,4,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,2
18,8,0,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,7
18,8,3,0,10,14,9,17,0,4,0,0,1,0,1,4,17,0,12,7
22,8,3,0,10,2,11,9,0,4,0,2,1,0,0,1,17,7,8,4
18,8,0,0,10,14,9,17,0,4,0,0,1,0,1,4,17,0,12,7
22,8,0,0,3,23,15,10,0,4,0,0,0,1,0,0,18,5,10,2
22,8,0,0,20,24,1,1,0,4,0,0,1,1,0,3,13,7,6,1
23,8,1,0,16,17,10,6,0,4,0,0,2,1,0,1,19,7,9,7
11,8,3,0,17,22,9,5,0,4,0,0,0,1,0,0,3,4,3,4
27,8,4,0,10,14,9,17,0,4,0,0,1,0,1,4,17,0,12,7
22,8,4,0,13,22,8,8,0,4,0,0,4,1,0,0,3,3,3,4
22,9,1,0,4,18,4,0,7,4,0,0,0,0,0,0,1,2,1,2
22,9,0,0,0,1,7,9,7,4,0,0,0,0,0,0,14,7,7,4
22,9,1,0,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,4
19,9,1,0,10,9,10,14,7,4,0,0,1,1,0,0,24,2,16,7
22,9,2,0,1,3,11,7,7,4,0,0,2,1,0,0,21,13,5,2
22,9,0,0,0,1,7,9,7,4,0,0,0,0,0,0,14,7,7,3
22,9,1,0,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,3
22,9,3,0,17,15,9,12,7,4,0,0,1,1,0,1,8,6,5,4
21,9,4,0,13,22,8,8,7,4,0,0,4,1,0,0,3,3,3,7
14,9,0,3,17,15,9,12,7,4,0,0,1,1,0,1,8,6,5,10
0,9,0,3,13,22,8,8,7,4,1,0,4,1,0,0,3,3,3,0
0,9,0,3,6,12,6,1,7,4,1,0,1,0,0,2,6,4,4,0
22,9,1,3,6,12,6,1,7,4,0,0,1,0,0,2,6,4,4,2
22,9,1,3,0,1,7,9,7,4,0,0,0,0,0,0,14,7,7,2
0,9,1,3,16,17,10,6,7,4,1,0,2,1,0,1,19,7,9,0
0,9,1,3,0,4,15,19,7,4,1,0,1,1,0,0,22,10,10,0
18,9,2,3,6,12,6,1,7,4,0,0,1,0,0,2,6,4,4,3
22,9,2,3,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,3
0,9,2,3,21,8,9,4,7,4,1,0,3,1,0,0,7,4,5,0
22,9,4,3,12,11,11,16,7,4,0,0,2,0,0,1,16,1,11,1
22,9,4,3,3,23,15,10,7,4,0,0,0,1,0,0,18,5,10,3
22,9,4,3,13,22,8,8,7,4,0,0,4,1,0,0,3,3,3,4
