day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
0,0,0,6,30,9,0,42,98,150,13,93,5,6
1,0,0,6,34,4,13,37,114,150,10,97,4,6
2,0,0,3,55,13,19,12,58,146,3,60,1,6
3,0,0,2,61,4,23,0,4,136,0,3,0,6
4,0,0,4,50,7,0,40,95,18,12,97,5,6
5,0,0,8,40,5,0,99,133,59,52,156,64,3
6,0,0,10,27,4,0,140,165,83,78,11,110,3
7,0,0,7,46,6,0,127,22,100,73,27,109,3
8,0,0,2,60,4,2,19,152,101,4,8,3,6
9,0,0,5,52,3,0,60,161,114,13,23,9,6
10,0,0,8,38,5,0,110,24,128,58,36,99,3
11,0,0,3,54,10,0,107,32,138,66,45,109,3
12,0,0,4,57,12,12,17,143,40,5,149,2,6
13,0,0,7,51,11,5,26,119,152,10,118,4,6
14,0,0,5,53,8,25,16,95,148,4,91,1,6
15,0,0,6,61,4,7,2,5,150,0,57,0,6
16,0,0,7,61,7,6,3,2,152,0,2,0,6
17,0,0,8,51,5,3,23,6,164,7,58,2,6
18,0,0,8,28,7,1,84,118,32,47,130,13,6
19,0,0,7,53,7,4,28,98,73,9,129,4,6
20,0,0,7,51,5,0,89,139,85,48,165,62,3
21,0,0,8,40,8,1,79,146,103,46,172,63,6
22,0,0,9,35,9,1,92,155,118,54,16,85,3
23,0,0,9,39,8,0,121,14,130,73,33,112,3
24,0,0,8,37,6,0,128,33,141,74,50,116,3
25,0,0,8,37,9,0,129,44,157,79,67,20,3
26,0,0,11,26,9,0,145,68,173,100,80,41,3
27,0,0,9,28,5,0,146,84,180,88,90,36,3
28,0,0,9,20,4,3,84,48,175,45,75,86,6
29,0,0,10,23,5,0,143,74,192,84,87,31,3
0,1,0,6,41,10,10,29,58,169,11,62,4,6
1,1,0,4,48,10,12,21,57,166,8,61,3,6
2,1,0,9,49,11,7,35,59,183,13,91,5,6
3,1,0,10,51,8,0,86,119,47,49,133,14,6
4,1,0,10,39,5,0,121,149,76,66,167,95,3
5,1,0,9,36,5,0,130,11,96,73,22,108,3
6,1,0,12,37,9,2,85,163,104,50,20,81,6
7,1,0,10,41,10,0,118,24,121,76,34,114,3
8,1,0,9,41,5,14,44,150,183,11,159,6,6
9,1,0,10,42,4,7,44,138,184,11,134,5,6
10,1,0,10,49,5,0,90,154,48,48,162,62,6
11,1,0,8,48,4,1,68,152,75,15,168,9,6
12,1,0,11,54,6,0,93,163,97,51,17,82,6
13,1,0,11,34,4,6,65,151,61,14,165,8,6
14,1,0,7,53,10,4,31,130,40,11,135,5,6
15,1,0,5,49,12,0,57,146,68,7,164,4,6
16,1,0,6,43,5,0,101,160,90,53,13,83,3
17,1,0,8,41,5,0,117,22,110,64,30,102,3
18,1,0,12,32,8,0,139,21,126,89,49,22,3
19,1,0,10,38,6,1,92,23,139,50,39,91,3
20,1,0,10,43,8,0,117,49,156,70,72,117,3
21,1,0,5,52,9,1,61,40,163,18,68,67,6
22,1,0,4,39,13,4,47,8,155,18,34,61,6
23,1,0,5,51,7,1,52,162,162,14,32,12,6
24,1,0,8,38,9,0,109,24,181,66,52,111,3
25,1,0,13,26,10,0,147,43,196,20,76,43,3
26,1,0,13,21,4,0,153,70,7,96,89,43,3
27,1,0,10,49,6,0,126,80,11,73,101,23,3
28,1,0,9,46,6,0,127,88,13,73,105,25,3
29,1,0,8,52,6,0,117,92,16,65,110,21,3
30,1,0,12,37,8,0,131,104,22,80,122,45,3
0,2,0,13,18,5,0,78,121,1,43,120,9,6
1,2,0,12,28,3,4,75,133,0,17,131,8,6
2,2,0,12,36,5,3,71,132,0,17,131,8,6
3,2,0,11,42,4,0,114,155,53,58,163,86,3
4,2,0,11,38,4,0,129,13,80,70,16,103,3
5,2,0,9,48,5,0,125,28,102,70,30,108,3
6,2,0,9,42,7,0,126,35,119,72,42,114,3
7,2,0,9,33,9,3,72,15,116,45,29,65,6
8,2,0,12,32,8,0,133,34,132,81,47,124,3
9,2,0,12,28,5,0,144,50,143,86,69,24,3
10,2,0,12,36,4,0,144,69,160,83,79,27,3
11,2,0,12,24,4,3,91,36,158,47,63,93,6
12,2,0,12,36,6,0,130,52,176,75,78,17,3
13,2,0,10,39,5,0,130,69,193,74,83,20,3
14,2,0,13,28,4,3,97,36,191,56,70,104,3
15,2,0,13,34,9,3,87,18,190,50,44,93,3
16,2,0,14,25,9,0,148,39,4,103,73,39,3
17,2,0,13,27,9,0,149,62,8,103,84,47,3
18,2,0,12,35,10,0,149,76,12,103,100,51,3
19,2,0,12,41,10,0,141,86,15,97,104,50,3
20,2,0,13,31,10,0,142,94,21,100,112,55,3
21,2,0,13,28,9,0,146,106,29,105,124,69,3
22,2,0,13,26,7,0,150,111,36,21,128,72,1
23,2,0,11,37,5,0,144,122,44,98,137,70,3
24,2,0,12,33,6,0,144,124,50,93,138,68,1
25,2,0,8,51,9,0,120,126,54,65,140,35,2
26,2,0,10,55,12,0,113,129,56,62,141,33,1
27,2,0,11,37,7,0,149,134,58,85,152,60,2
28,2,0,12,21,9,0,152,136,62,29,154,88,3
29,2,0,12,43,8,8,58,83,49,17,110,93,6
30,2,0,5,53,12,20,18,159,170,6,164,3,4
0,3,0,2,49,8,36,11,4,149,2,4,1,5
1,3,0,0,58,6,18,1,0,145,0,0,0,4
2,3,0,2,51,6,26,7,3,149,1,3,0,6
3,3,0,6,46,8,1,49,6,27,14,62,5,6
4,3,0,6,48,7,0,88,98,63,50,129,14,3
5,3,0,6,47,10,1,70,100,87,44,132,9,6
6,3,0,8,44,8,3,50,96,81,15,129,6,6
7,3,0,7,46,8,9,33,59,167,11,91,4,6
8,3,0,7,50,6,10,22,55,167,7,59,2,6
9,3,0,10,46,3,16,29,56,172,7,60,3,6
10,3,0,7,50,12,16,25,6,167,11,58,3,6
11,3,0,6,60,4,0,54,59,35,12,95,5,6
12,3,0,2,58,12,31,5,4,149,1,4,0,6
13,3,0,0,49,14,37,13,2,145,4,2,1,6
14,3,0,1,55,6,4,8,1,147,2,1,0,6
15,3,0,7,38,5,0,76,96,27,19,117,8,6
16,3,0,8,25,5,0,136,140,65,77,160,101,3
17,3,0,9,22,2,0,149,164,88,80,14,113,3
18,3,0,6,30,5,0,148,24,105,90,30,122,3
19,3,0,5,57,9,0,105,30,120,63,37,104,1
20,3,0,8,28,2,0,137,41,134,71,55,115,3
21,3,0,8,23,10,6,74,9,106,46,25,67,6
22,3,0,9,27,2,5,63,152,82,12,171,7,6
23,3,0,6,38,10,6,48,131,25,15,134,7,6
24,3,0,3,54,12,33,14,95,151,4,91,1,6
25,3,0,8,27,2,0,94,138,33,47,145,14,6
26,3,0,8,39,2,0,119,156,66,58,166,92,3
27,3,0,9,20,5,7,73,147,171,18,150,9,6
28,3,0,3,53,7,16,13,61,151,3,91,1,6
29,3,0,2,51,5,14,9,6,149,2,58,1,6
0,1,0,12,28,5,0,144,152,164,11,91,4,9
31,1,0,12,28,5,0,144,152,164,11,91,4,9
32,4,1,19,0,0,39,173,166,198,106,174,125,0
0,0,0,9,44,3,7,24,58,165,6,61,2,6
1,0,0,7,46,4,27,21,60,152,6,62,2,6
2,0,0,6,53,5,21,15,56,150,3,59,1,6
3,0,0,7,37,5,0,81,130,26,45,132,10,6
4,0,0,9,33,5,2,72,138,41,18,147,9,6
5,0,0,12,27,2,1,104,157,71,52,169,80,3
6,0,0,12,17,8,2,118,165,79,71,10,102,3
7,0,0,5,24,8,13,55,150,148,15,158,8,6
8,0,0,4,32,9,1,76,158,20,46,164,15,6
9,0,0,7,14,6,0,149,29,60,95,26,16,3
10,0,0,8,15,12,0,155,47,83,32,48,49,3
11,0,0,4,31,8,0,144,67,99,96,66,31,3
12,0,0,7,25,6,21,56,16,152,14,11,9,6
13,0,0,4,52,7,7,20,140,147,5,144,3,6
14,0,0,5,62,6,0,45,148,20,12,157,6,6
15,0,0,6,59,6,4,13,115,164,2,116,1,6
16,0,0,8,42,8,32,34,102,164,11,96,4,6
17,0,0,10,35,1,38,41,119,166,9,118,4,6
18,0,0,9,40,5,30,39,117,165,10,117,4,6
19,0,0,8,45,5,2,30,101,164,8,95,3,6
20,0,0,9,28,5,0,124,156,46,68,163,95,3
21,0,0,10,19,5,11,77,154,166,19,160,11,6
22,0,0,10,32,7,8,66,146,166,16,149,8,6
23,0,0,12,41,7,0,116,7,40,67,173,97,3
24,0,0,11,43,7,0,122,26,69,71,24,107,3
25,0,0,13,35,7,0,137,41,91,82,38,120,3
26,0,0,13,28,6,0,146,64,111,91,64,26,3
27,0,0,14,10,4,0,164,89,124,27,82,55,3
28,0,0,14,9,4,6,124,45,94,66,46,110,3
29,0,0,11,15,6,15,83,21,168,45,16,62,8
0,1,0,5,31,9,22,36,96,168,12,92,5,6
1,1,0,10,21,7,0,135,152,43,80,161,105,3
2,1,0,11,29,8,1,112,163,74,65,6,96,3
3,1,0,11,31,9,0,138,31,95,91,29,124,3
4,1,0,11,18,9,0,154,51,115,25,53,41,3
5,1,0,12,15,6,3,112,35,113,61,40,104,3
6,1,0,15,16,4,5,114,28,92,59,28,96,3
7,1,0,12,20,9,34,88,164,186,52,170,79,3
8,1,0,13,16,6,17,96,160,188,53,166,80,3
9,1,0,11,24,7,26,73,153,185,43,160,12,6
10,1,0,11,29,6,24,67,147,185,16,150,8,6
11,1,0,13,17,4,0,152,25,51,94,22,121,3
12,1,0,16,18,4,6,115,15,2,60,11,94,3
13,1,0,14,10,9,2,144,27,19,29,7,126,9
14,1,0,11,18,8,0,154,46,64,23,45,37,3
15,1,0,8,56,8,0,110,53,88,65,55,111,3
16,1,0,9,54,8,0,111,65,108,65,65,113,3
17,1,0,10,41,6,0,123,79,123,70,76,119,3
18,1,0,11,31,7,0,139,90,137,85,85,32,3
19,1,0,13,23,7,0,151,105,154,101,103,52,3
20,1,0,13,4,9,0,169,112,174,41,114,87,3
21,1,0,9,21,9,0,158,125,189,31,125,75,3
22,1,0,8,44,8,0,132,128,197,81,127,48,3
23,1,0,10,36,8,11,59,64,131,16,68,64,6
24,1,0,16,37,18,12,64,18,28,11,15,7,6
25,1,0,12,31,1,2,77,10,52,16,10,10,6
26,1,0,6,59,9,0,85,19,78,50,18,81,6
27,1,0,10,30,7,0,134,37,98,79,35,118,3
28,1,0,11,32,7,0,139,54,117,86,56,22,3
29,1,0,13,29,7,0,144,78,133,93,75,33,3
30,1,0,14,28,6,0,148,91,144,94,87,38,3
0,2,0,15,25,5,0,77,117,3,43,118,8,6
1,2,0,17,7,5,0,166,10,57,33,9,34,3
2,2,0,16,6,8,0,167,43,86,40,41,59,3
3,2,0,15,8,6,0,168,75,109,37,73,70,3
4,2,0,11,15,8,1,141,77,125,42,74,29,3
5,2,0,7,27,5,25,53,12,182,13,8,8,6
6,2,0,11,36,4,24,51,148,187,12,151,6,6
7,2,0,14,29,2,0,133,14,55,70,12,101,3
8,2,0,16,16,3,0,159,41,84,102,38,30,3
9,2,0,16,12,6,2,148,38,92,93,36,21,3
10,2,0,17,5,6,0,170,72,114,39,72,71,3
11,2,0,16,1,8,4,165,48,107,36,51,56,3
12,2,0,12,7,7,2,141,42,113,87,43,19,3
13,2,0,14,13,4,0,160,71,129,22,71,45,3
14,2,0,12,19,4,3,106,42,127,55,54,98,3
15,2,0,17,14,1,1,161,73,142,101,77,40,3
16,2,0,18,2,18,0,172,103,159,37,98,73,3
17,2,0,14,10,5,0,171,108,178,38,108,77,3
18,2,0,12,39,6,1,100,105,194,54,106,113,3
19,2,0,13,54,6,0,104,107,6,57,111,118,3
20,2,0,13,44,6,0,122,109,10,69,123,28,3
21,2,0,14,26,5,0,150,123,14,91,126,54,3
22,2,0,13,16,7,0,157,127,17,26,136,74,3
23,2,0,12,11,6,0,162,135,23,28,139,78,3
24,2,0,11,13,9,0,162,137,30,35,142,90,3
25,2,0,10,10,7,0,163,144,38,30,153,89,3
26,2,0,13,27,5,0,156,145,45,20,155,76,3
27,2,0,12,29,5,4,80,110,37,44,99,103,6
28,2,0,12,26,8,5,87,63,24,49,99,101,3
29,2,0,11,22,6,0,147,81,31,92,107,46,3
30,2,0,7,32,10,0,146,90,39,104,113,58,3
0,3,0,6,58,7,0,4,1,165,1,1,0,6
1,3,0,5,40,10,0,69,61,33,43,115,8,6
2,3,0,5,48,7,0,95,117,65,54,143,64,3
3,3,0,7,39,6,2,62,114,72,15,143,7,6
4,3,0,7,31,3,28,43,113,167,10,97,4,6
5,3,0,11,44,5,35,38,97,182,10,94,4,6
6,3,0,8,35,6,0,103,133,42,57,146,81,3
7,3,0,7,60,5,0,98,142,70,51,162,66,3
8,3,0,7,53,6,0,102,152,91,55,5,84,3
9,3,0,6,47,6,11,27,120,165,8,119,3,6
10,3,0,7,46,5,0,80,141,35,44,148,11,6
11,3,0,8,45,5,0,108,156,67,57,167,86,3
