variance,skewness,curtosis,entropy,class
1106,1068,198,652,0
1249,1042,220,424,0
1146,285,800,803,0
1069,1134,80,195,0
645,214,1010,517,0
1238,1144,83,237,0
1102,692,658,927,0
899,113,1164,604,0
1039,877,407,602,0
823,1108,248,571,0
785,1080,258,558,0
1175,281,868,1013,0
872,1012,563,241,0
375,1212,886,258,0
1063,1076,180,614,0
1266,254,958,1117,0
978,698,599,936,0
719,668,1000,942,0
812,190,1157,343,0
1308,1219,53,141,0
1329,1025,207,638,0
644,214,1010,517,0
1162,1172,95,152,0
742,1089,306,398,0
1245,1155,30,183,0
702,169,1156,265,0
772,244,1052,597,0
541,1056,841,185,0
1336,1154,46,229,0
1281,257,952,1063,0
560,397,1029,811,0
817,776,944,908,0
1229,1004,233,525,0
457,1127,784,84,0
369,503,1151,946,0
945,923,399,581,0
980,891,449,580,0
1109,504,771,992,0
1252,714,266,847,0
1079,1145,100,207,0
1211,1074,175,606,0
568,1113,105,23,0
591,1117,460,355,0
748,884,860,795,0
1003,959,401,904,0
482,1138,98,11,0
897,931,612,329,0
482,1138,98,11,0
1154,897,221,582,0
838,728,921,800,0
1231,189,953,613,0
1309,809,317,1048,0
1033,881,437,416,0
957,907,368,463,0
1283,864,216,633,0
1275,501,772,1081,0
962,941,426,871,0
1330,852,254,890,0
1032,228,1009,1043,0
484,1231,470,15,0
1006,468,1013,707,0
665,865,786,640,0
1225,1229,68,111,0
859,333,761,704,0
1315,703,369,1126,0
956,648,826,822,0
1256,230,909,854,0
943,1136,168,278,0
753,1018,487,291,0
612,1092,387,312,0
1169,294,866,903,0
1203,475,714,1142,0
1269,1161,84,176,0
1209,252,964,1062,0
1242,1215,34,100,0
929,765,630,882,0
1131,1031,211,367,0
602,905,787,575,0
630,1010,699,541,0
770,808,951,1010,0
993,1100,135,511,0
1247,623,695,1007,0
1290,1063,188,452,0
869,1017,496,254,0
1047,932,423,1014,0
1183,653,673,974,0
438,594,1123,1050,0
730,947,680,722,0
1201,280,824,963,0
1134,505,827,1052,0
816,1008,199,509,0
1191,772,657,873,0
1230,1046,200,430,0
946,142,1140,824,0
1052,582,832,947,0
506,205,1158,285,0
1012,528,637,1019,0
909,104,1150,754,0
1137,1217,80,75,0
183,1232,884,54,0
1059,176,967,488,0
1250,292,896,1129,0
1299,371,635,1068,0
1055,204,980,709,0
1216,444,697,1041,0
1093,540,813,1153,0
930,1200,123,87,0
317,1024,310,371,0
1029,1137,58,158,0
1008,1210,138,139,0
1176,212,969,746,0
821,875,556,771,0
1043,1142,153,297,0
1219,948,353,987,0
857,959,354,405,0
955,679,396,741,0
1152,993,292,808,0
903,943,511,909,0
1007,492,856,1143,0
741,241,1015,698,0
1072,1201,130,140,0
1193,1191,61,88,0
393,1103,785,70,0
387,597,1119,1018,0
463,1157,722,67,0
1019,976,361,855,0
239,1255,945,43,0
1129,277,852,728,0
1265,547,549,1145,0
1074,532,785,1104,0
1050,223,966,697,0
1301,1069,192,412,0
888,904,600,929,0
659,866,819,667,0
449,1125,683,62,0
1208,1227,114,144,0
1317,1131,10,166,0
1293,1045,206,509,0
1307,1196,66,123,0
568,1113,105,23,0
898,516,1006,1095,0
848,383,989,516,0
1212,739,329,943,0
1157,264,957,1008,0
1142,1171,93,129,0
670,263,934,519,0
1144,499,717,1137,0
853,398,1037,1099,0
1108,519,648,951,0
988,991,553,302,0
1248,1047,227,404,0
340,1242,901,217,0
1297,442,576,1088,0
1070,1222,60,71,0
879,1041,535,324,0
950,339,1044,730,0
942,207,1074,827,0
1168,242,922,781,0
926,210,965,602,0
807,824,836,855,0
1295,802,327,1013,0
1095,1064,149,473,0
617,1023,588,182,0
939,1121,136,212,0
1280,568,536,1133,0
1214,262,888,829,0
768,1067,384,373,0
759,958,276,284,0
333,1241,822,64,0
609,914,318,307,0
680,421,728,620,0
1190,291,855,1055,0
357,527,1175,1034,0
440,1204,826,51,0
870,636,875,868,0
1100,241,954,739,0
620,1104,103,47,0
1111,874,303,709,0
573,312,1155,862,0
936,1152,173,272,0
841,693,581,732,0
578,319,1142,770,0
502,1064,793,116,0
1010,992,383,540,0
343,1243,935,81,0
427,1214,803,119,0
1048,213,970,731,0
864,919,530,789,0
1251,248,919,840,0
987,185,1102,612,0
741,241,1015,698,0
1171,1173,67,91,0
815,410,988,938,0
1276,699,647,1001,0
240,1249,653,7,0
317,1024,310,371,0
1205,982,287,546,0
875,900,585,351,0
1182,300,874,1072,0
1333,886,197,696,0
282,1209,863,209,0
1178,249,962,839,0
483,1138,98,11,0
1213,1182,94,121,0
722,1000,638,532,0
1274,619,490,1124,0
1312,858,193,632,0
961,1115,117,441,0
902,1002,444,370,0
910,353,1048,574,0
1228,1109,32,118,0
1086,1176,56,77,0
969,1032,102,445,0
699,627,1030,923,0
1215,498,676,983,0
1335,687,347,1116,0
799,731,584,742,0
800,522,1062,664,0
570,1005,725,194,0
419,1183,184,46,0
263,1251,926,200,0
941,925,406,833,0
766,484,1078,611,0
1261,1195,33,130,0
546,819,936,676,0
806,717,1001,996,0
680,421,728,620,0
194,1168,345,57,0
1031,266,801,675,0
1318,561,544,1147,0
416,562,1115,1054,0
241,1244,933,59,0
925,417,1018,702,0
661,362,1121,865,0
986,672,617,915,0
895,607,842,753,0
417,1132,872,65,0
1150,302,894,1065,0
1177,513,721,1136,0
937,1133,158,251,0
1051,960,377,835,0
409,563,1124,994,0
839,767,747,679,0
990,953,374,797,0
944,1124,151,425,0
1217,278,816,963,0
843,474,1019,1092,0
896,340,1038,699,0
651,494,663,654,0
755,1058,309,344,0
1253,214,941,778,0
682,1167,305,106,0
681,1110,389,367,0
1311,723,339,1076,0
1180,1199,65,73,0
1204,247,974,1132,0
1027,275,849,831,0
915,890,621,1011,0
1120,500,696,1047,0
1022,624,830,861,0
1124,978,308,528,0
1035,675,632,998,0
860,1003,382,308,0
1288,977,146,482,0
949,930,402,535,0
835,835,744,799,0
589,1146,563,401,0
1143,1151,64,99,0
741,241,1015,698,0
1285,633,509,1131,0
1141,1162,57,80,0
1314,1158,97,211,0
1243,412,820,1069,0
982,944,464,894,0
1310,434,559,1073,0
1066,912,282,680,0
1188,401,609,916,0
808,200,1162,364,0
736,1017,203,359,0
876,1015,512,246,0
622,374,1131,1025,0
1192,274,844,912,0
1005,232,963,691,0
642,344,1145,967,0
419,1183,184,46,0
855,136,1149,538,0
803,217,1146,383,0
737,1197,331,150,0
660,682,999,973,0
1046,911,560,426,0
964,762,633,666,0
267,1245,554,2,0
1202,901,224,717,0
878,424,1025,687,0
951,535,978,806,0
907,899,431,327,0
603,966,272,238,0
791,1035,503,333,0
771,507,1047,616,0
928,1096,152,447,0
644,214,1010,517,0
1015,950,489,972,0
845,1078,356,438,0
311,1238,885,222,0
934,1194,178,234,0
760,1148,340,376,0
637,1112,145,85,0
837,198,1167,338,0
1257,1174,59,101,0
1224,1013,202,500,0
1182,282,876,866,0
1292,187,960,709,0
833,624,943,818,0
905,855,295,476,0
781,1055,271,536,0
644,214,1010,517,0
1325,859,251,797,0
977,872,659,418,0
831,203,1138,408,0
1011,621,739,767,0
670,263,934,519,0
1119,1139,90,213,0
347,605,1133,1029,0
1148,1163,87,144,0
1089,544,802,1140,0
1246,643,705,1038,0
572,134,1159,410,0
1218,1130,13,66,0
1085,949,416,642,0
846,678,923,804,0
763,635,879,723,0
894,541,991,1024,0
1096,546,732,1135,0
1020,879,256,589,0
1160,552,789,1020,0
1075,231,995,1122,0
1170,804,654,858,0
757,628,1031,1006,0
747,869,847,739,0
861,940,538,873,0
1289,1022,237,576,0
434,1234,565,22,0
1184,446,686,1079,0
695,1190,334,167,0
1103,971,349,826,0
317,1024,310,371,0
1198,472,773,1026,0
1054,514,764,872,0
1030,705,674,889,0
61,1059,938,534,0
428,1177,843,52,0
670,263,934,519,0
644,214,1010,517,0
733,860,821,718,0
1094,1123,77,163,0
566,1034,797,173,0
984,1099,140,523,0
1040,1071,189,562,0
981,1207,143,122,0
244,1235,791,61,0
983,225,990,815,0
1061,724,689,838,0
852,839,825,950,0
994,480,738,1090,0
1328,868,230,764,0
1153,576,766,1037,0
1087,916,298,773,0
1041,1014,469,301,0
1083,710,580,726,0
914,549,720,1012,0
923,1156,159,253,0
1206,237,918,774,0
707,1225,338,146,0
874,1087,241,567,0
388,427,1110,633,0
683,1206,337,117,0
1042,1020,122,466,0
300,1237,900,69,0
1002,1095,99,215,0
1227,642,613,863,0
820,426,1089,695,0
1316,1169,71,190,0
726,655,996,922,0
1135,1169,76,94,0
675,1189,320,135,0
933,997,540,381,0
215,1223,805,202,0
1259,283,917,1084,0
259,1236,890,223,0
1132,1192,62,78,0
545,1049,286,216,0
904,956,607,328,0
727,867,774,724,0
1130,1164,92,186,0
256,1246,592,3,0
790,829,344,379,0
979,709,596,935,0
538,889,746,481,0
1241,459,820,1085,0
1014,870,590,485,0
795,402,1095,568,0
917,154,1134,548,0
884,961,631,962,0
1026,288,851,851,0
651,494,663,654,0
684,994,727,255,0
614,1030,711,214,0
584,910,716,489,0
1220,533,656,1036,0
692,969,597,664,0
880,471,1016,1062,0
1179,470,741,1130,0
1126,1150,89,199,0
1077,403,880,1155,0
885,1114,124,367,0
1133,240,984,1035,0
1235,1221,70,126,0
774,550,1041,656,0
425,566,1114,884,0
883,182,1169,431,0
217,1247,915,184,0
436,545,1128,950,0
1278,1160,54,117,0
576,1084,694,128,0
881,920,555,934,0
850,195,1152,347,0
384,1211,912,142,0
419,1183,184,46,0
1065,404,672,845,0
958,188,1092,663,0
829,917,508,315,0
796,849,814,830,0
1304,1048,150,406,0
919,1141,165,282,0
1322,1166,55,180,0
783,1083,262,570,0
651,494,663,654,0
674,893,775,645,0
1189,873,281,783,0
1270,612,486,1125,0
1067,488,827,1144,0
728,1180,324,156,0
1058,1153,96,188,0
1113,689,681,849,0
801,901,610,911,0
1037,253,911,716,0
947,686,575,764,0
1155,688,692,944,0
1163,1198,103,120,0
1165,261,940,1061,0
1115,235,1000,1105,0
1323,1019,204,532,0
715,1100,359,413,0
1097,1149,81,202,0
836,902,620,902,0
976,1178,127,157,0
886,591,899,899,0
691,707,998,954,0
1240,270,932,1098,0
716,1098,230,437,0
749,1057,341,422,0
1028,1077,191,524,0
1286,1002,240,548,0
307,1228,799,205,0
1326,376,601,1108,0
189,1248,643,0,0
773,773,807,657,0
1017,1091,190,508,0
1254,979,149,416,0
618,926,817,542,0
729,1117,403,331,0
656,957,707,585,0
1140,909,273,768,0
996,987,398,365,0
966,1147,159,252,0
1138,446,817,1150,0
651,494,663,654,0
1081,937,363,673,0
337,508,1117,784,0
901,639,806,766,0
745,364,1120,585,0
999,1126,142,505,0
595,1053,616,179,0
751,975,730,310,0
1271,613,562,1134,0
1110,986,250,487,0
1147,922,223,520,0
1078,1085,157,533,0
769,1027,714,269,0
998,669,574,930,0
877,894,587,348,0
1024,259,1035,1005,0
322,1210,910,244,0
995,1230,139,102,0
965,220,1077,798,0
575,1186,104,38,0
1060,229,1002,1058,0
585,318,1165,985,0
680,421,728,620,0
732,928,625,655,0
1145,785,653,862,0
794,647,815,720,0
887,105,1148,708,0
1284,450,578,858,0
1000,918,408,609,0
963,1065,179,444,0
900,1051,542,224,0
1255,871,265,820,0
1296,382,606,1045,0
553,1097,434,345,0
1098,631,798,977,0
1166,644,760,1023,0
975,1205,132,134,0
1334,908,208,678,0
889,588,937,887,0
1332,888,195,603,0
233,1252,927,49,0
854,828,839,984,0
1221,290,768,973,0
1076,954,375,572,0
1038,876,507,696,0
720,1105,264,132,0
672,517,982,506,0
906,306,887,761,0
646,834,823,720,0
792,1086,321,375,0
916,996,346,220,0
954,999,459,292,0
1107,556,740,1147,0
412,1250,650,9,0
1324,882,229,706,0
1057,1187,101,190,0
953,620,908,997,0
601,939,710,531,0
1277,1016,222,465,0
882,201,1168,368,0
989,488,987,700,0
580,352,1132,952,0
703,415,1063,442,0
1223,559,442,1035,0
1174,457,853,1154,0
1112,827,626,859,0
997,1213,160,159,0
401,1237,526,14,0
1222,538,641,1033,0
1199,196,946,636,0
814,1081,255,594,0
1073,238,979,863,0
867,906,701,349,0
1090,495,809,1148,0
1172,523,664,1046,0
1091,1122,112,461,0
1114,1155,72,109,0
1025,219,972,556,0
972,194,1091,777,0
927,786,636,671,0
828,1028,527,336,0
1185,476,704,1066,0
1239,190,949,769,0
890,390,1036,1059,0
1187,1226,52,89,0
550,360,1126,976,0
222,1254,690,5,0
1200,1216,91,133,0
892,506,1014,1113,0
830,1026,593,332,0
971,1001,485,396,0
1291,1037,171,388,0
1234,738,678,955,0
863,115,1160,627,0
1164,515,669,964,0
922,180,997,459,0
1319,1188,45,151,0
1001,1106,109,471,0
780,1105,268,558,0
968,1032,498,378,0
643,1165,364,138,0
1151,197,950,629,0
911,348,1034,584,0
776,1090,270,490,0
1267,1050,210,417,0
304,1239,462,1,0
1190,464,755,958,0
932,109,1163,651,0
648,950,651,624,0
1233,173,976,578,0
824,1060,604,335,0
810,1055,267,354,0
556,1044,162,303,0
743,1066,314,446,0
1258,272,902,1089,0
822,165,1171,385,0
746,637,1004,828,0
178,580,1107,670,0
1306,761,357,1049,0
1036,980,373,298,0
694,854,709,660,0
1321,1185,22,110,0
767,995,602,250,0
1159,276,846,850,0
775,921,762,968,0
960,649,795,877,0
991,1218,119,104,0
1123,661,640,860,0
194,1168,345,57,0
765,1054,335,399,0
399,1240,603,17,0
1327,1175,24,115,0
1298,727,355,1068,0
1064,862,215,537,0
563,1119,834,107,0
1136,1094,51,150,0
437,585,1112,969,0
1282,490,667,1088,0
952,951,534,894,0
568,1113,105,23,0
1167,952,319,623,0
557,1044,162,303,0
868,716,513,703,0
679,1006,763,230,0
1071,215,961,811,0
1062,534,840,1151,0
1294,367,615,1066,0
1125,974,322,876,0
1264,1009,226,462,0
1196,273,864,984,0
866,896,622,916,0
889,467,1012,693,0
1088,496,777,953,0
1122,171,973,458,0
967,763,665,1002,0
873,518,992,1003,0
1116,236,994,1074,0
1244,295,780,1025,0
1337,857,212,921,0
871,289,913,561,0
908,148,1144,686,0
1053,968,348,831,0
985,965,429,881,0
1149,271,882,823,0
1210,375,583,841,0
744,885,796,691,0
1302,418,595,1067,0
653,946,790,602,0
1023,287,859,848,0
1009,895,517,609,0
777,1184,352,149,0
1127,647,733,928,0
717,889,723,683,0
540,337,1143,910,0
623,1129,520,369,0
1013,206,1072,930,0
1260,256,891,925,0
1056,224,1082,817,0
1084,677,706,878,0
973,1203,141,145,0
414,1202,778,260,0
557,1044,162,303,0
761,101,1154,447,0
912,656,735,721,0
1226,284,838,1032,0
577,955,691,586,0
1016,1082,111,440,0
1128,260,899,795,0
1313,790,301,1060,0
865,903,679,925,0
786,511,1065,745,0
585,365,1130,896,0
680,420,728,621,0
1236,471,753,1149,0
1080,226,959,755,0
669,263,934,518,0
931,286,939,752,0
326,1220,942,82,0
809,1088,288,629,0
571,887,614,579,0
639,972,479,475,0
631,1120,106,35,0
948,551,782,880,0
718,933,370,504,0
1068,683,703,921,0
920,227,1039,669,0
1118,239,947,775,0
1232,250,966,981,0
284,1208,897,86,0
1194,1009,269,479,0
714,880,724,595,0
519,988,611,425,0
970,878,551,405,0
1021,258,889,626,0
1331,861,231,761,0
680,421,728,620,0
1173,1224,88,112,0
825,1109,315,382,0
705,460,844,904,0
664,1179,371,153,0
842,1021,393,198,0
1104,953,367,843,0
1044,245,1043,879,0
1156,1181,69,98,0
1158,892,275,758,0
1320,1193,50,114,0
1121,246,981,1101,0
797,831,857,832,0
1117,964,290,737,0
1237,268,865,995,0
1099,555,702,1111,0
1263,193,956,705,0
1303,807,278,878,0
1049,751,577,757,0
940,569,931,974,0
847,211,1153,374,0
1273,962,277,684,0
1197,1176,86,131,0
959,745,818,839,0
1082,1062,174,607,0
670,263,934,519,0
1018,984,461,325,0
1195,863,293,836,0
856,351,1053,1100,0
1305,456,569,1078,0
531,328,1116,668,0
1279,1039,185,421,0
710,985,719,628,0
1300,1061,133,409,0
1105,243,916,577,0
600,1059,754,165,0
194,1168,345,57,0
652,493,662,653,0
459,429,1088,419,0
1004,1159,154,242,0
756,1102,425,389,0
186,1233,829,162,0
1139,267,873,918,0
992,614,792,870,0
1092,938,398,902,0
498,1075,848,92,0
1207,985,217,469,0
740,1128,417,395,0
862,133,1143,662,0
226,1253,660,4,0
1101,269,913,837,0
696,1143,483,397,0
1272,573,528,1119,0
1287,1052,212,451,0
712,695,924,756,0
1262,1007,283,675,0
588,973,668,566,0
725,425,1099,630,0
731,487,1079,658,0
1186,221,1020,1071,0
924,1038,492,225,0
654,929,476,619,0
1034,177,1098,931,0
938,447,1027,1114,0
1268,608,489,1096,0
1181,1170,85,146,0
974,712,810,819,0
1161,590,535,1094,0
597,1072,748,160,0
1045,465,749,1082,0
921,771,598,844,0
406,736,336,352,1
655,405,532,861,1
361,93,1136,1037,1
92,18,1259,452,1
118,72,1204,1037,1
253,388,737,1108,1
342,657,213,326,1
469,715,293,256,1
649,432,484,810,1
454,121,1069,921,1
231,53,1192,594,1
382,145,1045,941,1
511,409,478,913,1
543,676,109,247,1
18,927,643,26,1
329,658,410,319,1
488,309,869,1069,1
330,57,1183,741,1
114,14,1248,300,1
328,103,1049,792,1
549,381,443,950,1
662,745,40,148,1
126,843,404,83,1
362,389,752,782,1
281,97,1100,688,1
191,35,1187,384,1
529,222,812,982,1
762,537,205,804,1
779,794,11,143,1
52,989,481,25,1
184,469,871,829,1
251,170,1068,1016,1
367,140,1017,815,1
667,473,279,932,1
840,825,16,290,1
721,840,1,40,1
23,1101,466,42,1
142,663,594,546,1
288,321,726,892,1
464,307,504,795,1
686,598,144,692,1
739,741,75,394,1
555,700,134,259,1
107,737,436,196,1
14,1070,537,189,1
59,742,666,515,1
154,413,647,765,1
355,423,380,630,1
507,638,186,510,1
474,599,235,497,1
287,524,450,495,1
276,564,521,380,1
426,322,920,893,1
149,108,1222,512,1
40,153,1226,555,1
202,799,476,453,1
629,558,330,610,1
381,184,1104,816,1
77,3,1268,218,1
76,67,1241,429,1
153,366,867,992,1
302,720,342,299,1
532,404,545,729,1
262,98,1122,947,1
65,26,1252,437,1
95,75,1207,956,1
200,406,730,1056,1
261,701,232,289,1
396,730,280,206,1
539,422,524,652,1
385,122,1064,747,1
176,56,1185,521,1
350,151,1040,846,1
461,426,495,853,1
467,691,115,204,1
13,935,618,16,1
246,711,379,283,1
415,305,913,945,1
258,49,1193,547,1
89,16,1244,240,1
314,114,1042,691,1
522,391,452,882,1
596,768,47,103,1
90,847,388,72,1
275,400,734,713,1
219,87,1109,608,1
168,38,1161,352,1
512,234,794,942,1
