Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
788,541,114,3086,580,580,787,788,7199,7839,12790,12966,10359,13430,12966,12252,5
848,1108,41,4592,33,33,874,848,9738,2912,7084,13508,8824,13503,13508,11542,5
982,788,181,3397,697,697,986,982,8934,9262,12301,12857,10030,13364,12857,12988,5
1129,1314,140,4545,212,212,1242,1129,9566,464,8786,13291,9020,13457,13291,3831,5
1169,722,50,6235,7,7,1163,1169,8287,11578,13530,13536,7139,13505,13536,13157,5
1198,1019,176,4382,325,325,1207,1198,8610,9153,12108,13224,9031,13437,13224,13253,5
1258,2049,150,4871,166,166,1307,1258,7051,2348,4487,13375,8531,13472,13375,12955,5
1271,912,186,4593,282,282,1275,1271,7976,8873,13199,13258,8826,13442,13258,11310,5
1309,1039,193,4687,285,285,1318,1309,8095,7053,12608,13260,8701,13434,13260,12751,5
1339,957,306,4259,608,608,1337,1339,9696,11457,13323,12942,9136,13329,12942,12979,5
1366,1191,195,4954,240,240,1377,1366,7992,6977,12231,13311,8438,13447,13311,13410,5
1402,1121,139,5765,68,68,1416,1402,10084,6856,12799,13473,7607,13493,13473,12075,5
1404,1182,224,5049,256,256,1409,1404,6892,10002,12533,13283,8393,13428,13283,9342,5
1414,1241,275,4795,383,383,1423,1414,11646,8934,12314,13140,8640,13382,13140,10107,5
1414,1201,166,5525,111,111,1420,1414,9396,10031,12537,13434,7849,13477,13434,13382,5
1417,1074,185,5394,147,147,1428,1417,7219,8414,13152,13399,7992,13466,13399,13026,5
1421,1277,251,4957,306,306,1441,1421,9103,6699,12125,13237,8463,13410,13237,12179,5
1422,1161,234,5029,269,269,1438,1422,7105,7633,12784,13275,8353,13420,13275,13211,5
1438,1127,173,5594,110,110,1448,1438,7930,9802,13048,13435,7761,13475,13435,13395,5
1456,1022,284,4903,368,368,1453,1456,8419,12462,13470,13178,8501,13386,13178,13336,5
1469,1059,410,4453,679,679,1454,1469,7803,13282,13407,12863,8978,13249,12863,11033,5
1518,1135,203,5722,126,126,1503,1518,7770,12610,13335,13417,7674,13464,13417,11686,5
1527,2180,310,5149,327,327,1609,1527,6457,1065,5902,13206,8292,13387,13206,9279,5
1543,1621,1019,3341,1792,1792,1573,1543,6992,5111,10614,11763,10096,12434,11763,13031,5
1557,1636,1662,2701,2546,2546,1558,1557,5054,9278,10522,10957,10844,11380,10957,4632,5
1558,1335,134,6710,31,31,1566,1558,8295,8635,12486,13511,6659,13498,13511,12760,5
1563,1609,252,5543,202,202,1586,1563,8789,6012,10887,13344,7834,13444,13344,13257,5
1572,1220,404,4889,538,538,1564,1572,8594,12310,13261,13010,8518,13312,13010,12809,5
1578,1441,460,4720,654,654,1601,1578,8873,5316,12007,12895,8684,13238,12895,12240,5
