Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,Num_multiplex,Collection,Start_Tech_Oscarclass
0,19,29,320,172,147,168,155,149,33,448,1,13,113,3,4,105,137,1
23,56,44,279,225,120,128,113,107,21,355,0,177,181,2,23,76,113,0
22,56,44,400,159,118,122,118,112,21,488,0,183,422,1,19,72,196,1
32,16,47,383,112,76,76,78,75,44,423,1,349,135,2,26,85,193,1
110,16,47,395,139,79,78,72,78,44,459,0,307,137,2,36,22,203,1
27,16,47,282,153,75,81,77,73,14,371,1,165,339,1,34,74,165,0
136,58,31,159,178,87,94,89,102,66,245,1,146,189,3,22,129,126,0
197,58,31,211,328,82,79,76,83,34,107,0,39,185,2,37,170,118,0
233,58,31,58,355,78,79,74,72,34,17,1,51,160,1,36,165,64,1
211,58,31,156,259,57,54,52,61,34,135,1,369,304,3,26,116,87,1
241,58,31,263,313,59,63,63,77,66,64,0,60,78,2,10,176,52,0
171,58,31,158,240,72,76,67,66,66,218,0,352,239,0,4,155,87,0
146,58,31,118,89,93,106,94,96,66,125,1,18,29,0,38,173,114,0
311,59,29,135,162,131,133,121,123,3,289,1,48,311,1,20,140,102,1
312,59,29,184,251,137,149,141,124,30,358,0,147,235,1,30,190,80,1
310,59,29,91,145,137,141,130,137,3,368,1,278,309,3,9,189,97,1
332,59,29,132,52,133,138,138,132,30,461,0,10,35,1,27,150,128,1
320,59,29,153,234,139,152,146,151,3,166,0,9,86,2,37,151,73,0
323,59,29,36,78,177,183,171,150,3,208,1,279,174,0,22,147,100,1
316,59,29,73,188,166,176,164,174,30,256,0,285,165,0,8,176,80,0
340,59,29,44,345,170,179,160,173,30,68,1,57,362,0,25,97,40,1
326,59,29,143,276,158,172,147,158,30,239,1,344,308,1,4,145,94,1
339,59,29,200,295,155,158,149,183,3,85,1,37,293,3,29,173,54,0
330,59,29,88,355,147,158,157,154,30,62,1,189,228,2,10,134,48,1
317,59,29,127,312,132,155,130,144,30,137,1,248,230,2,8,112,57,0
325,59,29,49,258,132,142,130,147,30,155,1,362,226,3,16,123,42,1
315,59,29,88,284,123,133,131,127,3,178,0,384,161,2,40,89,65,0
328,59,29,171,273,143,137,134,138,3,123,1,295,229,2,1,100,50,0
319,59,29,304,314,138,141,132,140,30,228,1,57,376,3,16,148,82,0
331,59,29,339,264,141,161,146,143,3,269,0,327,177,3,31,100,108,1
334,59,29,72,312,142,150,145,160,3,47,0,396,153,2,15,181,32,1
343,59,29,178,355,146,156,141,165,3,176,1,354,157,1,4,130,48,0
344,59,29,136,236,164,165,149,164,30,19,0,301,286,3,6,138,36,1
335,59,29,66,320,177,174,166,168,30,98,1,264,361,1,6,170,35,0
350,59,29,184,334,160,175,170,184,3,74,1,380,74,1,21,107,39,1
100,48,38,131,184,180,198,189,206,9,299,1,369,92,3,24,136,87,0
149,48,38,94,160,200,197,184,194,40,295,0,190,383,1,20,68,98,1
123,48,38,95,96,166,170,158,157,9,317,1,240,27,3,2,118,108,1
