Channel,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Region(class)
1,285,349,276,31,276,240,2
1,190,353,306,227,286,289,2
1,179,341,280,267,294,397,2
0,291,73,196,372,159,292,2
1,369,265,270,327,253,388,2
1,233,332,224,100,254,259,2
1,277,182,262,72,283,119,2
1,199,247,303,217,287,343,2
0,167,205,247,63,252,161,2
1,170,366,385,173,372,312,2
1,115,264,350,335,347,285,2
1,290,66,201,199,165,108,2
1,404,377,337,45,304,357,2
1,361,283,367,300,355,129,2
1,376,347,340,46,336,323,2
0,245,64,185,56,217,95,2
1,45,342,341,20,322,210,2
0,164,281,152,120,129,380,2
1,341,289,314,251,278,366,2
0,202,158,304,101,271,109,2
1,331,235,205,158,264,314,2
0,160,38,89,311,131,125,2
0,402,125,200,398,267,377,2
1,385,415,401,351,319,401,2
1,370,352,358,291,321,391,2
1,316,228,277,29,308,13,2
0,244,51,149,302,88,173,2
0,300,33,158,73,37,111,2
1,127,401,410,172,380,389,2
0,420,138,137,178,224,172,2
0,343,201,329,169,262,359,2
0,86,232,160,245,199,192,2
0,364,83,150,40,211,91,2
0,397,242,272,366,127,211,2
0,57,129,114,63,156,88,2
1,35,267,328,119,317,100,2
0,398,233,237,221,208,381,2
1,306,357,347,236,352,152,2
1,136,394,377,1,367,98,2
0,429,17,23,404,74,356,2
0,375,231,212,399,226,392,2
0,348,176,243,241,273,352,2
1,253,320,366,27,365,9,2
1,32,367,407,111,387,20,2
1,239,305,316,81,327,18,2
1,149,406,398,223,371,383,2
1,107,387,400,216,360,260,2
1,422,419,426,383,412,395,2
1,266,279,324,88,338,262,2
1,144,404,416,231,401,227,2
0,176,60,83,324,175,321,2
0,113,226,265,36,243,69,2
1,417,221,241,80,274,235,2
1,23,356,334,106,342,47,2
0,390,93,82,269,71,239,2
0,151,208,218,156,260,220,2
1,126,414,413,280,407,241,2
1,156,354,317,3,374,236,2
0,296,128,63,89,79,100,2
0,173,263,284,16,282,273,2
1,217,175,281,12,312,48,2
1,408,416,427,308,414,309,2
1,203,285,254,332,311,188,2
1,232,372,373,290,375,237,2
0,142,77,164,321,231,223,2
1,5,403,425,2,413,252,2
0,1,101,275,25,292,6,2
1,352,300,353,182,339,174,2
0,82,313,192,363,196,361,2
0,213,171,38,109,181,32,2
0,320,136,162,407,42,243,2
0,339,78,396,354,315,400,2
0,131,256,141,397,233,37,2
1,351,262,294,386,193,133,2
1,210,291,311,184,257,290,2
0,355,67,0,336,0,190,2
0,37,199,252,381,163,178,2
1,278,379,415,126,394,197,2
0,252,70,97,246,109,34,2
0,60,187,182,125,228,279,2
0,188,35,157,64,176,115,2
1,13,348,362,44,376,33,2
1,247,344,326,105,295,330,2
0,357,102,75,261,166,162,2
1,274,190,213,176,301,24,2
1,315,418,429,151,416,358,2
1,372,420,420,149,411,180,2
0,421,255,285,368,246,399,2
0,206,16,193,401,54,9,2
0,377,218,234,312,151,365,2
0,264,22,61,309,21,82,2
0,287,168,131,395,178,219,2
1,228,411,419,305,409,386,2
0,263,179,96,423,23,347,2
1,161,376,331,30,335,53,2
0,0,174,249,68,78,149,2
1,3,163,286,23,303,45,2
0,21,4,15,108,16,16,2
0,24,1,19,132,17,28,2
0,238,143,80,359,75,75,2
1,268,326,342,307,378,360,2
1,54,363,375,211,359,297,2
1,99,294,279,277,325,247,2
0,427,196,298,421,240,338,2
0,299,140,176,189,241,120,2
0,310,54,191,136,47,245,2
1,55,290,321,19,362,296,2
1,222,358,365,270,385,254,2
1,58,335,263,38,270,231,2
1,53,397,417,102,204,0,2
0,273,107,70,256,57,278,2
1,284,369,380,114,351,264,2
0,346,169,124,396,156,348,2
0,301,150,71,304,169,272,2
0,336,59,87,276,43,234,2
0,257,32,155,286,102,130,2
0,259,159,171,208,111,46,2
0,187,220,236,215,114,226,2
0,353,121,117,353,142,185,2
0,212,153,104,326,98,132,2
0,328,74,173,268,60,221,2
0,123,185,52,265,97,57,2
0,279,3,4,239,7,176,2
1,258,362,295,249,259,31,2
0,409,106,153,346,158,274,2
0,431,194,269,417,194,182,2
0,349,117,65,389,121,106,2
1,363,312,320,130,268,349,2
0,8,343,186,22,221,0,2
0,418,48,54,220,141,293,2
0,193,157,17,369,136,181,2
0,71,20,6,52,22,71,2
0,304,135,127,87,215,77,2
0,234,57,34,66,94,89,2
0,198,119,107,104,13,118,2
0,177,80,135,174,69,76,2
0,137,338,267,342,269,268,2
0,105,331,289,98,186,7,2
0,293,229,220,24,91,369,2
0,153,249,170,117,180,184,2
0,333,230,271,257,216,345,2
0,399,385,227,48,15,258,2
0,412,309,287,294,6,0,2
0,249,103,28,392,138,74,2
0,344,207,85,14,161,40,2
1,365,334,422,4,398,379,2
0,201,127,108,139,25,112,2
0,229,193,142,185,222,114,2
0,166,19,10,331,104,99,2
0,405,92,64,113,41,255,2
0,317,116,73,122,58,208,2
0,52,191,92,79,93,287,2
0,345,87,161,295,123,38,2
0,117,345,118,109,110,276,2
0,31,0,1,10,2,2,2
1,69,360,387,35,392,318,2
1,120,260,364,47,354,367,2
0,335,86,125,310,197,96,2
1,96,296,307,140,309,281,2
1,19,324,363,57,379,70,2
1,62,206,349,116,320,319,2
0,283,15,5,161,0,326,2
0,307,134,184,282,82,130,2
1,158,393,414,263,402,102,2
1,150,321,293,275,299,51,2
1,312,378,391,337,369,332,2
1,143,298,300,150,334,375,2
0,98,181,166,59,249,145,2
0,162,30,20,197,27,97,2
0,155,28,105,266,21,161,2
1,16,340,352,165,368,75,2
1,12,410,389,95,383,393,2
0,43,266,253,50,279,148,2
1,25,323,388,142,389,154,2
0,17,75,231,272,52,256,2
1,77,327,338,6,316,283,2
0,423,303,253,379,242,50,2
