 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ?), Operating Profit Per Share (Yuan ?), Per Share Net profit before tax (Yuan ?), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,BankruptClass
133,185,126,1094,1109,1208,316,298,124,264,215,0,691,622,0,133,140,141,76,419,895,349,137,2688,5229,766,765,656,1253,70,363,556,55,224,517,5227,3948,259,372,4172,1112,1140,131,1514,58,761,940,416,22,150,3914,997,6230,46,878,404,125,338,40,5894,807,623,448,2116,52,6382,3737,350,420,6385,5645,5036,123,2858,2007,5460,2116,6382,3859,2111,2403,514,1667,6761,0,157,5790,650,2030,81,6540,531,433,0,286,1
858,1180,901,2131,2150,1028,1293,1245,1409,1070,1352,0,1560,547,0,858,865,866,395,598,1104,322,492,1965,4113,4771,4794,4540,1366,1313,1924,1448,732,1177,3672,4571,3437,770,567,2909,578,931,1273,1389,43,506,1681,2367,2340,104,626,882,4655,776,541,364,702,1070,1236,1920,1724,6562,2523,222,775,3459,3689,1702,1529,3906,227,5149,786,3305,2408,5700,222,3459,3331,2596,2689,1761,2511,6028,0,1526,5692,1780,4454,1511,5859,6235,6137,0,967,1
392,654,400,1093,1097,600,155,156,62,112,1057,961,762,683,0,755,762,1136,133,308,238,305,167,5372,4203,3385,3442,3422,1483,377,1520,827,3289,1864,390,5225,3947,260,817,3421,1172,810,270,4092,10,609,1315,1891,2362,29,3586,328,6681,4289,2866,4338,20,2434,6790,4197,1082,4995,5412,615,6669,5843,1431,476,598,3170,5517,4359,6745,3035,2709,4313,615,5843,2757,2914,2933,843,2883,3001,0,793,6550,3100,2028,462,6538,457,359,0,288,1
240,286,307,83,83,310,377,415,647,444,66,0,2803,350,0,240,247,248,236,698,703,138,222,1099,2083,946,937,1138,1243,260,565,2198,291,713,691,3978,3024,1183,497,3548,3,182,257,1474,60,825,821,2264,2440,120,2101,247,5644,333,823,585,918,620,881,4236,3433,366,1662,1613,345,4724,3619,405,65,3662,6086,4988,389,3259,335,6132,1613,4724,3299,271,571,4095,186,6519,0,262,4284,674,83,266,5216,844,746,0,1610,1
871,1184,984,769,772,1240,1244,1256,1072,1264,2801,0,1882,583,0,508,515,516,433,627,1613,361,472,2479,5500,4780,4783,4771,1306,1183,2445,1755,735,1042,3697,2336,1939,2268,1846,2399,1213,1246,1189,2397,117,586,1378,328,255,195,4689,1126,5783,811,1924,1766,657,1158,560,4775,2547,6554,2348,5715,792,4238,0,597,1521,4065,5972,4894,774,3069,1502,4597,5715,4238,3,1112,1132,2470,1173,6024,0,1521,4584,1312,1225,1515,3184,47,6189,0,3642,1
187,166,155,170,172,380,325,280,301,315,479,0,2854,613,0,264,271,272,100,803,927,142,138,55,1622,935,1169,1084,883,127,458,2556,98,153,660,4768,3590,617,68,3752,490,191,132,2530,64,625,1265,1947,2442,130,2866,231,6123,74,238,524,67,127,1,5695,3794,439,2354,2631,98,5989,1455,347,77,5431,6074,4719,161,2770,1998,6314,2631,5989,1109,2104,2327,5008,1858,6717,0,128,5117,530,177,108,6066,755,657,0,760,1
193,265,203,2988,2995,1405,412,406,159,389,1719,1038,1304,697,0,324,330,331,52,557,1685,398,83,3016,5645,487,484,3697,1327,126,322,1309,378,705,533,5330,4033,174,293,4007,1627,1559,71,2588,67,690,1101,321,60,199,1450,1020,4007,382,1855,1127,1144,993,916,4986,1538,412,991,938,233,6224,2609,528,924,6655,202,5332,435,3295,1443,4980,938,6224,3268,1506,1938,1480,846,6425,0,248,6284,1797,5878,111,6644,592,494,0,182,0
1705,1770,1648,1132,1142,1541,1760,1673,1360,1725,2888,965,3162,530,1063,733,740,741,567,767,2247,458,632,3080,4008,3992,4000,5055,1418,1598,1428,2214,2523,2867,2580,2401,1984,2223,3094,2119,1049,2044,2328,2706,146,530,1582,495,542,233,3512,1311,3044,2795,3116,2719,687,3222,771,3641,4290,4042,2814,2866,2659,3515,1868,2741,3742,3901,6016,5000,1852,3021,2816,3647,2866,3515,1736,2693,2649,4419,2714,3884,0,4010,5880,3123,2125,3875,3272,5112,5014,0,3554,0
1317,1305,1362,1365,1370,1142,1520,1496,1521,1566,574,0,2017,634,44,904,911,912,495,616,1431,340,535,3452,4983,5448,5459,5490,1444,1653,1477,1579,3886,4337,1896,882,815,3392,2357,363,3,1076,1603,1271,103,514,1644,880,193,129,2244,912,3726,3586,3322,2344,4903,4878,5162,1995,2737,2185,2116,4613,2815,1701,0,2677,2378,4501,91,5360,3207,108,3876,4710,4613,1701,3,4075,4586,2179,3825,2333,0,2564,1560,4107,2712,2264,1180,4338,4240,0,5646,0
1458,1408,1356,822,827,1470,1453,1366,1105,1399,2644,0,3888,571,2291,744,751,752,489,937,3185,520,581,3203,4036,2169,2162,5831,1310,1375,1138,2728,3255,2963,3095,2888,2308,1899,2565,2223,562,2500,1941,4049,232,596,1348,526,787,414,3863,1303,2447,4127,3536,4090,378,3243,353,4009,5127,4450,4673,2645,4227,3986,1784,3579,2292,5111,5848,4773,1794,2750,2997,4084,2645,3986,2089,3082,3081,5831,3074,3038,0,2621,5235,3300,1365,2577,3897,5513,5415,0,2929,0
