river,location,erected,purpose,length,lanes,clear-g,t-or-d,material,span,rel-l,type
1,2,0,1,11,1,1,1,2,2,1,6
0,24,1,1,14,1,1,1,2,2,1,6
0,39,2,0,11,0,1,1,2,1,1,6
0,28,3,1,11,1,1,1,2,2,1,6
1,22,4,1,11,1,1,1,2,1,1,6
0,26,5,1,10,1,1,1,2,1,1,6
0,27,6,0,11,0,1,1,0,2,1,5
1,2,7,1,33,1,1,1,0,2,1,5
0,39,8,0,11,0,1,0,2,1,1,6
0,28,9,1,11,1,1,1,2,1,1,6
0,39,10,2,11,1,1,0,2,1,1,6
1,5,11,1,23,1,1,1,2,1,1,6
0,32,11,1,11,1,1,1,2,1,1,6
0,27,12,2,11,1,1,1,2,1,1,6
0,24,13,1,12,1,1,1,0,1,2,5
1,3,14,2,11,1,1,1,0,1,0,4
0,27,15,2,23,1,1,1,0,2,1,4
0,28,16,1,11,1,1,1,2,1,1,6
0,31,17,1,11,1,1,1,2,1,1,6
1,15,18,2,11,1,0,1,0,1,0,4
1,0,19,1,25,1,0,1,1,0,0,5
0,23,19,1,23,2,0,1,2,2,1,6
2,47,20,2,11,1,0,1,1,1,0,4
1,9,21,2,11,1,0,1,1,1,0,4
0,39,22,2,11,1,0,1,1,1,0,4
1,11,22,2,20,1,0,1,1,1,1,4
0,30,23,2,11,1,0,1,1,1,0,4
0,25,23,1,17,1,0,1,1,1,0,5
1,2,23,1,11,1,0,1,1,1,1,0
0,29,24,1,11,1,0,1,0,1,0,4
1,7,24,2,22,1,0,1,1,1,1,4
2,43,25,2,63,1,0,1,1,0,0,4
1,18,26,1,19,1,0,1,0,1,0,4
2,47,27,1,11,1,0,1,0,2,0,4
0,26,27,1,11,1,0,1,1,1,0,4
1,16,28,1,11,1,0,1,0,1,0,4
1,17,28,2,29,1,0,1,1,1,1,4
0,24,29,1,11,1,0,1,1,1,0,4
0,26,29,0,18,0,1,1,2,2,1,6
1,21,30,1,11,1,0,1,1,1,0,4
1,10,31,1,11,1,0,1,0,1,0,4
1,8,32,1,55,1,0,1,1,0,0,4
2,50,33,1,11,1,0,1,1,0,0,5
1,6,33,1,15,1,0,1,1,0,0,0
0,36,34,2,62,1,0,0,1,0,0,4
1,13,34,2,52,1,0,1,1,1,0,4
1,14,35,2,45,1,0,1,1,1,1,4
0,32,36,1,23,1,0,1,1,1,0,4
0,37,36,1,45,1,0,1,1,1,0,4
1,12,37,2,11,1,0,1,1,0,0,4
0,33,38,1,44,1,0,1,1,1,0,1
1,15,39,2,26,1,0,1,1,1,1,4
0,34,39,2,60,1,0,1,1,1,1,4
1,5,39,2,31,1,0,1,1,1,0,4
1,20,39,2,21,1,0,1,1,0,0,4
1,3,40,2,23,1,0,1,1,1,2,4
0,27,40,2,8,2,0,1,1,1,2,4
1,1,40,2,34,1,0,1,1,0,0,1
3,27,41,1,24,1,0,1,1,1,0,4
1,22,42,1,11,1,0,1,1,1,0,4
0,35,42,1,41,1,0,1,1,0,0,4
2,51,43,2,36,1,0,1,1,0,0,1
2,45,44,1,37,1,0,1,1,0,0,1
0,39,45,2,11,1,0,1,1,1,0,3
1,9,45,2,48,1,0,1,1,1,0,4
2,43,46,2,59,1,0,1,1,0,0,4
0,23,46,1,11,2,0,1,1,0,0,4
0,36,47,2,53,1,1,0,1,0,0,2
0,30,48,2,46,1,0,1,1,1,0,4
0,29,49,3,11,1,0,1,1,1,0,5
0,28,50,1,5,2,0,1,1,1,0,0
0,31,51,1,54,2,0,1,1,1,1,0
0,26,52,1,2,2,0,1,1,1,2,5
0,25,52,1,4,2,0,1,1,1,2,5
2,48,53,1,42,1,0,1,1,0,2,1
0,37,53,1,35,1,0,1,1,1,1,0
1,4,53,1,57,2,1,0,1,1,2,1
1,0,53,1,28,2,0,1,1,0,0,1
0,29,54,1,58,2,0,0,1,1,0,0
1,19,54,1,50,1,0,0,1,1,2,1
0,24,54,1,2,2,0,1,1,1,2,5
1,16,54,1,51,1,0,1,1,1,1,4
2,42,55,1,30,2,0,1,1,0,0,0
2,44,55,1,32,2,1,1,1,0,0,0
1,5,55,1,33,2,0,1,1,0,0,5
1,10,56,1,38,2,1,0,1,0,2,2
0,33,57,1,43,2,0,0,1,1,0,1
0,40,58,1,16,2,0,0,1,1,2,2
0,41,58,2,1,1,0,1,1,1,2,4
0,38,58,1,40,1,1,0,1,1,2,2
2,50,58,1,47,1,0,1,1,0,0,1
3,53,58,1,11,1,0,1,1,1,1,0
3,52,58,2,11,1,0,1,1,1,0,4
1,22,59,1,27,1,0,1,1,1,2,4
1,21,60,1,6,2,0,1,1,1,0,2
1,13,60,1,56,2,0,0,1,0,0,2
1,18,60,1,13,2,0,1,1,0,0,1
0,36,61,1,53,2,1,0,1,0,0,2
2,44,61,1,0,1,0,1,1,1,0,4
2,49,62,1,39,1,0,1,1,0,0,2
1,0,62,1,11,3,0,1,1,0,0,0
0,32,63,1,9,2,0,0,1,1,2,2
1,8,64,1,49,2,0,0,1,0,0,2
0,23,65,1,3,3,0,1,1,1,0,0
2,46,66,1,61,3,0,1,1,0,0,0
1,6,67,1,7,3,0,1,1,0,0,0
2,45,68,1,11,1,0,1,1,1,0,7
0,27,69,1,11,1,0,1,1,1,0,7
