Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
327,5,2,12,1,3,7,10,1,3,3,20,0,1
462,1,2,0,0,3,7,0,2,8,3,20,0,0
449,11,1,0,0,0,7,4,2,15,3,12,10,0
299,0,0,12,0,2,7,4,2,18,3,8,10,1
199,7,2,11,1,3,7,1,2,2,3,3,2,0
377,6,2,0,1,3,15,10,1,3,3,12,10,0
466,1,0,0,3,3,7,4,2,3,3,12,11,0
465,3,0,0,4,0,7,7,2,15,2,12,11,0
414,2,0,0,4,2,15,7,1,3,2,2,11,1
316,6,2,0,4,3,15,10,2,13,3,12,11,1
417,9,0,16,4,3,7,4,2,15,2,12,11,0
224,2,0,0,4,2,15,7,2,13,3,12,0,0
291,10,2,13,1,4,7,12,2,3,3,12,10,1
100,11,0,14,1,3,7,7,1,3,7,12,0,1
367,1,2,16,1,3,3,7,2,3,3,21,11,0
441,1,2,0,4,4,3,4,2,14,12,12,11,0
30,7,0,13,0,5,7,7,2,3,3,21,11,1
147,6,3,16,4,0,7,4,2,3,3,11,8,1
157,0,0,0,1,4,9,12,2,3,3,12,8,0
415,5,0,16,1,0,7,10,1,9,3,12,11,1
183,5,0,11,0,0,7,4,2,3,3,2,11,0
172,1,2,9,1,3,7,10,2,3,3,12,11,0
421,0,2,6,3,3,15,7,2,3,3,17,11,0
156,5,0,13,2,3,15,10,1,3,3,22,11,1
117,5,0,0,4,0,15,10,2,15,3,12,8,0
431,5,0,0,1,0,7,10,1,3,2,12,10,0
326,5,0,13,1,2,7,10,2,3,3,12,11,1
469,1,2,0,0,3,7,10,2,3,7,12,10,0
271,7,2,9,4,0,7,10,2,15,3,21,13,0
31,7,2,13,1,2,10,7,1,2,3,3,2,1
167,1,0,12,0,0,7,10,1,15,3,20,11,0
436,1,2,0,1,2,7,10,2,18,3,1,11,1
344,1,0,10,0,0,7,10,2,6,3,20,0,0
313,0,0,9,0,2,7,10,1,3,3,3,11,1
142,9,1,13,1,2,7,12,2,3,3,12,10,0
35,1,2,12,4,4,3,4,2,3,3,12,8,1
128,11,0,12,4,4,7,4,2,3,3,12,10,1
370,0,0,0,1,0,7,7,2,3,3,12,10,0
365,9,0,12,1,4,7,10,2,3,3,12,11,1
