Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,class
1,39,6,0,0,34,14,21,0
2,3,17,0,0,32,25,30,0
3,46,17,0,0,27,27,32,0
4,49,26,0,0,30,35,22,0
5,13,9,0,0,33,15,21,0
7,57,16,0,0,14,28,32,0
8,19,5,0,0,22,13,20,0
11,11,11,0,0,29,18,25,0
12,10,21,0,0,24,41,43,0
13,32,17,0,0,34,8,16,0
18,32,2,0,0,35,17,23,0
28,15,25,0,0,22,7,15,0
31,29,9,0,0,24,14,21,0
32,41,27,0,0,24,22,21,0
34,12,20,0,0,26,6,14,0
35,15,17,0,0,24,34,38,0
36,24,22,0,0,16,14,21,0
37,34,4,0,0,33,42,44,0
38,13,17,0,0,17,18,24,0
39,31,34,0,0,17,11,18,0
45,30,22,0,0,16,12,0,0
46,21,1,0,0,50,1,2,0
49,41,31,0,0,19,24,29,0
55,20,0,0,0,34,3,9,0
56,26,16,0,0,26,12,9,0
58,19,14,0,0,26,34,38,0
59,15,17,0,0,25,23,28,0
61,11,28,0,0,28,22,27,0
62,33,14,0,0,31,25,30,0
64,33,16,0,0,25,21,27,0
65,43,15,0,0,22,16,22,0
66,24,10,0,0,16,25,30,0
71,46,28,0,0,12,27,32,0
82,30,6,0,0,20,25,30,0
83,14,12,0,0,10,9,17,0
84,26,31,0,0,19,28,32,0
87,19,29,0,0,20,19,25,0
91,55,24,0,0,37,20,26,0
100,22,19,0,0,13,18,24,0
111,28,23,0,0,26,12,15,0
112,23,22,0,0,30,22,27,0
113,20,14,0,0,37,31,35,0
116,30,27,0,0,23,29,33,0
118,18,15,0,0,28,23,28,0
121,51,22,0,0,26,25,27,0
126,8,15,0,0,23,32,36,0
127,34,12,0,0,33,45,46,0
128,33,17,0,0,17,18,25,0
129,32,12,0,0,36,5,13,0
130,13,10,0,0,21,23,29,0
131,27,29,0,0,20,32,22,0
133,19,7,0,0,23,0,5,0
134,12,13,0,0,13,29,33,0
135,13,35,0,0,15,43,45,0
136,37,24,0,0,4,6,12,0
137,44,24,0,0,7,23,28,0
139,41,14,0,0,13,26,31,0
146,30,12,0,0,23,23,28,0
152,34,11,0,0,9,23,29,0
153,32,15,0,0,32,24,29,0
156,34,33,0,0,28,36,40,0
161,42,13,0,0,19,18,24,0
162,26,18,0,0,26,37,40,0
163,9,7,0,0,24,14,21,0
170,37,6,0,0,29,23,29,0
171,14,20,0,0,32,42,45,0
172,15,14,0,0,19,23,28,0
173,42,34,0,0,20,37,40,0
174,15,14,0,0,21,16,22,0
181,25,25,0,0,34,30,34,0
182,16,3,0,0,12,15,21,0
186,34,28,0,0,25,16,22,0
189,27,27,0,0,20,26,31,0
190,34,19,0,0,20,15,7,0
203,14,20,0,0,15,18,24,0
208,32,7,0,0,26,16,22,0
209,38,19,0,0,23,15,21,0
212,31,25,0,0,29,34,37,0
213,34,5,0,0,21,17,23,0
214,19,18,0,0,26,28,32,0
215,24,5,0,0,19,25,30,0
217,31,20,0,0,23,21,27,0
219,19,24,0,0,19,13,20,0
221,24,32,0,0,36,21,27,0
222,26,33,0,0,21,35,39,0
230,30,23,0,0,30,39,42,0
236,40,26,0,0,27,36,39,0
237,42,21,0,0,15,26,28,0
240,40,28,0,0,6,13,20,0
241,43,19,0,0,2,19,25,0
244,24,23,0,0,30,25,30,0
246,30,19,0,0,15,17,13,0
248,31,20,0,0,28,14,11,0
250,20,22,0,0,14,11,18,0
251,21,24,0,0,8,18,25,0
252,54,52,0,0,23,25,24,0
255,25,14,0,0,9,24,29,0
259,47,31,0,0,15,18,19,0
260,55,32,0,0,12,27,14,0
262,41,23,0,0,36,21,27,0
263,28,17,0,0,41,15,21,0
265,14,34,0,0,41,24,29,0
266,28,3,0,0,32,6,14,0
267,23,24,0,0,31,8,15,0
268,14,11,0,0,16,20,26,0
269,16,27,0,0,22,22,27,0
270,34,26,0,0,17,28,26,0
271,33,9,0,0,11,35,38,0
278,39,20,0,0,27,20,26,0
280,37,5,0,0,34,10,11,0
281,22,10,0,0,38,2,7,0
284,24,12,0,0,29,39,42,0
285,25,11,0,0,24,20,13,0
286,28,7,0,0,21,19,25,0
287,28,21,0,0,21,10,17,0
288,31,28,0,0,36,10,17,0
289,24,19,0,0,19,24,29,0
290,41,26,0,0,31,4,12,0
291,15,28,0,0,15,32,36,0
292,19,5,0,0,28,32,36,0
293,15,3,0,0,17,22,28,0
294,14,18,0,0,27,13,20,0
295,8,16,0,0,31,20,25,0
296,1,8,0,0,19,19,25,0
297,51,13,0,0,27,25,30,0
298,24,28,0,0,22,27,32,0
299,18,10,0,0,23,12,19,0
300,30,23,0,0,20,25,30,0
301,13,11,0,0,21,16,23,0
302,27,21,0,0,20,29,33,0
303,0,15,0,0,20,38,41,0
304,29,8,0,0,16,24,29,0
305,20,21,0,0,27,12,19,0
309,17,7,0,0,48,18,25,0
310,8,29,0,0,27,27,32,0
320,26,19,0,0,31,22,27,0
322,20,14,0,0,21,8,16,0
324,16,17,0,0,14,16,23,0
327,30,18,0,0,33,12,19,0
328,12,11,0,0,20,19,25,0
329,34,12,0,0,22,42,45,0
330,17,19,0,0,15,28,29,0
331,7,20,0,0,32,17,23,0
85,2,38,0,0,27,79,23,1
0,34,29,0,0,21,37,40,1
9,53,24,0,0,29,70,67,1
14,13,25,0,0,37,75,72,1
16,24,26,0,0,36,72,63,1
17,33,17,0,0,36,63,61,1
21,36,38,0,0,26,73,70,1
23,17,12,0,0,29,65,62,1
25,42,16,0,0,43,59,56,1
42,19,24,0,0,48,53,52,1
47,45,24,0,0,35,66,63,1
52,6,43,0,0,51,48,48,1
53,30,27,0,0,43,70,67,1
63,63,13,0,0,31,78,74,1
68,72,21,0,0,26,59,57,1
69,38,22,0,0,38,66,63,1
70,44,26,0,0,18,74,71,1
75,38,18,0,0,29,77,71,1
77,40,42,0,0,10,79,74,1
88,62,23,0,0,29,54,53,1
89,37,32,0,0,36,59,58,1
104,23,33,0,0,11,66,63,1
105,54,35,0,0,26,66,56,1
110,44,34,0,0,34,69,66,1
114,37,36,0,0,30,64,62,1
115,53,27,0,0,37,72,69,1
120,39,19,0,0,31,67,64,1
123,21,27,0,0,35,71,68,1
124,64,21,0,0,33,75,72,1
138,23,22,0,0,23,75,72,1
141,35,17,0,0,39,62,60,1
143,61,17,0,0,48,58,57,1
147,40,14,0,0,44,52,52,1
150,56,30,0,0,37,54,49,1
151,50,38,0,0,32,55,54,1
154,71,14,0,0,39,59,57,1
155,24,28,0,0,45,77,73,1
158,53,31,0,0,43,67,64,1
159,60,17,0,0,34,73,66,1
166,50,27,1,0,32,65,63,1
178,7,28,0,0,11,29,34,1
179,64,46,0,0,44,53,52,1
183,10,23,0,0,35,66,64,1
187,77,32,0,0,29,60,59,1
188,60,23,0,0,34,66,56,1
216,6,20,0,0,41,58,57,1
220,51,29,0,0,32,55,38,1
223,23,14,0,0,24,53,52,1
226,53,41,0,0,44,55,54,1
231,31,28,0,0,31,63,61,1
233,24,43,0,0,30,64,62,1
234,48,11,0,0,34,74,64,1
238,49,33,0,0,33,68,65,1
239,41,17,0,0,35,51,50,1
242,40,34,0,0,48,50,49,1
243,50,23,0,0,23,69,66,1
245,27,24,0,0,17,64,62,1
247,48,32,0,0,35,58,57,1
249,26,24,0,0,29,57,55,1
254,29,18,0,0,30,60,58,1
256,25,28,0,0,39,59,57,1
258,21,21,0,0,28,67,65,1
272,51,42,0,0,24,74,71,1
274,38,26,0,0,30,65,54,1
275,5,27,0,0,36,60,51,1
277,21,13,0,0,36,80,75,1
311,58,28,0,0,48,63,61,1
332,59,16,0,0,35,64,62,1
334,42,31,0,0,40,64,62,1
90,36,36,0,0,14,64,9,1
