X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,class
41,42,312,312,242,15,43,1075,66,25,70,1,0,5,112,127,130,12,388,647,2,242,6,43,821,160,168,1,0,0,0,0,0,0
430,455,1574,1575,94,8,29,570,74,40,70,1,0,5,1155,471,158,6,507,582,2,94,4,28,796,566,82,1,0,0,0,0,0,0
534,559,1157,1157,57,6,18,365,89,42,45,1,0,8,1373,368,256,7,690,557,2,57,4,17,710,814,50,1,0,0,0,0,0,0
546,572,399,399,160,11,44,933,89,43,13,0,1,22,1108,710,111,17,435,647,2,160,5,44,837,664,149,1,0,0,0,0,0,0
807,842,501,502,556,58,196,1532,28,43,13,0,1,17,177,733,29,86,236,630,2,556,15,196,904,411,387,1,0,0,0,0,0,0
314,336,117,117,405,18,85,1370,54,44,29,0,1,0,980,365,85,41,449,647,2,405,9,84,857,314,336,1,0,0,0,0,0,0
310,340,170,170,801,189,267,1840,14,87,70,0,1,14,856,354,38,143,33,574,2,795,31,213,897,1473,387,1,0,0,0,0,0,0
170,178,253,253,118,9,19,968,114,73,70,0,1,14,503,359,478,24,784,647,2,118,8,19,618,1464,96,1,0,0,0,0,0,0
263,281,453,453,239,13,25,1162,44,61,70,0,1,14,729,83,478,39,765,647,2,239,11,25,618,829,160,1,0,0,0,0,0,0
69,78,690,690,514,44,161,1505,44,58,70,0,1,14,225,644,58,56,303,611,2,514,14,149,882,1112,387,1,0,0,0,0,0,0
101,101,713,713,344,11,47,1321,66,58,70,0,1,14,318,106,190,34,788,647,2,344,10,47,767,887,246,1,0,0,0,0,0,0
354,371,126,126,256,40,68,1181,87,36,70,0,1,14,963,1082,113,24,146,540,2,256,8,63,836,714,263,1,0,0,0,0,0,0
44,50,215,215,360,13,53,1366,92,67,70,0,1,14,128,162,167,34,733,647,2,360,10,53,789,1362,267,1,0,0,0,0,0,0
394,418,274,274,340,20,59,1259,52,28,70,0,1,14,1068,55,108,18,351,647,2,340,7,59,840,151,237,1,0,0,0,0,0,0
325,349,398,398,428,28,67,1396,27,50,70,0,1,14,904,149,175,51,407,567,2,428,13,64,781,231,339,1,0,0,0,0,0,0
441,469,494,494,490,57,127,1475,41,51,70,0,1,14,1186,723,74,51,183,642,2,490,13,118,868,701,387,1,0,0,0,0,0,0
145,170,650,650,639,135,200,1626,5,58,70,0,1,14,428,843,92,154,97,560,2,639,34,197,852,849,387,1,0,0,0,0,0,0
85,89,674,674,386,36,74,1348,69,51,70,0,1,14,264,782,141,45,317,573,2,386,12,72,810,675,350,1,0,0,0,0,0,0
77,77,739,739,123,6,24,770,82,43,70,0,1,14,246,78,215,8,769,647,2,123,5,24,743,695,83,1,0,0,0,0,0,0
925,957,15,15,191,13,26,1085,86,56,70,0,1,18,225,405,438,34,733,647,2,191,10,26,645,1086,154,1,0,0,0,0,0,0
17,23,42,42,256,16,33,1200,77,56,70,0,1,18,40,126,249,29,522,647,2,256,9,33,713,926,177,1,0,0,0,0,0,0
42,44,93,94,139,11,28,890,91,51,70,0,1,18,118,598,239,18,626,647,2,139,7,28,721,989,126,1,0,0,0,0,0,0
60,63,140,140,92,8,18,708,97,63,70,0,1,18,193,475,459,18,779,647,2,92,7,18,629,1386,81,1,0,0,0,0,0,0
77,80,180,181,239,13,38,1196,82,56,70,0,1,18,246,314,195,24,596,647,2,239,8,38,762,1179,183,1,0,0,0,0,0,0
70,73,222,222,183,15,34,1129,113,61,70,0,1,18,227,315,210,18,426,553,2,183,7,32,748,1437,141,1,0,0,0,0,0,0
849,876,1433,1434,155,7,22,835,67,28,24,0,1,0,3,33,369,30,817,647,2,155,7,22,668,281,98,1,0,0,0,0,0,0
