name,hobby,age,educational level,marital status,class
91,1,0,0,1,0
9,1,0,2,1,1
82,2,0,3,0,2
60,1,3,1,1,2
106,0,0,2,3,2
112,0,0,2,1,1
79,2,0,2,1,1
124,2,3,1,3,2
35,1,1,0,0,0
104,2,1,0,0,0
80,0,1,0,0,0
121,1,1,2,3,2
93,0,0,1,0,0
59,1,0,1,1,1
7,1,3,0,3,2
19,0,0,2,2,0
84,2,1,0,1,1
49,0,1,0,0,0
67,2,2,1,0,0
88,2,0,2,1,0
51,0,1,1,0,1
18,2,1,0,2,0
117,1,0,1,0,0
15,2,1,0,2,0
90,1,2,1,0,0
78,2,1,1,0,1
22,2,1,0,2,1
24,1,0,1,1,1
29,0,0,2,1,0
56,2,1,0,0,0
2,0,3,0,0,2
113,1,1,0,2,0
36,0,1,0,2,1
65,0,0,0,1,0
109,1,3,2,0,2
115,2,0,1,1,1
87,0,0,1,1,1
76,2,1,1,0,1
81,0,1,0,1,1
63,2,3,2,1,2
83,1,1,1,0,1
85,1,1,0,1,1
5,2,1,0,2,1
73,2,1,0,0,0
105,2,0,1,0,0
114,0,1,0,2,1
129,1,0,0,1,0
53,0,0,0,1,0
32,0,1,1,2,1
66,2,2,0,0,0
68,2,2,2,0,0
38,2,1,0,1,1
52,2,1,0,1,1
126,2,0,1,0,0
95,0,0,0,1,0
120,1,0,2,1,0
69,1,1,1,0,1
122,1,0,1,0,0
41,1,1,0,2,0
77,1,0,1,1,1
10,0,1,3,1,2
128,1,1,0,1,1
127,0,0,1,3,2
4,0,2,1,0,0
3,1,3,3,1,2
94,1,2,1,0,0
72,2,0,1,1,1
25,0,0,1,1,1
47,0,2,1,3,2
103,0,0,1,1,1
101,2,0,3,1,2
1,1,0,2,1,1
40,0,0,2,1,1
118,2,0,2,1,0
74,0,1,3,3,2
46,0,3,1,0,2
92,1,0,1,0,0
45,2,3,0,1,2
131,1,1,0,0,0
107,0,0,1,0,0
17,1,1,3,2,2
61,2,0,1,1,1
119,0,0,2,1,0
34,0,1,0,2,0
26,0,3,3,0,2
97,2,2,2,1,1
108,1,1,0,2,1
30,2,2,1,0,1
111,0,0,0,2,0
33,1,1,0,1,1
62,1,1,1,0,1
64,1,2,1,2,1
116,0,2,1,0,1
55,1,1,0,1,1
58,0,0,0,1,0
75,2,1,1,0,1
0,2,1,0,0,0
27,0,0,1,0,0
21,2,0,3,3,2
28,2,2,1,0,1
110,1,2,1,0,1
96,1,0,2,0,0
48,0,1,0,1,1
50,2,0,0,1,0
86,1,1,3,0,2
57,0,1,1,0,1
31,1,2,1,0,1
71,1,1,0,3,2
54,0,3,1,2,2
102,1,1,0,0,0
6,0,1,0,0,0
98,1,1,2,1,1
14,0,2,1,0,0
125,2,0,1,0,0
44,2,0,0,1,0
100,2,2,0,3,2
99,1,2,3,0,2
23,0,1,2,2,1
123,2,2,1,1,1
12,2,2,3,1,2
13,0,1,1,0,1
37,1,0,0,3,2
70,2,0,1,1,1
42,2,1,1,3,2
130,1,2,0,2,0
16,1,0,0,1,0
11,2,3,0,2,2
43,0,0,3,2,2
39,1,0,1,0,0
89,0,1,0,1,1
20,0,1,1,0,1
8,2,0,0,1,0
