surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_examination_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_total_protein,outcome,lesion_site,lesion_type,lesion_subtype,cp_data,surgical_lesion
1,0,125,40,36,14,2,2,6,1,4,3,3,3,3,20,2,4,34,69,3,39,1,55,0,0,1,1
0,0,215,51,47,7,4,4,3,0,2,3,1,3,3,20,3,1,43,79,1,9,2,13,0,0,1,1
1,0,140,36,22,11,0,0,2,0,2,2,0,3,3,20,0,0,10,32,3,39,0,0,0,0,0,1
0,1,265,50,17,35,3,0,5,1,1,3,3,0,1,9,2,5,40,49,2,33,1,13,0,0,0,0
1,0,133,15,1,18,4,4,5,1,5,4,4,3,3,20,4,5,77,51,3,39,1,36,0,0,1,1
1,0,44,65,52,40,1,0,2,0,1,2,1,1,0,20,2,2,80,84,3,39,0,0,0,0,1,1
0,0,6,27,27,5,0,0,0,0,2,2,2,0,0,20,2,4,18,46,3,39,0,23,0,0,1,0
0,0,97,65,33,40,2,4,6,0,5,3,1,1,0,20,2,3,32,68,3,39,1,13,0,0,1,0
1,0,124,65,43,19,2,3,2,0,3,3,3,1,0,20,2,4,21,27,3,39,2,25,0,0,1,0
1,1,280,36,48,40,0,4,0,0,4,2,0,1,0,20,2,5,24,27,0,12,0,0,0,0,0,1
0,0,49,32,36,1,2,2,4,0,2,2,0,1,0,3,1,4,32,25,1,22,0,9,0,0,0,0
1,0,23,50,39,26,1,4,1,0,1,0,1,0,0,20,3,3,44,55,3,39,0,6,0,0,1,0
0,0,30,13,23,1,1,0,0,0,2,2,2,2,0,20,3,4,80,46,3,39,0,32,0,0,1,1
1,1,269,30,49,14,0,0,1,0,0,2,1,2,3,18,0,0,18,26,0,39,1,0,0,0,0,1
0,0,220,33,41,14,2,0,0,0,2,3,0,1,1,20,3,3,35,77,0,9,0,7,0,0,1,0
0,0,128,21,50,23,2,0,3,0,4,2,2,1,2,8,3,5,34,33,3,39,1,26,0,0,1,0
0,1,281,65,8,19,2,2,3,1,3,3,2,2,3,20,3,4,50,55,2,29,1,5,0,0,0,1
1,0,5,19,27,11,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,0,0,0,0,1,1
0,0,266,21,34,8,0,0,1,0,1,2,0,0,0,20,1,4,24,46,0,39,0,33,0,0,0,0
1,0,159,55,3,18,3,2,5,3,5,2,2,3,3,20,4,5,53,72,3,39,0,0,0,0,1,1
0,0,126,61,39,28,0,0,4,1,4,3,3,2,0,20,3,3,36,26,1,39,0,6,0,0,1,0
1,0,82,38,27,5,0,4,0,0,0,2,0,1,2,12,3,2,42,33,3,39,0,0,0,0,1,1
0,0,2,42,23,17,1,0,3,3,1,2,0,3,3,20,0,5,40,49,3,39,0,19,0,0,1,0
0,1,225,35,10,28,4,2,6,0,1,3,4,3,3,20,4,5,43,57,3,39,0,19,0,0,1,0
0,0,162,31,33,1,2,2,2,0,5,3,2,2,1,2,4,5,45,40,3,39,0,19,0,0,1,0
1,0,95,25,33,21,4,4,6,0,5,4,4,3,3,20,4,5,80,84,3,39,0,0,0,0,1,1
0,0,152,36,39,15,3,2,2,1,2,2,2,1,0,20,2,4,30,46,1,24,0,19,0,0,0,0
0,0,56,25,27,1,2,0,0,0,5,2,1,0,0,20,0,2,18,12,1,3,0,31,0,0,0,1
0,0,256,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,1,36,0,0,1,1
1,0,249,22,27,40,1,0,0,0,0,0,0,0,0,20,4,5,33,63,3,39,0,0,0,0,1,1
1,0,91,23,50,15,2,2,3,1,4,3,3,2,1,5,3,4,68,52,3,39,1,33,0,0,1,0
1,0,130,13,2,1,2,2,3,1,1,3,1,3,2,14,2,2,48,67,2,37,2,12,0,0,0,0
0,0,88,13,33,40,1,0,0,0,2,2,2,1,0,20,3,4,30,31,3,39,0,14,0,0,1,0
0,0,101,34,34,14,0,0,0,0,2,0,4,3,3,20,3,3,42,71,1,35,0,13,0,0,0,0
0,0,110,65,0,15,2,2,3,1,4,3,3,2,2,20,3,3,48,31,3,39,0,4,0,0,1,0
1,0,65,65,1,11,3,2,2,1,3,3,2,3,2,20,4,1,76,69,3,39,2,46,0,0,1,0
1,0,93,36,4,5,4,2,4,1,5,4,0,0,1,20,4,4,46,25,1,2,2,40,0,0,0,1
0,0,171,24,39,40,4,2,6,0,4,2,0,3,0,20,0,0,55,76,0,9,0,19,0,0,1,0
