sex,age,country,returning,GImg1,GImg2,GImg3,PImg1,PImg2,PImg3,PImg4,PImg5,Tense - relaxed,Authoritative -anarchic ,Hostile - friendly,TAudio1,TAudio2,TAudio3,QAudio1,QAudio2,QAudio3,Proxemics,Type of Client(class)
0,16,15,0,2,1,2,1,0,1,1,1,3,8,2,2,0,0,1,0,0,0,0
1,28,1,0,2,1,2,1,0,2,2,0,1,9,0,1,0,0,2,2,0,0,0
0,1,6,0,1,1,2,1,0,1,2,1,4,1,4,2,0,0,2,0,0,0,0
1,17,2,0,2,0,1,1,0,1,1,1,2,2,0,2,0,0,2,0,1,0,0
1,6,8,0,1,1,2,1,0,1,2,1,2,9,2,2,0,0,2,1,0,0,0
0,7,2,1,2,2,3,1,0,2,2,1,0,9,0,1,1,0,2,1,0,0,1
1,31,2,1,1,2,3,1,0,1,1,1,0,1,1,1,0,0,2,1,0,0,1
1,23,0,1,2,2,3,1,0,1,2,1,0,9,0,1,1,0,2,1,0,0,1
0,4,8,0,2,2,3,1,0,1,1,1,3,3,2,2,1,0,2,1,0,0,1
1,38,6,1,2,2,3,1,0,2,2,2,0,3,1,0,0,1,2,0,2,1,2
0,10,6,1,2,2,3,1,0,2,2,1,0,4,0,0,0,1,2,1,2,0,2
0,8,11,1,2,2,3,1,0,2,2,1,0,0,2,0,1,0,2,0,1,0,2
1,11,6,1,2,2,3,1,0,2,2,1,0,2,0,0,0,1,2,0,1,0,2
1,4,6,1,2,1,3,1,0,2,2,1,0,7,4,0,1,1,2,1,1,0,2
0,26,0,0,2,2,3,1,0,2,2,1,0,8,0,1,0,0,2,0,1,0,2
1,26,0,0,2,1,3,1,0,2,2,1,0,1,3,1,0,0,2,0,1,0,2
0,24,4,0,2,2,3,1,0,2,1,1,2,8,1,1,0,1,2,0,0,0,2
1,25,2,1,2,1,3,1,0,2,2,1,1,4,4,1,0,0,2,0,0,0,2
1,34,2,1,2,2,3,1,0,2,0,1,0,6,0,1,1,1,2,0,0,1,2
0,0,6,1,2,2,3,1,0,2,1,1,4,3,3,1,0,2,2,0,0,0,2
0,27,2,1,2,2,3,1,0,2,2,1,0,6,0,1,0,0,2,0,0,0,2
1,9,2,0,1,2,3,1,0,2,2,1,0,3,0,0,0,0,2,0,0,1,2
0,27,13,1,2,2,3,1,0,2,2,1,0,1,1,0,0,0,2,0,0,0,2
1,29,11,1,2,2,3,1,0,2,2,1,0,1,1,1,0,0,2,0,0,0,2
0,26,11,1,2,2,3,1,0,2,2,1,0,4,1,1,0,0,2,0,0,0,2
0,21,2,1,2,2,3,1,0,2,2,1,0,7,0,0,1,0,2,0,0,1,2
1,22,2,1,2,2,3,1,0,2,2,1,0,9,0,0,0,0,2,0,0,0,2
0,13,2,1,2,2,3,1,0,2,2,1,0,0,0,0,1,0,2,0,0,0,2
0,30,2,0,2,2,3,1,0,2,2,1,0,7,2,1,1,0,2,0,0,0,2
1,32,2,0,2,2,3,1,0,2,2,1,0,6,0,1,1,0,2,0,0,0,2
0,18,13,1,2,1,3,1,0,2,1,1,0,3,0,1,0,1,2,0,0,0,2
1,21,13,1,2,2,2,1,0,2,2,1,4,1,0,1,0,0,2,0,0,0,2
1,36,6,1,2,2,3,1,0,2,2,1,0,6,0,1,0,1,2,0,0,0,2
0,10,6,1,2,2,3,1,0,2,2,1,0,5,0,0,0,1,2,0,0,1,2
1,16,6,1,2,2,3,1,0,2,2,1,0,5,2,0,0,1,2,0,0,0,2
0,33,6,1,2,2,3,1,0,2,2,1,0,2,0,0,0,1,2,0,0,2,2
1,35,6,1,2,2,3,1,0,2,2,1,0,2,1,0,0,1,2,0,0,0,2
1,39,6,0,2,1,3,1,0,2,2,1,0,8,0,1,0,0,2,0,0,0,2
0,22,2,1,2,2,2,1,0,2,2,0,1,2,1,1,0,0,2,0,0,0,2
1,34,2,1,2,2,3,1,0,2,2,1,0,0,0,0,0,0,2,0,0,0,2
0,30,2,1,2,2,3,1,0,2,2,1,0,0,0,0,0,0,2,0,0,0,2
1,19,6,1,2,2,3,1,0,1,2,1,0,0,0,1,0,1,2,0,1,0,2
0,13,2,0,2,2,3,1,0,2,2,1,0,4,0,0,0,0,2,0,0,0,2
0,14,6,1,2,2,3,1,0,2,2,1,0,10,0,0,0,0,2,1,0,0,2
0,40,3,1,2,2,3,1,0,1,2,1,0,2,0,0,0,0,2,0,0,1,2
0,37,6,1,1,2,3,1,0,2,1,1,1,7,4,0,0,1,2,0,1,1,3
0,23,6,1,2,1,2,1,0,2,1,1,2,3,3,2,0,1,2,1,0,0,3
1,24,6,1,2,1,2,1,0,2,0,1,1,4,0,1,0,0,2,0,1,0,3
0,9,6,0,2,1,2,1,0,2,1,1,1,2,2,2,1,0,2,0,0,0,3
1,24,7,1,1,1,2,1,0,0,1,1,4,2,1,1,0,0,2,0,0,0,3
0,12,6,0,2,2,2,1,0,2,1,1,1,2,3,1,0,0,2,0,0,0,3
0,26,6,1,2,1,2,1,0,2,2,1,0,0,0,1,0,0,2,0,0,0,3
1,24,6,1,2,1,2,1,0,2,2,1,0,0,0,1,0,0,2,0,0,0,3
1,15,5,0,2,1,2,1,0,0,1,1,1,3,1,1,0,0,2,0,0,0,3
1,2,9,1,2,2,2,1,0,2,2,1,1,4,1,1,0,0,2,0,1,0,3
1,6,6,0,0,0,1,1,0,0,0,1,4,9,1,2,0,2,2,0,0,0,4
0,5,12,0,2,1,2,1,0,2,2,1,4,5,0,2,1,0,2,0,0,0,4
1,20,9,0,1,0,1,1,0,0,0,1,1,8,1,2,0,0,2,0,0,0,4
1,27,9,0,1,0,1,0,0,1,0,1,3,2,0,2,0,0,0,0,0,0,4
0,14,10,0,1,1,1,1,0,0,0,1,1,1,2,0,1,0,0,0,0,0,4
1,12,7,0,0,0,1,1,0,0,0,1,2,3,1,2,1,0,1,0,0,0,4
0,26,6,0,1,0,1,1,0,0,1,1,4,2,0,3,0,0,0,0,0,0,4
1,2,6,0,1,0,1,1,0,0,0,1,3,2,4,2,0,0,2,0,0,0,4
0,26,12,0,1,0,1,1,0,0,0,1,4,4,5,3,0,0,2,0,1,0,4
0,21,7,0,1,0,1,0,0,0,0,1,4,9,5,3,0,0,2,0,0,0,4
0,1,14,0,1,1,2,1,0,0,0,1,2,4,1,2,0,0,2,0,0,0,4
0,1,14,0,1,1,3,1,0,0,0,1,1,6,1,2,0,0,1,0,0,0,4
0,3,14,0,1,1,3,1,0,0,0,1,2,9,1,2,0,0,2,0,0,0,4
0,10,6,0,1,0,1,1,0,0,1,1,4,7,3,2,0,0,2,0,0,0,4
1,12,12,0,0,0,1,1,0,0,1,1,4,2,4,2,0,0,0,0,0,0,5
0,19,2,0,0,1,2,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,5
1,13,7,0,0,0,0,1,0,0,0,1,4,4,3,2,0,0,1,0,0,0,5
1,3,2,0,0,2,2,1,0,0,0,1,3,9,4,0,0,0,2,0,0,2,5
