col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,class
58,48,47,74,69,58,49,124,141,73,94,21,0
64,54,137,75,144,60,47,162,81,95,86,114,0
67,162,161,152,90,162,85,76,5,71,116,167,1
163,152,121,144,53,149,157,99,2,30,154,166,0
32,112,104,101,86,116,58,13,73,116,60,133,0
121,137,130,100,114,123,159,6,71,144,26,152,0
84,133,166,160,147,127,126,10,125,70,108,12,1
122,105,160,145,145,91,142,32,54,8,167,4,0
171,89,1,9,13,51,173,161,96,115,57,108,0
170,139,10,8,16,114,167,155,122,55,119,22,0
105,86,134,90,124,105,79,61,77,89,90,111,1
146,156,174,173,164,153,148,56,26,17,160,98,0
53,80,165,137,156,85,73,34,58,13,162,29,0
15,126,157,139,122,137,34,14,84,67,101,88,0
59,31,44,28,94,35,36,136,65,21,157,43,1
87,2,11,2,127,1,76,126,137,66,105,18,0
150,170,117,168,15,171,140,41,113,57,113,36,0
125,174,158,172,33,175,143,96,166,156,24,31,0
69,94,102,124,72,122,42,80,117,121,52,91,1
133,143,98,103,62,139,144,38,174,171,1,56,0
157,84,89,62,128,38,170,95,171,150,22,14,0
160,66,156,78,167,50,153,104,150,63,102,10,0
6,4,84,24,158,7,3,73,92,120,62,99,1
33,32,116,64,135,39,43,47,104,168,7,149,0
132,114,96,128,70,110,131,147,157,145,25,45,0
134,35,62,31,113,31,125,112,167,142,30,23,0
19,13,87,58,139,17,24,11,82,86,91,92,1
11,21,14,21,57,20,28,16,47,29,144,73,0
112,87,29,53,42,89,93,107,59,40,136,81,0
77,157,34,84,11,160,57,150,144,112,64,34,0
93,127,128,87,88,135,78,58,56,140,33,157,1
8,100,85,133,52,130,7,67,40,36,140,118,0
94,71,8,19,30,48,102,93,57,12,163,30,0
80,123,25,50,25,117,84,102,80,114,56,135,0
141,149,122,166,50,151,116,175,169,166,8,78,1
169,160,54,132,26,141,166,172,161,164,9,106,0
147,28,48,69,101,23,139,36,160,113,67,3,0
130,56,18,48,48,52,120,121,119,74,100,32,0
136,130,0,0,12,79,149,120,158,158,18,61,1
46,151,6,6,7,140,77,79,134,147,28,82,0
153,72,37,107,44,74,115,174,112,59,111,72,0
172,106,68,131,60,86,171,128,123,157,17,139,0
154,113,154,163,112,121,129,166,51,28,151,74,1
115,99,168,156,157,95,122,163,62,49,125,113,0
117,24,83,60,119,37,68,131,52,16,159,58,0
75,8,147,57,173,10,62,85,63,54,124,94,0
162,76,64,55,84,63,146,157,27,20,152,120,1
111,27,149,118,159,27,83,171,37,4,171,20,0
44,77,170,123,170,82,66,52,155,163,10,97,0
144,92,163,135,146,103,118,135,20,35,147,134,0
100,134,20,140,8,145,75,108,98,105,70,96,1
173,172,49,147,5,168,174,35,31,128,54,160,0
13,167,171,171,106,170,21,82,143,135,39,60,0
4,110,169,146,161,118,8,122,152,60,106,9,0
50,75,106,93,116,68,92,9,38,83,88,150,1
18,161,127,154,49,163,54,5,87,162,13,158,0
86,17,78,5,162,12,91,83,76,104,73,115,0
63,129,92,71,77,125,94,45,95,143,27,137,0
37,36,23,7,67,56,23,109,142,124,53,42,1
70,5,97,12,169,4,39,149,55,110,71,143,0
90,22,80,37,129,24,70,40,16,37,148,145,0
10,10,60,88,118,16,10,31,15,61,118,163,0
49,83,129,134,123,81,59,119,23,33,146,126,1
110,19,119,32,163,14,137,25,3,80,104,171,0
127,60,77,79,104,45,136,148,75,15,156,33,0
174,103,36,98,43,83,172,87,28,2,172,8,0
62,166,120,161,24,167,87,12,136,117,45,64,1
12,131,136,129,81,148,17,20,132,103,63,52,0
128,122,7,26,6,120,112,78,162,170,3,101,0
51,49,21,29,63,49,56,92,108,138,42,93,0
74,173,135,162,31,172,134,29,109,119,61,48,1
2,159,142,142,68,165,2,7,159,165,11,62,0
55,115,69,33,87,84,99,86,90,34,141,25,0
82,119,33,73,36,104,117,46,138,137,34,49,0
52,58,159,121,153,62,61,103,154,107,66,11,1
107,95,133,72,143,66,130,44,168,130,43,5,0
28,23,61,27,99,41,13,133,78,65,112,103,0
81,67,100,66,98,93,44,101,128,51,122,28,0
39,29,111,41,138,36,31,140,30,10,165,79,1
47,1,12,1,120,2,11,169,12,22,153,153,0
38,108,138,127,95,131,16,141,151,90,87,16,0
96,118,139,157,83,133,48,173,22,3,173,26,0
66,146,115,170,32,158,41,153,21,6,169,75,1
118,169,81,167,1,173,55,158,130,151,29,90,0
149,70,150,106,148,55,160,26,79,64,110,87,0
164,40,118,82,141,25,165,88,32,14,158,112,0
99,11,57,59,126,13,65,145,101,46,127,38,1
92,104,167,174,133,115,121,15,149,154,19,53,0
22,107,17,13,37,109,27,130,44,38,139,116,0
108,125,59,92,64,101,141,81,164,161,14,65,0
161,97,40,91,51,70,155,142,94,76,97,80,1
140,51,13,65,20,61,109,137,93,125,49,128,0
48,165,141,151,66,161,119,2,14,131,47,170,0
25,164,126,122,58,159,90,3,1,75,114,174,0
71,69,19,89,23,97,46,110,102,108,65,84,1
113,102,95,70,93,99,95,167,70,39,143,47,0
9,6,5,3,97,3,14,123,61,52,120,119,0
57,14,74,40,125,22,29,154,68,93,79,132,0
95,38,38,25,92,28,107,90,105,94,74,59,1
61,55,93,97,110,64,45,138,24,19,161,107,0
155,98,109,126,109,72,154,115,156,109,55,24,0
156,33,143,61,168,19,150,146,129,85,83,41,0
120,155,32,54,19,144,138,71,153,152,21,63,1
26,141,9,10,10,134,52,70,172,169,2,54,0
29,53,27,95,34,80,15,143,8,50,131,164,0
68,34,76,52,115,40,60,100,9,31,150,148,0
21,168,144,141,54,166,53,17,140,88,80,27,1
116,138,56,112,17,154,108,4,36,84,92,147,0
14,82,52,113,38,113,12,23,33,44,132,124,0
0,25,79,125,100,53,1,1,25,11,164,55,0
31,20,43,109,56,42,9,164,19,58,128,151,1
1,0,72,15,154,6,0,151,67,99,82,123,0
123,140,75,38,76,129,132,91,139,133,51,37,0
148,50,125,46,152,32,156,21,66,118,58,142,0
45,120,173,130,171,108,72,129,100,149,31,110,1
34,121,175,165,174,132,33,106,135,96,77,44,0
142,142,50,120,22,138,145,125,173,174,0,100,0
165,16,73,30,142,11,162,54,99,129,38,117,0
98,44,112,81,137,30,127,37,145,167,4,146,1
3,111,103,148,74,124,20,8,88,127,36,140,0
102,175,41,105,0,174,128,84,0,9,168,173,0
138,163,24,111,4,164,113,74,11,1,174,35,0
158,9,86,36,165,5,163,24,53,42,133,76,1
5,45,58,42,75,73,5,19,127,123,48,70,0
97,101,162,143,151,96,123,55,17,69,109,156,0
73,42,91,116,111,46,67,132,50,92,89,141,0
