col1,col2,col3,col4,col5,col6,col7,class
114,99,87,119,99,36,59,0
107,90,117,94,101,3,19,0
92,71,175,49,102,54,12,0
82,65,154,55,105,41,11,0
127,106,173,104,135,7,51,0
96,76,153,65,99,48,19,0
102,86,114,95,91,99,58,0
89,72,147,77,98,55,24,0
136,117,98,144,121,27,103,0
134,112,140,131,128,25,90,0
114,100,84,112,88,147,74,0
87,73,113,78,83,18,25,0
83,67,140,79,82,117,5,0
80,70,102,85,77,80,17,0
79,69,96,86,68,67,12,0
101,78,166,60,101,128,7,0
85,61,185,18,106,174,7,0
122,96,177,91,131,15,32,0
103,76,184,35,122,20,3,0
59,49,82,39,60,123,18,0
90,83,54,104,72,74,52,0
89,77,90,90,79,53,58,0
124,103,161,101,129,0,39,0
38,31,76,15,44,9,22,0
110,97,73,121,89,21,25,0
130,110,126,125,115,2,70,0
68,57,69,69,57,92,12,0
61,53,49,69,47,49,15,0
89,75,121,92,85,58,29,0
76,67,60,89,62,97,41,0
70,60,75,82,52,1,34,0
117,105,91,117,103,93,63,0
88,84,42,114,80,114,68,0
84,74,93,99,74,30,28,0
112,95,105,111,100,31,79,0
126,107,168,110,126,43,84,0
131,113,94,123,120,60,88,0
141,116,181,124,147,69,85,0
105,87,122,103,95,77,72,0
91,74,152,70,97,199,25,0
78,63,137,58,77,51,53,0
77,63,128,60,78,39,52,0
70,48,171,22,83,47,9,0
118,101,121,130,110,152,89,0
113,88,160,98,118,79,54,0
81,68,111,63,76,14,22,0
115,97,133,108,108,8,43,0
109,89,141,97,104,70,51,0
104,87,120,93,96,56,42,0
106,94,78,107,90,31,77,0
97,83,100,99,93,115,46,0
123,104,150,106,116,187,45,0
99,92,43,113,67,124,81,0
93,78,124,88,82,86,62,0
100,91,45,116,67,12,86,0
111,98,74,109,84,23,82,0
98,80,119,66,104,59,30,0
108,85,169,64,113,4,37,0
116,98,130,105,114,26,61,0
40,44,23,26,58,13,0,0
22,9,80,4,37,55,2,0
13,2,125,1,38,42,4,0
48,27,150,10,59,81,1,0
72,62,79,69,63,126,37,0
63,49,88,44,57,5,8,0
66,45,139,23,69,45,2,0
94,81,92,102,81,6,48,0
86,79,65,100,78,35,43,0
95,82,92,96,75,10,69,0
60,56,31,74,39,98,36,0
147,131,77,160,134,122,122,1
139,123,64,138,125,149,103,1
143,124,103,135,141,146,97,1
173,141,182,156,179,68,123,1
138,118,109,140,127,118,101,1
137,120,67,134,117,160,99,1
144,129,59,146,111,112,109,1
189,168,103,184,169,143,144,1
168,149,99,176,142,169,141,1
142,119,143,127,137,65,94,1
135,115,122,129,123,185,105,1
160,137,157,139,172,176,104,1
187,160,144,168,174,170,130,1
182,159,105,174,160,11,137,1
181,157,106,172,166,71,129,1
152,133,136,158,143,46,132,1
166,141,156,147,157,16,126,1
171,156,56,181,144,108,146,1
192,167,162,183,183,189,135,1
190,166,172,178,182,168,140,1
185,164,97,185,162,24,143,1
162,138,158,157,165,78,121,1
163,142,146,167,151,82,121,1
158,132,179,142,173,194,103,1
154,151,28,186,126,162,142,1
140,121,71,151,119,109,116,1
178,153,118,171,168,94,136,1
171,152,83,177,133,32,145,1
151,141,66,166,130,64,137,1
160,145,116,161,148,33,124,1
133,112,135,115,132,130,91,1
149,127,165,132,152,28,100,1
180,150,159,150,176,134,119,1
177,155,89,173,146,90,134,1
169,147,123,164,155,91,127,1
164,142,148,142,163,50,104,1
165,135,176,154,167,63,133,1
147,127,115,141,138,110,111,1
183,163,101,187,156,83,147,1
157,139,134,155,145,19,106,1
156,134,149,148,158,37,98,1
179,158,88,169,164,107,114,1
174,143,174,159,178,29,110,1
175,154,90,165,154,198,121,1
191,169,131,182,181,150,138,1
172,148,129,175,153,38,128,1
170,138,180,143,177,137,95,1
176,148,142,163,170,76,129,1
167,140,170,162,158,106,115,1
184,161,117,179,172,73,139,1
188,162,145,170,180,192,131,1
150,134,104,145,136,103,120,1
129,116,55,118,107,133,93,1
155,130,180,137,159,72,107,1
125,102,178,62,140,88,46,1
