col1,col2,col3,col4,col5,col6,col7,col8,col9,class
15,129,10,54,32,88,33,31,16,1
20,110,25,54,21,114,42,75,33,3
18,110,15,54,41,83,35,13,6,0
2,110,9,54,32,106,46,31,9,0
2,110,12,54,34,62,49,29,6,0
50,110,21,50,23,89,11,66,45,4
21,110,14,54,19,99,31,69,36,3
20,109,28,51,42,84,46,24,6,0
18,118,10,54,32,88,29,31,17,3
2,110,34,47,32,88,70,56,9,0
2,110,11,52,26,88,48,48,17,0
10,110,17,54,39,108,44,20,5,0
3,112,10,54,36,95,45,21,5,0
2,110,11,54,20,93,47,64,25,0
6,110,33,54,36,80,65,44,6,0
6,110,22,55,36,72,54,33,6,0
12,110,18,52,39,84,44,22,5,0
14,110,12,54,39,83,36,15,6,0
14,113,15,54,40,92,39,16,5,0
2,19,38,52,35,84,74,52,5,0
9,113,10,54,38,90,39,16,5,0
64,112,41,54,48,88,9,21,23,4
2,105,9,54,32,88,46,31,9,0
14,110,33,54,40,107,58,34,5,0
10,109,20,52,38,84,49,26,5,0
2,114,13,54,20,88,49,66,25,0
20,109,31,54,41,96,48,29,7,3
20,110,19,62,42,88,37,15,5,0
20,113,21,57,42,88,38,16,6,0
2,110,7,54,31,87,44,31,10,0
2,110,39,54,35,91,74,52,6,0
14,110,40,54,39,72,64,43,6,0
44,115,16,54,3,88,12,113,68,4
16,110,12,54,41,117,34,10,5,0
24,114,17,54,44,112,31,7,5,0
2,110,41,54,33,67,77,60,8,0
21,113,30,54,39,97,47,34,10,3
4,115,10,54,36,88,43,21,5,0
16,105,14,54,41,88,36,13,5,0
14,110,10,54,39,79,35,14,6,0
11,112,10,54,38,69,38,17,6,0
21,110,14,54,43,88,30,7,5,0
21,110,12,54,27,91,29,46,25,3
2,110,38,54,34,92,74,54,7,0
41,110,14,52,5,101,13,105,64,4
21,110,13,54,43,95,30,6,5,0
6,112,9,54,37,99,41,18,5,0
6,111,18,54,36,88,50,29,6,0
21,106,30,54,41,86,47,28,7,3
14,110,28,55,40,90,52,29,5,0
2,112,9,54,35,88,44,22,6,0
21,111,32,54,40,104,48,32,9,3
21,106,21,54,43,88,37,14,5,0
2,107,14,52,36,79,49,25,5,0
12,110,17,58,39,88,44,21,5,0
6,111,19,56,37,102,51,28,5,0
18,113,14,54,42,88,33,9,5,0
12,115,12,54,39,88,38,15,5,0
62,117,38,61,48,88,9,18,22,4
59,107,35,50,49,88,9,12,19,4
10,110,19,54,38,71,47,25,6,0
7,114,10,54,37,89,41,18,5,0
10,110,12,54,38,84,40,18,6,0
2,110,13,54,35,103,49,27,6,0
21,110,29,53,38,88,46,35,11,3
21,110,14,54,17,85,31,75,38,3
7,110,16,56,37,88,47,25,6,0
16,111,21,54,41,95,43,20,5,0
14,113,15,54,39,80,39,18,6,0
6,111,19,57,37,94,51,28,5,0
2,110,10,54,50,255,47,1,1,0
14,110,17,54,39,84,42,21,6,0
2,109,10,51,34,82,46,26,6,0
6,110,12,54,36,65,44,24,6,0
16,110,12,54,41,90,33,10,5,0
20,109,12,50,29,76,30,42,22,3
6,110,10,54,37,93,43,19,5,0
11,107,13,54,39,88,40,17,5,0
21,110,12,54,20,64,30,65,34,3
9,110,15,53,38,88,44,21,5,0
10,110,16,54,39,119,43,19,5,0
2,110,10,53,35,92,46,24,5,0
2,110,8,53,35,88,44,22,5,0
2,111,10,52,34,88,46,26,6,0
16,110,12,54,40,82,34,13,6,0
11,106,9,53,39,88,35,12,5,0
14,110,10,59,40,93,34,11,5,0
10,110,41,54,38,85,68,47,6,0
7,110,12,52,37,88,42,20,6,0
2,110,11,54,29,78,47,40,13,0
2,110,9,51,35,78,45,23,6,0
18,115,17,54,41,83,37,15,6,0
3,114,9,54,36,92,44,20,5,0
5,110,13,54,36,86,46,24,6,0
12,112,28,57,39,88,54,32,5,0
10,110,12,59,38,88,40,18,6,0
6,109,19,54,37,88,51,28,5,0
20,110,28,54,35,101,46,42,15,3
21,110,28,54,43,103,46,22,5,0
16,107,16,54,40,74,38,16,6,0
2,110,8,54,34,98,44,24,6,0
2,110,8,54,32,104,44,29,9,0
46,108,17,54,14,58,12,86,54,4
8,110,28,50,37,84,58,37,6,0
6,110,17,56,37,113,49,26,5,0
14,110,20,47,39,63,44,24,6,0
14,110,16,54,39,74,40,20,6,0
2,107,10,54,29,88,46,39,13,0
46,110,17,54,16,117,12,80,52,4
20,111,17,54,42,87,35,13,6,0
20,110,29,54,39,111,47,33,9,3
7,110,14,52,37,84,45,22,5,0
44,110,16,54,5,91,12,108,65,4
24,105,17,54,44,94,31,7,5,0
21,107,20,54,43,88,37,13,5,0
20,110,15,55,17,88,32,75,38,3
21,110,25,54,20,84,42,78,34,3
11,110,13,54,39,88,40,17,5,0
21,110,11,54,24,69,28,53,29,3
2,110,16,54,34,95,53,33,6,0
2,110,10,54,22,105,46,57,22,0
18,109,20,49,41,78,40,18,6,0
2,109,12,50,35,82,48,26,6,0
