col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,class
0,0,3,1,0,0,0,3,0,4,0,0,0,0,0,1,0,0,3,3,1,0,1,1,0,3,3,2,3,0,3,0,0,6,2,2,5,0,0,3,5,4,0,0,0,2
1,3,3,0,2,2,2,0,0,4,0,1,0,0,0,0,0,0,3,3,1,2,0,3,3,3,3,2,1,1,0,1,0,0,2,2,4,0,0,0,4,1,0,1,0,2
2,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,1,1,3,0,2,2,0,3,3,3,3,2,1,1,0,1,0,3,2,2,4,1,1,3,4,1,0,1,0,2
3,3,3,0,2,2,2,0,0,4,1,0,0,0,0,0,1,1,3,1,3,2,0,3,3,3,3,2,1,0,3,1,0,3,2,2,5,3,1,3,4,1,0,1,0,2
4,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,1,0,3,3,1,2,0,3,3,3,3,2,0,0,3,0,0,6,2,2,4,0,0,3,4,1,0,1,0,2
5,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,0,1,0,1,0,3,2,2,4,1,1,3,4,1,0,1,0,2
6,0,3,1,1,0,0,4,0,4,0,0,0,0,0,0,1,1,3,0,2,2,0,3,3,3,3,2,1,1,0,1,0,3,2,2,5,3,1,3,4,1,0,1,0,2
7,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,1,1,0,1,0,1,1,2,4,0,0,3,4,2,0,0,0,2
8,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,1,1,0,1,0,1,0,2,4,0,0,0,5,2,0,0,0,2
9,3,3,0,2,2,2,0,0,4,1,0,0,0,0,0,0,1,3,1,2,2,0,3,3,3,3,2,1,0,3,0,0,6,2,2,1,0,0,0,4,3,0,0,0,2
10,3,3,0,2,2,2,0,0,4,1,0,0,0,0,0,0,1,3,1,3,1,2,0,4,3,3,2,3,0,3,0,0,6,2,2,1,0,0,3,5,3,0,0,0,2
11,3,3,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,1,1,2,2,0,3,3,3,3,2,3,0,3,0,0,6,2,2,1,0,0,3,7,3,0,0,0,2
12,0,3,1,0,1,0,1,0,4,2,0,1,0,0,1,0,0,1,3,1,3,0,0,2,3,3,2,3,1,1,0,0,6,2,2,6,0,0,1,4,4,0,0,0,2
13,1,4,1,0,0,1,3,0,2,2,0,1,0,0,0,0,0,1,3,1,0,1,2,4,3,1,0,3,0,3,0,0,6,2,2,1,2,1,3,4,4,0,0,0,2
14,1,4,1,0,0,0,2,0,2,2,0,0,0,0,0,0,1,3,2,2,0,1,2,4,3,2,3,3,0,3,0,0,6,2,2,1,2,1,0,6,4,0,0,0,2
15,1,2,1,0,0,0,4,0,2,2,0,1,0,0,0,0,0,0,3,1,0,1,2,4,3,0,0,3,0,3,0,0,6,2,2,1,4,1,0,4,4,0,0,0,2
16,1,4,1,1,0,0,2,0,0,2,0,0,0,1,0,0,0,1,1,1,2,1,2,4,3,0,3,2,0,3,0,0,6,2,2,4,2,1,3,3,4,0,0,0,2
17,1,4,1,0,0,0,3,0,1,2,0,0,0,1,0,0,0,1,1,2,0,1,0,1,3,1,1,2,0,3,0,0,6,2,2,5,4,1,3,4,4,0,0,0,2
18,2,4,1,1,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,2,4,3,0,1,3,0,3,0,0,6,2,2,1,4,1,0,3,4,0,0,0,2
