Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,7,5,1,1,0,28,0,12,9,5,9,270,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0
0,5,1,10,1,0,78,0,0,2,3,3,419,1,0,0,0,1,0,2,0,0,6,6,6,573,0,0,6,6,6,461,0,7,1,5,2
0,0,5,4,1,0,28,0,21,26,9,9,245,1,0,0,0,1,0,2,0,0,6,0,0,0,0,0,6,0,0,0,0,3,5,6,0
0,7,2,14,1,0,28,0,22,26,5,3,193,1,0,0,1,0,0,3,0,0,6,8,6,446,0,0,6,10,5,185,0,2,0,1,2
1,11,1,2,0,0,4,0,21,27,9,9,411,0,0,0,1,0,0,28,0,0,6,9,5,170,0,0,6,6,6,311,0,7,1,5,2
1,11,1,16,0,11,43,0,21,26,9,7,145,0,0,1,1,1,0,33,0,0,5,10,5,108,0,0,5,17,5,59,5,9,2,3,2
0,0,1,11,1,0,57,0,12,27,7,10,281,1,0,0,1,0,1,1,0,0,7,9,7,400,0,0,8,8,8,582,0,8,7,0,2
0,8,4,10,1,0,24,0,21,26,9,9,129,1,0,0,0,1,0,5,0,0,5,5,0,0,0,0,5,5,0,0,0,8,7,0,0
0,0,3,9,1,0,48,14,0,0,9,9,290,0,0,0,1,0,1,4,1,0,6,8,6,549,0,0,6,7,6,550,0,9,2,3,2
0,0,1,9,1,0,49,0,0,13,4,7,227,1,0,1,0,0,0,1,0,0,6,9,5,53,0,0,6,14,2,430,0,1,5,9,0
0,0,1,13,1,0,52,0,22,13,5,7,303,1,0,0,1,0,0,1,0,0,6,6,6,170,0,0,6,7,5,557,0,7,1,5,2
0,0,1,11,1,0,47,0,12,27,9,9,190,1,0,0,1,0,1,1,0,0,8,8,7,378,0,0,8,8,7,363,0,6,8,2,2
0,0,2,15,1,0,42,0,12,26,4,9,299,1,0,0,1,0,0,2,0,0,6,6,0,0,0,0,6,0,0,0,0,6,8,2,0
0,16,1,10,1,15,13,0,0,0,4,7,116,1,0,0,1,0,1,4,0,0,6,7,6,14,0,0,6,8,5,25,0,1,5,9,2
0,0,1,5,1,0,66,0,22,26,5,5,368,1,0,0,1,0,1,1,0,0,5,7,4,385,0,0,5,5,5,118,0,3,5,6,2
0,0,1,14,1,0,36,0,12,26,9,3,204,1,0,0,1,0,0,3,0,0,6,6,5,377,0,0,6,7,0,0,0,8,7,0,0
0,8,1,9,1,0,48,0,12,27,5,8,371,1,0,0,1,0,0,1,0,0,6,10,1,128,0,0,6,14,2,25,0,3,5,6,1
0,7,2,11,1,0,46,0,12,0,5,4,270,1,0,0,1,0,0,1,0,0,7,8,7,401,0,0,8,8,8,618,0,8,7,0,2
0,0,1,7,1,0,48,0,2,13,3,5,360,1,0,0,1,0,0,3,0,0,5,8,4,207,1,0,5,8,4,161,2,3,5,6,2
0,0,1,15,1,0,54,0,12,13,7,7,243,1,0,0,1,0,0,1,0,0,7,7,6,78,0,0,7,8,6,430,0,9,2,3,1
0,0,3,1,1,0,28,0,0,0,9,8,200,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,2
0,8,4,12,1,0,36,0,0,27,4,7,215,1,0,0,1,0,0,3,0,0,7,14,7,57,0,0,8,9,8,52,0,6,8,2,1
0,0,4,11,1,0,57,0,12,13,1,1,252,1,0,0,1,0,0,1,0,0,8,12,7,294,0,0,8,12,7,282,0,6,8,2,2
0,0,4,13,1,0,33,0,0,27,4,7,146,1,0,0,1,0,1,2,0,0,6,8,6,422,0,0,6,7,6,164,0,4,4,8,2
0,0,1,11,1,0,34,0,12,13,3,7,236,0,0,0,1,0,0,2,0,0,7,8,6,398,0,0,8,9,7,545,0,4,4,8,2
