col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,class
20,15,36,71,25,8,48,16,3,41,45,164,72,11,6,16,11,16,3
16,8,37,34,10,7,35,19,2,25,39,116,46,13,9,14,13,18,3
29,17,57,102,19,8,92,6,6,40,90,313,108,14,14,9,12,15,2
18,8,35,52,16,7,30,20,2,25,29,95,15,4,6,10,23,26,3
10,11,23,98,32,19,35,19,2,26,106,111,76,37,9,11,4,2,0
32,24,57,65,3,4,124,0,11,51,123,417,141,26,5,9,5,2,0
22,10,26,66,18,4,39,16,2,25,45,147,60,7,13,1,24,23,0
15,10,20,50,18,7,23,22,1,28,31,71,52,8,3,3,17,21,3
11,1,16,33,14,5,9,28,0,9,10,25,1,5,2,14,24,27,3
18,11,50,90,15,9,68,10,5,28,69,238,40,5,4,14,19,23,2
11,3,23,36,14,7,19,24,1,12,22,58,15,7,2,10,18,21,3
15,1,20,29,8,4,10,28,0,0,17,26,7,6,5,26,20,21,2
13,13,27,64,21,4,38,17,2,30,49,135,80,12,5,11,13,14,0
14,9,38,37,11,8,38,18,2,26,42,131,49,13,8,13,11,16,3
19,16,32,96,24,3,60,11,4,36,65,217,94,12,6,2,21,18,0
21,22,54,94,18,7,89,6,6,48,94,305,131,15,6,2,10,13,1
14,3,6,2,5,4,5,31,0,11,6,12,13,21,2,14,5,4,3
24,8,30,90,22,4,63,10,4,21,69,231,39,13,4,10,22,18,0
29,21,51,79,14,8,101,5,7,55,92,354,108,15,5,11,9,14,2
26,23,51,108,22,8,93,6,7,51,94,325,111,15,6,5,10,12,1
9,14,28,46,17,4,40,17,2,27,44,140,72,16,0,3,9,11,0
9,4,8,14,12,3,10,29,0,7,10,23,21,23,7,1,3,2,3
19,10,18,66,22,5,36,17,2,24,38,130,65,9,9,1,23,25,0
12,6,23,41,14,5,29,20,1,18,33,93,29,10,1,2,16,18,0
24,20,56,112,19,9,89,6,6,47,88,304,112,9,0,6,15,20,2
10,12,33,47,17,7,33,19,2,30,38,110,62,12,1,4,12,18,3
8,3,9,12,10,4,14,27,1,7,12,34,27,23,6,3,3,2,2
32,21,50,96,18,9,103,5,8,49,96,361,104,13,1,28,11,18,2
27,12,38,86,17,4,77,7,5,28,84,272,51,17,6,7,19,12,0
5,5,17,22,8,5,32,20,2,12,37,100,46,24,9,20,4,4,2
14,10,38,53,17,9,41,17,2,33,42,142,62,13,5,9,9,15,3
13,9,30,44,11,6,26,21,1,24,34,81,46,5,10,11,22,24,2
18,2,20,47,12,4,28,20,1,10,31,90,9,5,5,13,21,21,1
26,15,58,115,21,8,93,6,7,36,99,319,92,11,5,37,14,21,1
12,5,38,70,14,6,50,14,3,11,55,180,18,4,1,25,22,24,1
25,13,43,65,20,7,43,17,3,32,39,149,72,8,17,7,16,19,3
7,11,25,11,5,5,38,18,2,29,43,126,65,23,2,2,4,4,0
15,15,39,131,34,18,39,18,2,38,120,132,88,35,0,15,9,13,3
31,20,50,69,7,8,101,5,7,53,101,357,106,15,1,9,11,16,2
6,12,21,62,26,4,37,18,2,28,42,122,74,16,7,0,7,8,0
20,15,55,107,20,7,90,6,6,33,94,308,90,15,5,9,10,12,1
13,4,6,1,5,3,6,31,0,10,4,13,13,27,8,16,3,2,3
19,16,40,30,7,9,44,17,3,44,47,152,74,16,5,5,7,13,3
18,4,29,76,16,6,50,14,3,16,60,182,27,8,4,7,16,16,2
43,21,57,113,18,10,98,5,7,49,90,343,118,7,20,1,16,21,2
18,13,35,38,11,9,45,17,3,42,49,157,77,18,2,4,7,13,3
16,10,23,26,8,6,16,25,1,28,28,46,44,11,1,8,14,13,3
10,9,20,15,7,4,34,20,2,23,41,103,62,29,6,14,4,1,0
14,14,34,40,17,9,42,18,3,45,39,138,76,17,6,13,8,12,3
16,12,32,69,12,7,49,14,3,30,53,181,67,3,0,10,23,27,2
3,5,17,8,4,4,28,21,2,12,31,87,34,18,2,4,5,4,2
17,5,24,67,19,5,40,17,2,15,50,141,18,11,4,24,13,14,2
23,22,52,121,23,7,95,5,7,50,102,331,130,13,1,6,12,16,1
26,9,16,68,20,4,35,17,2,21,38,127,53,6,7,11,26,28,0
26,23,55,78,6,4,126,0,11,50,121,416,116,24,5,26,4,3,0
19,3,20,44,14,6,19,24,1,17,23,57,8,3,9,3,25,27,3
22,11,49,88,16,7,70,10,5,26,69,242,53,7,4,8,15,18,2
14,14,37,26,8,9,43,18,3,42,38,140,64,15,5,9,6,11,3
32,20,54,114,19,9,94,6,7,45,89,326,100,7,0,1,15,20,1
10,6,21,12,5,3,14,27,1,17,17,36,30,16,8,8,6,6,3
28,17,50,105,16,7,78,8,5,43,81,271,73,5,5,5,22,23,1
2,5,17,28,12,3,16,26,1,12,14,41,27,20,13,21,7,6,1
21,7,23,13,3,6,23,24,1,23,31,60,27,21,10,13,7,2,3
8,9,20,49,20,5,36,19,2,26,43,119,47,19,4,2,6,7,0
18,12,39,94,22,5,69,9,5,27,70,249,71,13,0,4,18,16,0
14,8,28,36,9,5,32,20,2,19,39,103,44,17,18,5,8,7,1
6,10,21,18,10,6,35,20,2,28,38,109,60,24,6,18,3,3,0
23,22,52,112,22,9,110,4,8,60,98,395,104,15,6,14,11,14,1
11,11,31,57,21,7,28,20,1,29,37,91,59,11,1,11,14,20,3
23,16,37,112,27,5,75,8,5,36,75,266,97,15,4,7,19,14,0
21,22,50,54,7,8,100,5,7,57,93,351,109,17,3,6,9,12,1
22,26,59,120,23,9,109,4,8,64,92,391,106,11,10,25,10,17,1
17,6,44,84,15,6,62,11,4,19,65,218,39,8,3,23,16,19,1
0,4,8,4,7,4,12,29,1,10,4,28,35,23,1,15,0,3,1
14,9,42,40,14,9,37,18,2,27,39,124,51,13,11,23,11,18,3
26,20,54,96,16,7,80,8,5,44,77,273,98,9,5,5,15,17,1
16,6,36,63,13,6,58,12,4,16,66,206,40,13,0,10,12,13,2
11,7,16,33,15,5,36,19,2,15,34,116,61,23,2,3,4,4,2
29,19,47,101,19,3,93,5,7,43,94,335,106,17,11,4,17,10,0
14,11,21,6,3,5,36,19,2,29,40,114,77,29,6,5,3,1,0
12,13,24,52,19,4,37,18,2,28,44,129,77,14,2,0,10,9,0
24,18,45,96,18,3,94,5,7,41,99,340,102,19,5,11,15,8,0
19,3,21,20,7,5,13,26,1,14,24,37,5,7,1,2,19,15,3
4,7,33,26,8,5,33,21,2,17,41,97,32,17,8,30,5,12,1
14,7,29,81,29,5,36,18,2,18,43,128,36,13,3,8,17,16,0
