col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,class
142,80,59,197,283,403,238,155,121,152,132,475,420,803,616,499,729,552,348,275,206,2
196,479,292,433,453,506,705,589,437,285,305,216,255,335,346,60,311,361,406,311,496,1
253,142,360,484,465,536,647,459,330,270,75,200,381,158,299,463,292,282,227,172,250,0
351,265,450,223,336,432,390,679,684,547,489,460,389,286,282,326,335,78,510,133,374,1
381,273,271,166,489,281,422,540,673,416,506,534,561,330,331,206,210,233,207,171,194,1
265,313,363,254,95,265,313,289,433,539,579,485,620,427,394,552,130,289,319,73,301,2
352,343,166,371,307,451,520,428,521,583,762,384,555,389,198,345,300,286,233,227,329,1
243,145,114,260,41,38,344,209,312,265,387,446,404,575,646,389,341,154,95,292,187,2
154,122,142,225,276,225,177,349,304,238,416,622,470,570,538,639,546,371,515,265,250,2
190,346,45,368,270,221,239,485,402,513,701,710,206,469,266,160,301,179,78,297,409,2
279,118,373,453,533,496,502,588,280,404,364,338,138,206,518,393,145,275,173,208,157,0
397,196,162,636,589,581,677,522,357,245,389,156,313,259,151,211,278,358,353,117,315,0
172,484,351,522,514,538,521,553,462,416,270,272,208,198,399,97,279,181,310,265,199,1
159,295,332,557,428,501,623,555,613,285,291,334,336,23,26,222,219,324,220,224,309,1
451,273,196,299,307,202,350,286,325,302,416,431,458,307,465,463,386,388,488,160,235,2
214,188,266,60,249,426,144,337,219,205,137,307,337,596,585,649,558,258,303,427,299,0
381,117,22,288,255,332,364,392,243,264,428,510,694,420,469,452,429,627,147,258,166,2
256,466,188,261,234,66,300,359,490,277,689,600,353,425,418,372,276,418,392,383,333,2
122,190,179,370,223,316,292,215,143,202,279,297,438,691,785,796,686,595,390,352,76,0
156,214,242,122,332,353,344,495,362,530,426,587,294,348,198,322,408,161,106,241,106,1
170,108,299,194,119,367,140,150,40,49,171,285,554,616,861,780,528,601,461,379,270,2
362,308,167,138,289,261,107,189,197,94,221,303,444,399,790,705,664,595,275,476,232,0
296,202,101,101,95,179,14,145,469,426,356,430,719,686,651,696,435,581,384,256,231,2
108,359,434,432,611,652,597,510,640,512,383,260,314,210,137,264,86,147,32,510,236,1
304,329,250,175,262,123,166,219,403,395,465,479,490,552,499,418,432,303,344,332,353,2
169,249,244,155,512,307,501,570,199,300,226,317,406,406,523,491,369,329,353,222,221,0
301,276,304,416,367,498,425,494,242,390,130,209,475,391,415,137,330,219,470,322,181,0
387,217,369,241,237,488,560,671,573,459,693,271,414,273,315,258,308,235,129,311,275,1
158,354,209,338,224,214,229,254,384,295,448,380,609,564,485,476,224,477,319,397,301,2
366,276,332,285,500,351,297,535,665,510,491,510,422,176,320,277,182,271,371,246,82,1
192,205,47,85,269,325,491,427,646,660,654,396,583,612,264,250,257,346,124,179,191,2
218,282,603,535,562,659,793,504,549,266,111,233,60,9,9,214,229,226,152,401,312,0
285,371,157,204,667,563,684,547,425,244,1,163,196,108,222,147,251,295,333,460,255,0
181,332,464,674,716,736,810,594,482,349,58,109,152,12,118,149,284,205,254,162,348,0
299,375,160,222,68,291,143,229,231,159,347,311,421,711,645,789,438,423,185,421,452,2
431,181,191,162,311,263,298,295,313,333,416,107,646,560,581,715,521,667,405,363,168,2
80,241,356,387,277,203,158,115,172,427,215,358,408,666,646,514,761,578,326,397,192,2
358,384,332,195,318,254,180,500,442,450,284,370,596,533,494,258,489,436,438,437,259,2
171,387,372,474,377,410,601,544,379,214,133,187,203,574,382,191,304,273,227,349,114,0
437,383,493,536,337,498,546,585,451,459,293,182,179,293,377,264,433,220,288,42,203,1
198,285,286,117,307,637,373,585,636,507,516,463,285,377,428,401,387,368,314,237,463,1
290,292,468,328,244,109,326,168,204,247,322,285,602,692,640,604,470,398,397,233,327,0
187,238,482,506,460,498,608,536,427,365,169,184,253,268,48,276,262,188,375,222,330,1
8,341,249,471,342,521,575,487,576,523,452,411,311,77,158,416,327,210,377,180,421,1
273,458,454,266,202,408,231,145,479,120,26,555,539,549,822,672,653,660,406,438,252,2
456,402,392,593,349,655,610,399,620,410,166,330,165,334,321,327,340,301,98,336,64,0
311,27,230,293,324,426,384,186,280,415,321,242,697,770,605,679,294,411,316,296,240,2
325,206,11,176,241,73,175,282,453,253,315,441,535,522,526,455,274,431,183,424,201,2
206,247,141,487,727,463,817,603,655,392,350,179,296,345,43,444,298,417,284,200,451,1
