col1,col2,col3,col4,col5,col6,col7,class
10,14,11,11,16,15,16,0
6,13,11,12,16,12,12,0
11,10,12,10,11,12,13,0
13,10,4,15,10,7,17,0
11,5,12,14,10,16,10,0
10,15,9,11,11,9,14,0
9,9,7,10,18,10,13,0
13,7,14,11,13,10,15,0
9,10,13,14,11,11,15,0
12,10,6,9,7,11,6,0
7,9,10,10,10,14,6,0
9,11,11,10,15,11,16,0
11,13,11,12,14,13,13,0
8,10,7,15,17,12,14,0
13,11,7,14,13,8,10,0
7,10,13,16,16,11,6,0
11,14,12,15,17,13,6,0
14,16,13,12,14,14,13,0
14,12,12,16,14,13,9,0
12,11,9,13,17,13,13,0
11,11,8,11,15,13,7,0
9,11,6,12,19,15,12,0
11,14,9,12,15,15,8,0
7,10,6,12,12,11,10,0
11,13,5,11,8,11,8,0
8,11,8,9,19,0,14,0
9,9,8,9,10,11,8,0
8,13,7,8,9,12,12,0
7,13,8,6,12,8,10,0
9,8,10,12,10,13,12,0
13,16,12,16,13,10,14,0
9,17,12,15,18,12,14,0
8,15,9,12,19,12,7,0
11,13,13,10,16,15,4,0
11,13,10,12,11,15,9,0
10,13,10,10,19,14,13,0
6,7,4,13,13,11,13,0
4,8,4,12,6,8,14,0
7,11,10,11,7,1,15,0
8,11,8,10,10,10,12,0
8,11,7,9,12,9,13,0
7,11,10,12,16,6,13,0
5,9,10,15,12,12,13,0
6,12,7,12,11,10,15,0
8,8,8,9,14,8,14,0
6,12,7,10,4,8,11,0
9,12,10,10,10,11,6,0
9,12,8,8,6,9,7,0
9,14,9,6,10,8,12,0
10,11,7,7,3,7,8,0
10,14,8,7,7,6,13,0
6,13,8,9,10,9,12,0
7,14,7,9,5,1,8,0
8,2,9,8,8,9,11,0
6,13,10,9,10,6,11,0
12,12,11,9,17,12,11,0
11,12,6,9,12,7,4,0
12,12,15,12,17,15,6,0
10,19,15,10,19,13,15,0
12,14,11,10,20,16,12,0
11,17,12,9,20,10,12,0
10,16,14,8,22,11,11,0
12,18,11,11,22,12,8,0
10,16,11,14,22,9,11,0
16,16,11,11,12,10,11,0
11,15,9,9,10,10,8,0
10,14,8,12,12,12,7,0
10,14,8,10,10,16,12,0
11,13,7,8,10,16,12,0
11,9,11,9,15,10,5,0
15,15,10,13,19,20,11,0
10,13,10,9,16,12,12,0
8,12,16,11,8,11,4,0
11,11,14,13,13,15,7,0
8,13,15,13,18,13,7,0
15,10,15,15,20,17,13,0
14,13,17,11,18,15,8,0
13,15,9,13,18,14,15,0
13,10,15,16,13,16,15,0
9,10,12,15,12,14,18,0
9,14,7,14,19,15,4,0
11,10,3,12,16,12,11,0
12,13,12,12,15,14,10,0
9,10,10,14,12,12,15,0
9,10,10,9,18,13,8,0
7,14,10,7,18,11,13,0
7,9,9,13,16,12,13,0
3,8,7,9,4,12,11,0
6,6,6,4,6,11,14,0
6,7,7,3,6,13,8,0
4,6,9,8,4,12,10,0
