Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,class
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,3.893,Ac2
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,5.45,Alloc80
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,1.791,BackProp
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,1.557,Bayes
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,3.114,BayesTree
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,1.868,C4.5
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,1.09,CART
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,0,Cal5
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,67.655,Cascade
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,1.324,Castle
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,5.683,Cn2
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,24.057,Default
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,0.779,Dipol92
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,0.779,Discrim
Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.3646018,0.467,ITrule
