measureName,abalone.csv,Absenteeism_at_work.csv,Acoustic Features.csv,acute-inflammation.csv,Acute-urinary.csv,Algerian_forest_fires_dataset_UPDATE.csv,Annealing.csv,auction.csv,audiology.csv,austrCredit .csv,austrlian statelog.csv,austrlian2.csv,Autism-Adult-Data.csv,balance-scaledata.csv,ballons.csv,BankNote_Authentication.csv,bankruptcy.csv,braest-cancer wincosin.csv,breast_cancer.csv,bridges1.csv,bridges2.csv,car_evaluation.csv,chess.csv,cirrhosis.csv,cmc.csv,connect4.csv,csv_result-caesarian.csv,csv_result-climate.csv,csv_result-column_2C_weka.csv,csv_result-column_3C_weka.csv,csv_result-MagicTelescope.csv,csv_result-phpV5QYya.csv,csv_result-ThoraricSurgery.csv,Customer Churn.csv,cylinder_bands.csv,dataR2.csv,dermatology.csv,diabetes.csv,diabetes_data_upload.csv,dressDataSet.csv,Dry_Bean_Dataset.csv,ecoli.csv,EEG_Eye_State_Classification.csv,electrical.csv,electricity.csv,faults.csv,fertility.csv,flags.csv,forestType.csv,German Credit Data.csv,glass.csv,haberman.csv,hapetitis.csv,hayes-roth.csv,hcvdat0.csv,heart.csv,heart_failure_clinical_records_dataset.csv,horse-ecolic surgical.csv,house_voting.csv,imageSegmentation.csv,Indian Liver Patient Dataset (ILPD).csv,indian liver.csv,indian_liver_patient.csv,ionospere.csv,Iris.csv,iymphography.csv,lenses.csv,librasMove.csv,lunCancer.csv,mammographic.csv,meta-data.csv,miceproteinNuclear.csv,molecular.csv,monksTest1.csv,monksTest2.csv,monksTrain1.csv,Movie_classification.csv,mushroom.csv,non-verbal tourist data.csv,NPHA-doctor-visits.csv,ObesityDataSet_raw_and_data_sinthetic.csv,ozonedet.csv,pageBlock.csv,parkinsons.csv,penReco.csv,phone.csv,planningRelax.csv,pop_failure.csv,postOpertaivePatient.csv,Qualitative_Bankruptcy.csv,Raisin_Dataset.csv,risk_factors_cervical_cancer.csv,seeds.csv,shuttle.csv,sobar-72.csv,somervilehappy.csv,soyabean-large.csv,Spam.csv,spec-heart.csv,sponge.csv,statlog-austr.csv,statlog-german.csv,statlog-heart.csv,statlog-heart2.csv,statloglandsat.csv,studenperf.csv,student-dropout.csv,teachingassper.csv,thyroid.csv,Thyroid_Diff.csv,tic-toe.csv,transfusion.csv,turkiye-student-evaluation_R_Specific.csv,vehicles.csv,waveform.csv,waveformDG.csv,Wholesale customers data.csv,wine.csv,wirelessloca.csv,yeast.csv,zoo.csv
leaves,2416.0,399.0,57.0,3.0,3.0,27.0,15.0,48.0,47.0,86.0,86.0,86.0,2.0,162.0,3.0,27.0,185.0,22.0,22.0,39.0,46.0,101.0,55.0,134.0,686.0,18057.0,39.0,38.0,38.0,41.0,1949.0,559.0,89.0,160.0,85.0,17.0,18.0,127.0,34.0,143.0,922.0,54.0,1368.0,2.0,3880.0,7.0,20.0,49.0,8.0,196.0,44.0,110.0,24.0,29.0,36.0,47.0,49.0,35.0,32.0,21.0,120.0,120.0,120.0,30.0,9.0,33.0,7.0,74.0,11.0,256.0,409.0,8.0,198.0,9.0,88.0,19.0,97.0,20.0,18.0,381.0,124.0,127.0,190.0,10.0,240.0,188.0,36.0,29.0,43.0,2.0,106.0,43.0,16.0,31.0,8.0,70.0,45.0,300.0,13.0,9.0,86.0,201.0,46.0,46.0,405.0,431.0,867.0,59.0,13.0,25.0,131.0,201.0,150.0,134.0,551.0,510.0,127.0,12.0,53.0,492.0,10.0
leaves_branch.nanmean,20.8,13.4,7.1,1.7,1.7,6.8,4.4,6.3,10.9,7.7,7.7,7.7,1.0,8.6,1.7,5.4,21.7,5.0,5.0,8.0,7.8,9.5,9.1,8.3,13.6,18.7,7.9,9.0,7.1,7.9,16.6,13.4,9.5,10.6,9.9,4.6,6.3,8.4,5.9,10.3,14.5,7.4,15.1,1.0,16.1,3.9,5.8,6.1,3.1,9.4,6.3,9.2,5.7,8.7,7.8,6.3,7.1,6.1,6.1,6.8,11.6,11.6,11.6,6.3,3.8,7.2,3.3,7.4,3.7,11.6,13.9,3.0,10.0,4.0,9.5,6.3,10.4,5.0,4.4,13.0,8.3,12.9,11.4,3.6,9.7,8.4,7.8,8.0,7.6,1.0,8.8,8.8,4.4,7.2,3.1,9.3,13.1,15.5,4.7,3.8,7.7,9.4,6.1,6.1,12.5,11.6,12.7,7.8,3.8,5.5,8.5,10.1,13.3,9.2,11.2,11.0,10.3,3.8,8.0,14.5,4.2
leaves_corrob.nanmean,0.0,0.0,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
leaves_homo.nanmean,18935941139.9,1493009.7,2100.7,6.0,6.0,784.3,84.1,796.0,58770.9,4419.0,4419.0,4399.2,4.0,13181.0,6.0,262.8,39414311699863.3,166.2,166.2,2753.9,2817.7,16263.9,18149.0,19469.3,6176593.1,30032587660.3,5287.9,74629.2,1708.9,25332.5,6294841240.9,8196452.0,44032.7,89261.2,80643.5,104.4,743.0,9925.5,491.0,194422.2,113127379.7,2498.4,39449510.6,4.0,595664866.3,38.4,342.0,824.1,23.3,40809.0,796.9,25766.9,420.7,4848.3,3186.2,808.8,1668.2,669.7,1268.3,542.0,5364034.7,5364034.7,5364034.7,843.8,37.5,1332.8,23.3,3014.4,42.8,1676700.2,5060075.7,21.3,57774.2,47.1,19659.5,366.9,78914.6,165.7,94.7,2841543.6,10433.4,119722095.2,1095976.6,37.5,76892.1,11772.9,2335.9,4390.1,2009.2,4.0,17911.7,23199.2,89.5,1788.0,23.3,53518.3,244205.3,1974290267.6,127.5,43.7,4399.2,41953.0,681.8,681.8,4520182.4,687276.9,30742118.1,5482.9,51.5,286.9,9908.7,78483.7,1784609.0,79593.4,1054581.8,2753258.0,1313569.5,46.1,11256.5,140939950.2,55.9
leaves_per_class.nanmean,0.0,0.1,0.2,0.5,0.5,0.1,0.2,0.5,0.0,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.3,0.5,0.2,0.3,0.3,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.3,0.5,0.2,0.5,0.5,0.5,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0.2,0.5,0.5,0.3,0.2,0.5,0.5,0.5,0.5,0.1,0.5,0.5,0.5,0.3,0.3,0.2,0.3,0.1,0.2,0.5,0.0,0.1,0.3,0.5,0.5,0.5,0.5,0.5,0.2,0.3,0.1,0.5,0.2,0.5,0.1,0.2,0.5,0.5,0.2,0.5,0.5,0.5,0.3,0.1,0.5,0.5,0.1,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.2,0.1,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.1
nodes,2415.0,398.0,56.0,2.0,2.0,26.0,14.0,47.0,46.0,85.0,85.0,85.0,1.0,161.0,2.0,26.0,184.0,21.0,21.0,38.0,45.0,100.0,54.0,133.0,685.0,18056.0,38.0,37.0,37.0,40.0,1948.0,558.0,88.0,159.0,84.0,16.0,17.0,126.0,33.0,142.0,921.0,53.0,1367.0,1.0,3879.0,6.0,19.0,48.0,7.0,195.0,43.0,109.0,23.0,28.0,35.0,46.0,48.0,34.0,31.0,20.0,119.0,119.0,119.0,29.0,8.0,32.0,6.0,73.0,10.0,255.0,408.0,7.0,197.0,8.0,87.0,18.0,96.0,19.0,17.0,380.0,123.0,126.0,189.0,9.0,239.0,187.0,35.0,28.0,42.0,1.0,105.0,42.0,15.0,30.0,7.0,69.0,44.0,299.0,12.0,8.0,85.0,200.0,45.0,45.0,404.0,430.0,866.0,58.0,12.0,24.0,130.0,200.0,149.0,133.0,550.0,509.0,126.0,11.0,52.0,491.0,9.0
nodes_per_attr,301.9,20.9,1.1,0.3,0.3,2.0,0.4,6.7,0.7,6.1,6.1,6.1,0.0,40.2,0.5,6.5,1.9,0.7,0.7,3.5,4.1,16.7,1.5,7.4,76.1,429.9,7.6,1.8,6.2,6.7,194.8,18.6,5.5,12.2,2.2,1.8,0.5,15.8,2.1,10.9,57.6,6.6,97.6,0.1,484.9,0.2,2.1,1.7,0.3,9.8,4.8,36.3,1.2,5.6,2.9,3.5,4.0,1.3,1.9,1.1,11.9,11.9,11.9,0.9,2.0,1.8,1.5,0.8,0.2,51.0,19.4,0.1,3.2,1.1,12.4,3.0,5.3,0.9,0.8,27.1,7.7,1.7,18.9,0.4,14.9,9.4,2.9,1.4,5.2,0.1,15.0,1.2,2.1,3.3,0.4,11.5,1.3,5.2,0.3,0.2,6.1,10.0,3.5,3.5,11.2,13.4,24.1,11.6,2.4,1.5,14.4,50.0,4.8,7.4,26.2,12.7,18.0,0.8,7.4,54.6,0.5
nodes_per_inst,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.5,0.1,0.5,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.2,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.2,0.0,0.1,0.1,0.2,0.1,0.2,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.8,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.5,0.1,0.1,0.2,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.4,0.0,0.0,0.1,0.2,0.0,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.0
nodes_per_level.nanmean,69.0,19.0,5.1,1.0,1.0,2.6,2.3,5.9,2.6,7.1,7.1,7.1,1.0,13.4,1.0,3.7,3.8,3.0,3.0,3.2,3.8,7.1,3.4,8.3,29.8,515.9,2.9,2.1,3.4,2.4,57.3,23.2,5.2,9.9,4.7,2.7,1.5,9.7,3.7,7.5,32.9,4.8,57.0,1.0,133.8,1.0,2.1,4.8,1.8,13.0,4.8,7.3,2.6,2.2,2.7,5.1,4.8,3.4,2.6,2.2,4.8,4.8,4.8,2.9,1.6,2.9,1.5,6.1,2.0,11.6,17.7,2.3,12.3,1.3,5.8,2.2,5.3,2.7,2.8,17.3,8.8,4.2,8.6,1.8,14.1,14.4,2.9,2.2,3.8,1.0,7.5,2.6,2.5,2.5,1.8,4.1,2.3,8.8,1.5,1.3,7.1,13.3,5.0,5.0,17.6,21.5,32.1,4.5,2.4,3.0,10.8,12.5,6.8,7.4,26.2,23.1,5.5,2.2,3.5,16.9,1.5
nodes_repeated.nanmean,301.9,22.1,1.7,1.0,1.0,2.6,1.2,7.8,1.7,6.5,6.1,6.5,1.0,40.2,1.0,6.5,2.6,1.2,1.8,3.8,4.1,16.7,1.7,8.9,76.1,429.9,7.6,2.3,6.2,6.7,194.8,18.6,6.8,13.2,3.0,2.0,1.1,15.8,2.1,10.9,57.6,7.6,97.6,1.0,484.9,1.0,2.4,2.5,1.0,9.8,4.8,36.3,2.3,5.6,3.5,3.5,4.0,1.6,2.4,1.8,11.9,11.9,11.9,1.9,2.0,2.0,1.5,1.4,1.1,51.0,19.4,2.3,3.5,2.0,12.4,3.6,5.3,1.5,1.4,29.2,7.7,2.3,18.9,1.1,14.9,9.8,3.5,1.8,5.2,1.0,15.0,2.6,2.5,4.3,1.0,11.5,1.8,6.0,1.2,1.0,7.7,10.0,3.8,3.8,11.2,13.4,24.7,11.6,2.4,2.2,14.4,50.0,5.1,7.4,26.2,12.7,18.0,1.6,7.4,54.6,1.1
