measureName,abalone.csv,Absenteeism_at_work.csv,Acoustic Features.csv,acute-inflammation.csv,Acute-urinary.csv,Algerian_forest_fires_dataset_UPDATE.csv,Annealing.csv,auction.csv,audiology.csv,austrCredit .csv,austrlian statelog.csv,austrlian2.csv,Autism-Adult-Data.csv,balance-scaledata.csv,ballons.csv,BankNote_Authentication.csv,bankruptcy.csv,braest-cancer wincosin.csv,breast_cancer.csv,bridges1.csv,bridges2.csv,car_evaluation.csv,chess.csv,cirrhosis.csv,cmc.csv,connect4.csv,csv_result-caesarian.csv,csv_result-climate.csv,csv_result-column_2C_weka.csv,csv_result-column_3C_weka.csv,csv_result-MagicTelescope.csv,csv_result-phpV5QYya.csv,csv_result-ThoraricSurgery.csv,Customer Churn.csv,cylinder_bands.csv,dataR2.csv,dermatology.csv,diabetes.csv,diabetes_data_upload.csv,dressDataSet.csv,Dry_Bean_Dataset.csv,ecoli.csv,EEG_Eye_State_Classification.csv,electrical.csv,electricity.csv,faults.csv,fertility.csv,flags.csv,forestType.csv,German Credit Data.csv,glass.csv,haberman.csv,hapetitis.csv,hayes-roth.csv,hcvdat0.csv,heart.csv,heart_failure_clinical_records_dataset.csv,horse-ecolic surgical.csv,house_voting.csv,imageSegmentation.csv,Indian Liver Patient Dataset (ILPD).csv,indian liver.csv,indian_liver_patient.csv,ionospere.csv,Iris.csv,iymphography.csv,lenses.csv,librasMove.csv,lunCancer.csv,mammographic.csv,meta-data.csv,miceproteinNuclear.csv,molecular.csv,monksTest1.csv,monksTest2.csv,monksTrain1.csv,Movie_classification.csv,mushroom.csv,non-verbal tourist data.csv,NPHA-doctor-visits.csv,ObesityDataSet_raw_and_data_sinthetic.csv,ozonedet.csv,pageBlock.csv,parkinsons.csv,penReco.csv,phone.csv,planningRelax.csv,pop_failure.csv,postOpertaivePatient.csv,Qualitative_Bankruptcy.csv,Raisin_Dataset.csv,risk_factors_cervical_cancer.csv,seeds.csv,shuttle.csv,sobar-72.csv,somervilehappy.csv,soyabean-large.csv,Spam.csv,spec-heart.csv,sponge.csv,statlog-austr.csv,statlog-german.csv,statlog-heart.csv,statlog-heart2.csv,statloglandsat.csv,studenperf.csv,student-dropout.csv,teachingassper.csv,thyroid.csv,Thyroid_Diff.csv,tic-toe.csv,transfusion.csv,turkiye-student-evaluation_R_Specific.csv,vehicles.csv,waveform.csv,waveformDG.csv,Wholesale customers data.csv,wine.csv,wirelessloca.csv,yeast.csv,zoo.csv
can_cor.nanmean,0.5,0.4,0.8,1.0,1.0,0.7,0.9,0.5,0.8,0.8,0.8,0.8,0.9,0.4,0.9,0.9,0.8,0.9,0.9,0.6,0.6,0.4,0.8,0.5,0.3,0.2,0.4,0.7,0.7,0.7,0.6,0.8,0.4,0.7,0.8,0.6,0.9,0.6,0.8,0.2,0.7,0.7,0.3,0.8,0.6,1.0,0.5,0.7,0.9,0.5,0.6,0.3,0.7,0.4,0.7,0.7,0.7,0.7,0.9,0.8,0.5,0.5,0.5,0.8,0.8,0.9,0.9,0.7,1.0,0.7,0.0,0.9,0.7,0.5,0.2,0.5,0.4,0.9,0.8,0.2,0.5,0.7,0.8,0.8,0.7,0.4,0.2,0.8,0.7,0.9,0.8,0.9,0.9,0.5,0.9,0.3,0.9,0.8,0.8,1.0,0.8,0.5,0.7,0.7,0.6,0.4,0.6,0.4,0.7,0.8,0.2,0.4,0.3,0.7,0.7,0.7,0.3,0.9,0.8,0.5,0.9
cor.nanmean,0.7,0.2,0.1,0.3,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.4,0.3,0.4,0.4,0.2,0.2,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.5,0.4,0.3,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.5,0.2,0.5,0.1,0.2,0.3,0.1,0.1,0.3,0.1,0.2,0.0,0.2,0.1,0.2,0.1,0.1,0.1,0.3,0.4,0.2,0.2,0.2,0.3,0.6,0.3,0.1,0.3,0.2,0.3,0.3,0.3,0.0,0.0,0.0,0.1,0.3,0.2,0.2,0.1,0.1,0.3,0.4,0.5,0.3,0.0,0.2,0.1,0.2,0.1,0.6,0.3,0.6,0.3,0.2,0.2,0.5,0.1,0.2,0.3,0.1,0.1,0.2,0.2,0.5,0.1,0.1,0.2,0.7,0.2,0.1,0.5,0.6,0.4,0.3,0.1,0.4,0.3,0.4,0.1,0.2
cov.nanmean,42290.0,2.5,785.9,0.4,0.4,290.3,0.3,0.4,0.1,64.7,64.7,64.7,0.5,0.2,0.0,54708.4,516000.5,9134.0,9134.0,3.0,0.3,0.0,0.0,173.4,0.5,0.0,0.3,1277.6,3350.9,3088.9,4142854.9,0.0,7.1,5529.6,25.9,206.6,0.2,235.1,0.2,10.3,8107559.3,52.6,1187.5,496917.7,76756.1,6927.0,0.3,2.4,399.8,9.5,217.8,2.1,3.6,1.1,1109.1,6.2,14.0,5.9,0.1,756.8,150.0,150.0,150.0,1454.8,37.7,0.2,0.0,802.3,0.0,2.1,23.5,23712.1,0.9,1.8,1.9,0.0,2348.2,0.3,0.4,0.0,4559.6,1892.1,37391.9,1244.7,241.7,302.9,574.6,1328.7,0.1,1.4,38287.8,0.8,1612.8,112.0,2.5,0.2,0.4,446.9,7.0,0.3,64.7,9.5,6.4,6.4,124.4,0.3,85.8,2.1,242.7,0.5,0.0,37.5,1.1,205.6,7817.4,2223.9,3383.9,229.4,23.3,86.6,0.2
eigenvalues.nanmean,124231.7,24.3,6445.2,23.7,23.7,1448.6,14.9,11.6,64.7,1490.1,1490.1,1490.1,26.4,2.0,0.3,129499.5,2394827.5,21448.5,21448.5,75.3,17.5,0.8,0.1,2500.4,8.6,0.3,5.0,21797.6,7158.4,7052.1,20545130.4,0.3,119.0,65795.8,780.2,896.6,9.5,3514.9,8.8,1464.2,15132259.3,1185.4,2378.8,8334166.7,334809.7,60097.8,3.0,184.3,1802.8,3559.0,1089.8,56.6,103.2,293.3,7408.3,172.9,634.5,328.9,0.4,2139.9,801.9,801.9,801.9,5713.3,65.5,1.0,0.3,3030.2,0.3,42.7,857.3,92042.4,14315.7,2227.4,2219.1,0.6,8402.6,2.3,6.5,0.5,72723.9,28702.5,124289.0,2724.1,934.9,25197.9,2540.7,21790.9,0.5,747.5,67471.0,20.4,2740.7,503.4,10.4,0.9,1.1,11297.1,34.6,8.6,1490.1,3559.0,162.5,162.5,254.8,3.2,3256.0,46.1,432.6,17.4,0.6,135.9,2.0,1002.6,23407.9,16899.3,12411.3,787.6,62.3,22715.0,46.3
g_mean.nanmean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gravity,11.1,21.0,371.5,18.9,18.9,191.5,24.7,5.1,53.2,73.9,73.9,73.9,6.9,1.2,0.9,648.9,11836.7,946.0,946.0,11.2,1.0,0.3,0.8,60.0,1.7,0.3,0.9,306.9,168.8,96.4,6089.1,1.9,7.4,939.3,60.8,33.4,8.0,75.1,2.9,22.4,10107.6,58.6,38.0,6314.5,1241.0,422.1,1.7,43.6,310.0,43.4,29.9,4.3,16.5,13.5,261.0,23.2,50.0,17.0,2.2,199.7,57.2,57.2,57.2,413.7,19.7,5.0,1.1,192.6,2.2,12.7,38.5,1486.6,33.3,20.1,2.0,1.1,39.4,4.6,4.4,0.3,825.8,860.3,863.4,231.4,179.9,396.6,17.4,266.5,2.2,125.0,824.9,7.2,153.6,68.8,13.2,0.9,13.9,759.3,22.6,9.2,73.9,43.4,23.7,23.7,148.9,7.1,106.0,3.1,49.1,9.1,0.4,6.6,1.0,110.6,808.3,553.2,51.5,126.3,38.5,271.4,6.5
h_mean.nanmean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iq_range.nanmean,406.9,5.9,127.1,4.1,4.1,51.3,1.8,3.0,2.4,34.9,34.9,34.9,3.6,2.0,1.0,618.4,2364.0,248.7,248.7,6.5,2.0,1.3,0.4,47.7,2.6,0.4,2.1,240.5,141.6,137.8,7138.5,0.5,6.4,171.8,15.3,48.8,1.3,62.4,1.9,21.9,6687.0,31.0,44.4,4999.5,587.8,270.3,1.8,7.8,62.4,25.7,47.7,10.0,8.9,14.1,125.6,11.2,23.2,12.7,1.0,72.4,25.4,25.4,25.4,102.1,12.8,1.5,1.2,90.5,0.4,5.4,19.2,518.3,28.1,32.1,32.9,1.7,130.2,1.8,2.1,0.6,326.9,136.3,436.5,85.4,49.0,127.9,86.7,239.4,1.2,18.9,449.1,1.5,89.3,23.2,5.3,1.0,1.4,42.6,7.8,1.6,34.9,25.7,11.1,11.1,21.4,1.7,27.4,8.4,32.3,2.3,1.4,13.2,1.6,29.4,220.5,179.8,177.2,43.1,10.7,105.4,3.6
kurtosis.nanmean,-0.9,1.4,-0.9,-1.6,-1.6,-0.5,130.0,-0.4,221.5,-0.1,-0.1,-0.1,1.6,-1.3,-2.0,-1.2,0.0,-1.2,-1.2,0.3,0.5,-1.1,110.9,2.2,0.9,103.9,-0.9,-1.1,-1.1,-1.1,-1.0,1.3,53.4,2.9,9.0,-1.2,2.0,-0.3,-1.4,0.5,-1.1,0.8,4.8,-1.2,-0.2,1.7,-0.5,1.6,-0.7,1.6,-0.0,0.1,0.1,-0.8,-0.9,-0.5,-0.8,13.2,-0.7,0.9,1.3,1.3,1.3,-0.6,-0.8,-1.0,-1.6,-1.1,2.9,1.1,-0.8,-1.2,-1.0,-1.6,-1.6,-1.7,-1.1,4.2,2.4,2.0,3.6,0.6,-0.2,-0.9,-0.5,-1.3,-1.2,-1.2,-0.9,-1.2,-1.2,4.9,-1.2,5.5,-0.6,-0.1,-0.5,23.9,-0.4,14.6,-0.1,1.6,-0.7,-0.7,-0.3,0.4,11.1,-0.1,-0.8,3.0,-1.3,1.9,-0.6,-0.4,-0.6,-0.4,-1.2,-1.0,-0.2,3.5,0.1
lh_trace,17.0,16.7,5.7,643371375338641.2,643371375338641.2,73836.5,49.8,0.3,643371381995601.1,1.5,1.5,1.5,3.3,2.1,3.2,6.8,1.9,3.8,3.8,22.4,19.6,1.0,1.8,1.8,0.3,0.1,0.2,1.1,1.0,3.4,0.6,2.4,0.2,1.3,10.6,0.5,104.1,0.5,1.9,0.0,21.7,27.8,0.1,2.3,0.4,inf,0.4,6.5,29.3,0.4,7.0,0.1,1.2,1.6,6.4,1.1,1.0,1.0,4.5,30.9,0.3,0.3,0.3,6.9,18.5,48.4,5.6,31.3,inf,0.8,0.4,5740179.2,1.9,0.3,0.0,0.4,0.1,2.9,31.2,0.1,23.9,1.0,8.5,2.3,16.6,11.2,0.1,1.4,9.4,2.9,1.4,4.2,7.4,58.8,3.4,0.1,112915.8,2.2,2.2,163.2,1.5,0.4,1.2,1.2,14.1,37.1,1.4,0.3,11.0,2.1,0.1,0.2,0.2,5.0,1.7,1.8,0.2,13.9,12.9,25.7,1351079888260157.0
