DatasetName,attr_conc.nanmean,attr_ent.nanmean,class_conc.nanmean,class_ent,eq_num_attr,joint_ent.nanmean,mut_inf.nanmean,ns_ratio,maxAlgNames
abalone.csv,0,0.5652,0,0.6522,0.3333,1,0.2174,0.1449,GBC
Absenteeism_at_work.csv,0,0.4074,0.0185,0.7407,0.7593,1,0.1481,0.2222,GBC
Acoustic Features.csv,0,0.1783,0,0.1274,0.758,0.293,0.0127,1,RF
acute-inflammation.csv,0,0.25,0.025,0.225,1,0.425,0.025,0.875,RF
Acute-urinary.csv,0,0.25,0.025,0.225,1,0.425,0.025,0.875,RF
Algerian_forest_fires_dataset_UPDATE.csv,0.027,0.6486,0.0541,0.7838,0.3514,1,0.4324,0,GBC
Annealing.csv,0,0.0515,0.0206,0.2268,1,0.268,0.0103,0.1649,GBC
auction.csv,0,0.1024,0,0.0602,0.6386,0.1566,0.006,1,GBC
audiology.csv,0,0.0189,0.0189,0.283,1,0.2893,0.0126,0.0189,GBC
austrCredit .csv,0,0.1053,0.0058,0.0585,0.5906,0.1579,0.0058,1,RF
austrlian statelog.csv,0,0.1053,0.0058,0.0585,0.5906,0.1579,0.0058,1,RF
austrlian2.csv,0,0.1053,0.0058,0.0585,0.5906,0.1579,0.0058,1,RF
Autism-Adult-Data.csv,0,0.1818,0.0303,0.1515,0.9545,0.303,0.0303,1,RF
balance-scaledata.csv,0,0.106,0,0.0737,0.7143,0.1751,0.0046,1,GBC
ballons.csv,0,0.0659,0.011,0.0989,1,0.1648,0,0.6593,RF
BankNote_Authentication.csv,0.0066,0.2303,0,0.0658,0.3092,0.2763,0.0132,1,GBC
bankruptcy.csv,0.0045,0.2,0,0.0455,0.2409,0.2364,0.0091,1,GBC
braest-cancer wincosin.csv,0,0.3333,0,0.1034,0.3448,0.4023,0.023,1,GBC
breast_cancer.csv,0,0.3333,0,0.1034,0.3448,0.4023,0.023,1,GBC
bridges1.csv,0,0.2653,0.0612,0.5918,1,0.7551,0.102,0.2449,GBC
bridges2.csv,0,0.1667,0.05,0.4833,1,0.5833,0.0667,0.2,GBC
car_evaluation.csv,0,0.2152,0.0127,0.2532,1,0.4304,0.038,0.7089,GBC
chess.csv,0,0.0115,0,0.0191,1,0.0305,0,0.563,GBC
cirrhosis.csv,0,0.2045,0,0.25,1,0.4432,0.0227,0.7159,GBC
cmc.csv,0,0.0367,0,0.0344,0.9908,0.0711,0,1,GBC
connect4.csv,0,0.0029,0,0.0067,1,0.0096,0,0.4222,GBC
csv_result-caesarian.csv,0,0.0439,0,0.0313,0.6991,0.0752,0,1,GBC
csv_result-climate.csv,0.0024,0.0736,0,0.0238,0.3302,0.095,0.0024,1,GBC
csv_result-column_2C_weka.csv,0.0061,0.1707,0,0.061,0.378,0.2195,0.0122,1,GBC
csv_result-column_3C_weka.csv,0,0.4219,0,0.2344,0.6562,0.6094,0.0469,1,GBC
csv_result-MagicTelescope.csv,0,0.0705,0,0.0135,0.2024,0.084,0.0015,1,GBC
csv_result-phpV5QYya.csv,0,0.0368,0,0.0474,1,0.0895,0,0.7789,GBC
csv_result-ThoraricSurgery.csv,0,0.0163,0,0.0148,0.9172,0.0311,0,1,GBC
Customer Churn.csv,0,0.1488,0,0.0536,0.4048,0.2024,0,1,GBC
cylinder_bands.csv,0,0.2593,0.0185,0.2778,1,0.5,0.037,0.7407,GBC
dataR2.csv,0.0027,0.0545,0,0.0272,0.5095,0.079,0.0027,1,GBC
dermatology.csv,0,0.1724,0.0517,0.431,1,0.5517,0.0517,0.2586,GBC
diabetes.csv,0,0.0748,0,0.0224,0.3242,0.0948,0.0025,1,GBC
diabetes_data_upload.csv,0,0.101,0,0.0909,1,0.1818,0,1,GBC
dressDataSet.csv,0,0.0102,0,0.0064,0.6119,0.0166,0,1,RF
Dry_Bean_Dataset.csv,0,0.7619,0,0.4286,0.3333,1,0.1746,0.4444,GBC
ecoli.csv,0,0.5349,0.0233,0.6512,0.6279,1,0.186,0.3023,GBC
EEG_Eye_State_Classification.csv,0,0.0229,0,0.005,0.2181,0.0274,0,1,RF
electrical.csv,0,0.1007,0,0.0206,0.2197,0.119,0.0023,1,RF
electricity.csv,0.0018,0.0793,0,0.0185,0.2343,0.0959,0.0018,1,RF
faults.csv,0.002,0.0527,0,0.0176,0.3535,0.0703,0.002,1,GBC
fertility.csv,0.004,0.0522,0.004,0.0402,0.8153,0.0884,0,1,GBC
flags.csv,0,0.0938,0,0.1953,1,0.2734,0.0078,0.4062,GBC
forestType.csv,0,0.6111,0.0278,0.5278,0.9722,1,0.1111,0.8611,RF
German Credit Data.csv,0,0.0206,0,0.0129,0.6195,0.0334,0,1,GBC
glass.csv,0,0.5238,0.0238,0.5952,0.9762,1,0.119,0.6429,GBC
haberman.csv,0,0.0587,0,0.0226,0.3883,0.0813,0.0023,1,RF
hapetitis.csv,0,0.0992,0,0.0744,0.8099,0.1736,0,1,GBC
hayes-roth.csv,0,0.1845,0.0097,0.1456,0.9126,0.3107,0.0194,1,GBC
hcvdat0.csv,0,0.6735,0,0.449,0.6327,1,0.1224,0.7347,GBC
heart.csv,0,0.1092,0.0057,0.0575,0.5632,0.1609,0.0057,1,GBC
heart_failure_clinical_records_dataset.csv,0,0.0649,0,0.0325,0.5162,0.0942,0.0032,1,RF
horse-ecolic surgical.csv,0,0.0602,0,0.0338,0.5977,0.094,0.0038,1,RF
house_voting.csv,0,0.2105,0.0263,0.2105,1,0.3947,0,0.7632,GBC
imageSegmentation.csv,0,0.475,0.05,0.675,0.95,1,0.15,0.425,GBC
Indian Liver Patient Dataset (ILPD).csv,0,0.0673,0,0.024,0.363,0.0913,0.0024,1,GBC
indian liver.csv,0,0.0673,0,0.024,0.363,0.0913,0.0024,1,GBC
indian_liver_patient.csv,0,0.0673,0,0.024,0.363,0.0913,0.0024,1,GBC
