DatasetName,best_node.nanmean,elite_nn.nanmean,linear_discr.nanmean,naive_bayes.nanmean,one_nn.nanmean,random_node.nanmean,worst_node.nanmean,maxAlgNames
abalone.csv,0,0.25,0.375,0.375,1,0,0,GBC
Absenteeism_at_work.csv,0,0.125,0.625,0.5,1,0,0,GBC
Acoustic Features.csv,0.2,0.2,1,1,0.8,0.2,0,RF
acute-inflammation.csv,0.6667,0,1,1,0.3333,0,0.3333,RF
Acute-urinary.csv,0.8,0.4,1,1,0.6,0,0.6,RF
Algerian_forest_fires_dataset_UPDATE.csv,0,0.75,0.875,0.875,1,0,0,GBC
Annealing.csv,0.25,0.25,0.875,0.875,1,0.25,0,GBC
auction.csv,0.4,0.6,0.4,0.4,1,0,0,GBC
audiology.csv,0.1,0.2,1,1,0.9,0,0.1,GBC
austrCredit .csv,1,0.6667,1,1,0.3333,0,0,RF
austrlian statelog.csv,1,0.6667,1,1,0.3333,0,0,RF
austrlian2.csv,1,0.6667,1,1,0.3333,0.3333,0,RF
Autism-Adult-Data.csv,1,1,1,1,1,0,0,RF
balance-scaledata.csv,0,0,1,0.8,1,0.4,0,GBC
ballons.csv,0,0,1,1,0.75,0.5,0,RF
BankNote_Authentication.csv,0.75,0.5,1,0.75,1,0.25,0,GBC
bankruptcy.csv,0.5,0.75,0.75,0.5,1,0,0.5,GBC
braest-cancer wincosin.csv,0.6667,0.3333,1,0.6667,0.6667,0,0.6667,GBC
breast_cancer.csv,0.6667,0.3333,1,0.6667,0.6667,0,0.6667,GBC
bridges1.csv,0,0.7143,0.8571,0.7143,1,0,0,GBC
bridges2.csv,0,0.4286,0.8571,0.7143,1,0,0,GBC
car_evaluation.csv,0.2857,0,0.4286,0.5714,1,0.1429,0.1429,GBC
chess.csv,0,0,1,0.25,0.75,0.25,0.25,GBC
cirrhosis.csv,0.2,0.8,0.6,0.6,1,0.4,0,GBC
cmc.csv,0,0,1,1,1,0,0,GBC
connect4.csv,0,0.2,0,0,1,0.2,0,GBC
csv_result-caesarian.csv,0.5,0,1,1,0,0.5,1,GBC
csv_result-climate.csv,0.6667,1,0.6667,0.6667,1,0.1667,0,GBC
csv_result-column_2C_weka.csv,0.5,1,0.5,0.5,1,0,0,GBC
csv_result-column_3C_weka.csv,0.6,1,0.8,0.8,1,0,0.2,GBC
csv_result-MagicTelescope.csv,0,0,1,1,1,0,0,GBC
csv_result-phpV5QYya.csv,0.8,0,0.8,0.2,1,0.2,0.2,GBC
csv_result-ThoraricSurgery.csv,0,0.25,0.25,0,1,0.25,0,GBC
Customer Churn.csv,0.75,0,1,0.75,1,0.5,0.25,GBC
cylinder_bands.csv,0.25,0.25,1,0.75,1,0.5,0,GBC
dataR2.csv,1,0,1,1,0.5,0,0.5,GBC
dermatology.csv,0,0,1,0.8571,1,0,0,GBC
diabetes.csv,0.5,0,1,1,0.5,0.5,0.5,GBC
diabetes_data_upload.csv,0.6667,0,1,1,1,0,0.3333,GBC
dressDataSet.csv,1,0,1,1,0,1,1,RF
Dry_Bean_Dataset.csv,0,0.8333,1,1,1,0,0,GBC
ecoli.csv,0,0.25,0.75,0.875,1,0,0,GBC
EEG_Eye_State_Classification.csv,0,0,0,0.5,0.5,0.5,1,RF
electrical.csv,1,1,1,1,0.75,0,0.25,RF
electricity.csv,1,0,0.5,0.5,0.5,0,0,RF
faults.csv,0.4,0.4,0.4,1,0,0.2,0.4,GBC
fertility.csv,0.5,0.5,0.5,0.5,1,0,0,GBC
flags.csv,0.2,0.4,1,0.8,1,0.2,0,GBC
forestType.csv,0.4286,0.4286,1,0.8571,1,0,0.2857,RF
German Credit Data.csv,0.6667,0.3333,0.6667,0.6667,1,0.3333,0,GBC
glass.csv,0.1429,0.4286,0.7143,0.7143,1,0.1429,0,GBC
haberman.csv,1,0,0.75,0.75,1,0.25,0.75,RF
hapetitis.csv,0.5,0.5,0.75,0.75,1,0,0.25,GBC
hayes-roth.csv,0.25,0.25,0.5,1,0.25,0.5,0,GBC
hcvdat0.csv,0.25,0.625,0.75,0.75,1,0.25,0,GBC
heart.csv,0.6,0.4,0.6,0.6,1,0.6,0,GBC
heart_failure_clinical_records_dataset.csv,0.75,0.25,0.75,0.75,1,0,0,RF
horse-ecolic surgical.csv,1,1,1,0,0,0,0,RF
house_voting.csv,1,1,1,0.6667,0.6667,0,0,GBC
imageSegmentation.csv,0.1429,0.4286,1,0.7143,1,0,0,GBC
Indian Liver Patient Dataset (ILPD).csv,0.3333,0.6667,0.6667,0.6667,1,0.3333,0,GBC
indian liver.csv,0.3333,0.6667,0.6667,0.6667,1,0,0,GBC
indian_liver_patient.csv,0.3333,0.6667,0.6667,0.6667,1,0.3333,0,GBC
ionospere.csv,0.5,0.8333,0.8333,0.8333,1,0.3333,0,GBC
Iris.csv,0.4,0.8,1,1,1,0,0,GBC
iymphography.csv,0.2,0.2,1,1,1,0.2,0,GBC
lenses.csv,0.2857,0.1429,0.8571,0.8571,1,0.2857,0,RF
librasMove.csv,0,0.1429,0.8571,0.7143,1,0,0,GBC
lunCancer.csv,0.4,0.2,0.8,0.8,1,0,0,GBC
mammographic.csv,1,0,1,1,0.75,0.25,0.25,GBC
meta-data.csv,1,1,0,0,1,0,0,RF
miceproteinNuclear.csv,0.125,0.125,0.75,1,0.625,0.125,0,RF
molecular.csv,0.5,0,0.8333,1,0.6667,0.1667,0,GBC
monksTest1.csv,1,0,0.5,0.75,0,1,0.25,RF
monksTest2.csv,0,1,0,0,1,0.6667,0.6667,GBC
monksTrain1.csv,1,0,1,1,0.5,0,0,RF
Movie_classification.csv,0,0,1,0,1,0,0,RF
mushroom.csv,0.4,0.4,0.8,0.6,1,0,0,GBC
non-verbal tourist data.csv,0.1429,0.2857,1,1,1,0,0,GBC
NPHA-doctor-visits.csv,0.25,0,0.25,0.25,1,0,0,GBC
ObesityDataSet_raw_and_data_sinthetic.csv,0.1429,0.5714,0.8571,0.5714,1,0,0,GBC
ozonedet.csv,0.25,0,0.5,0.25,1,0.25,0.25,GBC
pageBlock.csv,0,0.3333,0.8333,0.6667,1,0,0,GBC
parkinsons.csv,0.5,1,1,0.5,1,0,0.5,GBC
penReco.csv,0,0.125,0.875,0.875,1,0,0,GBC
phone.csv,0.4286,0.7143,1,0.8571,1,0,0.1429,GBC
planningRelax.csv,0,1,0,0,1,0,0,GBC
pop_failure.csv,0.7143,1,0.8571,0.8571,1,0.4286,0,GBC
postOpertaivePatient.csv,0.2,0,0.6,0.6,1,0,0,GBC
Qualitative_Bankruptcy.csv,1,1,0.75,1,1,1,0,GBC
Raisin_Dataset.csv,1,0,1,1,0,1,0,RF
risk_factors_cervical_cancer.csv,0.8,0.8,0.8,0.8,1,0,0,GBC
seeds.csv,0,0,1,1,1,0,0,GBC
shuttle.csv,0.125,0.625,1,1,1,0.125,0,GBC
sobar-72.csv,0,0,0.75,0.75,1,0.25,0,GBC
somervilehappy.csv,1,0,0.5,0.5,0,0,0.5,RF
soyabean-large.csv,0,0,1,0.8889,1,0,0,GBC
Spam.csv,0.8,0,1,0.8,1,0.6,0.4,GBC
spec-heart.csv,0.6667,0.3333,0.6667,1,0.3333,0,0,RF
sponge.csv,0.5714,0,1,1,1,0,0.2857,RF
statlog-austr.csv,1,0.6667,1,1,0.3333,0.3333,0,RF
statlog-german.csv,0.6667,0.3333,0.6667,0.6667,1,0,0,GBC
statlog-heart.csv,0.8,0,1,1,0.6,0.6,0.6,RF
statlog-heart2.csv,0.8,0,1,1,0.6,0.6,0.6,RF
statloglandsat.csv,0,0.3333,0.8333,0.8333,1,0,0,GBC
studenperf.csv,0,0.25,0.625,0.5,1,0,0,GBC
student-dropout.csv,0.6,0.6,0.8,0.6,1,0.4,0,GBC
teachingassper.csv,0,1,0.5,0.5,1,0,0,GBC
thyroid.csv,0.25,0.5,0.75,1,1,0,0,GBC
Thyroid_Diff.csv,1,1,1,0.75,1,0,0.25,RF
tic-toe.csv,0,1,0,1,1,1,1,GBC
transfusion.csv,0.6667,0,0.6667,0.3333,1,0.6667,0.3333,GBC
turkiye-student-evaluation_R_Specific.csv,0,1,0.2,0,1,0,0,GBC
vehicles.csv,0.2,0,1,0.4,0.8,0.2,0.2,GBC
waveform.csv,0.5,0.3333,1,0.8333,0.8333,0,0.1667,GBC
waveformDG.csv,0.5,0.3333,1,0.8333,0.8333,0.5,0,GBC
Wholesale customers data.csv,0.1667,0.8333,0.1667,0.1667,1,0.1667,0,GBC
wine.csv,0,0.25,1,1,1,0,0,RF
wirelessloca.csv,0.2857,0.4286,1,1,1,0.2857,0,GBC
yeast.csv,0,0,0.5714,0.4286,1,0,0,GBC
zoo.csv,0.125,0.125,1,1,0.875,0.125,0,GBC
