DatasetName,leaves,leaves_branch.nanmean,leaves_corrob.nanmean,leaves_homo.nanmean,leaves_per_class.nanmean,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.nanmean,nodes_repeated.nanmean,tree_depth.nanmean,tree_imbalance.nanmean,tree_shape.nanmean,var_importance.nanmean,maxAlgNames
abalone.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
Absenteeism_at_work.csv,0.0003,0,0,1,0,0.0003,0,0,0,0,0,0,0,0,GBC
Acoustic Features.csv,0.0271,0.0034,0,1,0.0001,0.0267,0.0005,0,0.0024,0.0009,0.003,0,0,0,RF
acute-inflammation.csv,0.5,0.2833,0.05,1,0.0833,0.3333,0.05,0,0.1667,0.1667,0.2,0.0667,0.0833,0.0167,RF
Acute-urinary.csv,0.5,0.2833,0.05,1,0.0833,0.3333,0.05,0,0.1667,0.1667,0.2,0.0667,0.0833,0.0167,RF
Algerian_forest_fires_dataset_UPDATE.csv,0.0344,0.0087,0,1,0.0001,0.0332,0.0026,0,0.0033,0.0033,0.0077,0.0001,0.0001,0.0001,GBC
Annealing.csv,0.1784,0.0523,0.0012,1,0.0024,0.1665,0.0048,0,0.0273,0.0143,0.0428,0.0024,0.0024,0,GBC
auction.csv,0.0603,0.0079,0,1,0.0006,0.059,0.0084,0,0.0074,0.0098,0.0068,0.0003,0.0001,0.0001,GBC
audiology.csv,0.0008,0.0002,0,1,0,0.0008,0,0,0,0,0.0002,0,0,0,GBC
austrCredit .csv,0.0197,0.0018,0,1,0.0001,0.0195,0.0014,0,0.0016,0.0019,0.0015,0,0,0,RF
austrlian statelog.csv,0.0195,0.0017,0,1,0.0001,0.0192,0.0014,0,0.0016,0.0015,0.0015,0,0,0,RF
austrlian2.csv,0.0198,0.0018,0,1,0.0001,0.0196,0.0014,0,0.0016,0.0018,0.0015,0,0,0,RF
Autism-Adult-Data.csv,0.5,0.25,0.125,1,0.125,0.25,0,0,0.25,0.25,0.175,0.125,0.125,0,RF
balance-scaledata.csv,0.0123,0.0007,0,1,0,0.0122,0.003,0,0.001,0.003,0.0006,0,0,0,GBC
ballons.csv,0.4915,0.2712,0.0339,1,0.0678,0.322,0.0678,0,0.1525,0.1525,0.1864,0.0508,0.0678,0.0169,RF
BankNote_Authentication.csv,0.1027,0.0205,0,1,0.0019,0.0989,0.0247,0,0.0141,0.0247,0.0171,0.0008,0.0008,0.0008,GBC
bankruptcy.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
braest-cancer wincosin.csv,0.1324,0.0301,0,1,0.003,0.1264,0.0042,0,0.0181,0.0096,0.0247,0.0012,0.0012,0,GBC
breast_cancer.csv,0.1324,0.0301,0,1,0.003,0.1264,0.0042,0,0.0181,0.0108,0.0247,0.0012,0.0012,0,GBC
bridges1.csv,0.0142,0.0029,0,1,0,0.0138,0.0013,0,0.0012,0.0015,0.0026,0,0,0,GBC
bridges2.csv,0.0156,0.0027,0,1,0,0.0153,0.0014,0,0.0013,0.0014,0.0023,0,0,0,GBC
car_evaluation.csv,0.0062,0.0006,0,1,0,0.0061,0.001,0,0.0004,0.001,0.0005,0,0,0,GBC
chess.csv,0.003,0.0005,0,1,0,0.003,0.0001,0,0.0002,0.0001,0.0005,0,0,0,GBC
cirrhosis.csv,0.0069,0.0004,0,1,0,0.0068,0.0004,0,0.0004,0.0004,0.0004,0,0,0,GBC
cmc.csv,0.0001,0,0,1,0,0.0001,0,0,0,0,0,0,0,0,GBC
connect4.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
csv_result-caesarian.csv,0.0075,0.0015,0,1,0.0001,0.0073,0.0015,0.0001,0.0006,0.0015,0.0013,0,0,0,GBC
csv_result-climate.csv,0.0009,0.0002,0,1,0,0.0008,0,0,0.0001,0.0001,0.0002,0,0,0,GBC
csv_result-column_2C_weka.csv,0.0222,0.0042,0,1,0.0003,0.0217,0.0036,0.0001,0.002,0.0036,0.0036,0.0001,0.0001,0.0001,GBC
csv_result-column_3C_weka.csv,0.0016,0.0003,0,1,0,0.0016,0.0003,0,0.0001,0.0003,0.0003,0,0,0,GBC
csv_result-MagicTelescope.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
csv_result-phpV5QYya.csv,0.0001,0,0,1,0,0.0001,0,0,0,0,0,0,0,0,GBC
csv_result-ThoraricSurgery.csv,0.0021,0.0002,0,1,0,0.002,0.0001,0,0.0001,0.0002,0.0002,0,0,0,GBC
Customer Churn.csv,0.0018,0.0001,0,1,0,0.0018,0.0001,0,0.0001,0.0001,0.0001,0,0,0,GBC
cylinder_bands.csv,0.0011,0.0001,0,1,0,0.001,0,0,0.0001,0,0.0001,0,0,0,GBC
dataR2.csv,0.162,0.0431,0,1,0.0038,0.1524,0.0163,0,0.0249,0.0182,0.0355,0.001,0.001,0,GBC
dermatology.csv,0.0242,0.0085,0.0001,1,0.0003,0.0229,0.0007,0,0.002,0.0016,0.0074,0.0001,0.0003,0,GBC
diabetes.csv,0.0124,0.0008,0,1,0,0.0123,0.0015,0,0.001,0.0015,0.0007,0,0,0,GBC
diabetes_data_upload.csv,0.0692,0.012,0,1,0.001,0.0672,0.0043,0.0002,0.0075,0.0043,0.0102,0.0002,0.0002,0.0002,GBC
dressDataSet.csv,0.0007,0.0001,0,1,0,0.0007,0.0001,0,0,0.0001,0,0,0,0,RF
Dry_Bean_Dataset.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GBC
ecoli.csv,0.0216,0.003,0,1,0,0.0212,0.0026,0,0.0019,0.003,0.0026,0,0,0,GBC
EEG_Eye_State_Classification.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RF
electrical.csv,0.5,0.25,0.125,1,0.125,0.25,0.025,0,0.25,0.25,0.175,0.125,0.125,0.025,RF
electricity.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RF
faults.csv,0.1823,0.1016,0.0026,1,0.013,0.1562,0.0052,0,0.026,0.026,0.0833,0.0026,0.0078,0,GBC
fertility.csv,0.0585,0.017,0,1,0.0015,0.0556,0.0061,0.0003,0.0061,0.0079,0.0143,0.0003,0.0006,0.0003,GBC
flags.csv,0.0595,0.0074,0,1,0.0002,0.0582,0.0021,0.0002,0.0058,0.0034,0.0063,0.0001,0.0001,0,GBC
forestType.csv,0.3433,0.133,0.0043,1,0.0086,0.3004,0.0129,0,0.0773,0.0429,0.103,0.0086,0.0172,0,RF
German Credit Data.csv,0.0048,0.0002,0,1,0,0.0048,0.0002,0,0.0003,0.0002,0.0002,0,0,0,GBC
glass.csv,0.0552,0.0079,0,1,0.0003,0.054,0.006,0.0001,0.006,0.006,0.0068,0.0001,0.0001,0.0001,GBC
haberman.csv,0.0043,0.0004,0,1,0,0.0042,0.0014,0,0.0003,0.0014,0.0003,0,0,0,RF
hapetitis.csv,0.057,0.0135,0,1,0.0012,0.0547,0.0029,0.0002,0.0062,0.0045,0.0116,0.0002,0.0005,0.0002,GBC
hayes-roth.csv,0.0032,0.001,0,1,0,0.0031,0.0006,0,0.0002,0.0006,0.0009,0,0,0,GBC
hcvdat0.csv,0.0113,0.0024,0,1,0.0001,0.011,0.0009,0,0.0008,0.001,0.0022,0,0,0,GBC
heart.csv,0.0581,0.0078,0,1,0.0006,0.0569,0.0043,0,0.0063,0.0043,0.0066,0.0001,0.0001,0.0001,GBC
heart_failure_clinical_records_dataset.csv,0.0294,0.0043,0,1,0.0003,0.0288,0.0024,0.0001,0.0029,0.0029,0.0037,0.0001,0.0001,0.0001,RF
