DatasetName,cor.nanmean,cov.nanmean,eigenvalues.nanmean,g_mean.nanmean,gravity,h_mean.nanmean,iq_range.nanmean,kurtosis.nanmean,mad.nanmean,nr_cor_attr,nr_norm,nr_outliers,skewness.nanmean,sparsity.nanmean,t_mean.nanmean,maxAlgNames
abalone.csv,0,0.3404,1,0,0.0001,0,0.0033,0,0.0022,0,0,0,0,0,0.0031,GBC
Absenteeism_at_work.csv,0.0082,0.1029,1,0,0.8642,0,0.2428,0.0576,0.1852,0,0,0.2469,0.0288,0.0082,0.2428,GBC
Acoustic Features.csv,0.0002,0.1221,1,0.0001,0.0578,0.0001,0.0199,0,0.0147,0.0001,0.0001,0.0006,0.0001,0.0001,0.0199,RF
acute-inflammation.csv,0.0751,0.0791,1,0.0632,0.8103,0.0632,0.2253,0,0.1502,0.0751,0.0632,0.1028,0.0672,0.0791,0.1976,RF
Acute-urinary.csv,0.0751,0.0791,1,0.0632,0.8103,0.0632,0.2253,0,0.1502,0.0751,0.0632,0.1028,0.0672,0.0791,0.1976,RF
Algerian_forest_fires_dataset_UPDATE.csv,0.0006,0.2007,1,0.0003,0.1325,0.0003,0.0357,0,0.0241,0.0006,0.0003,0.0017,0.0005,0.0004,0.0294,GBC
Annealing.csv,0.0008,0.0023,0.1146,0,0.19,0,0.0138,1,0.0062,0,0.0538,0.1769,0.0262,0.0038,0.0162,GBC
auction.csv,0.0417,0.0667,1,0.0333,0.4583,0.0333,0.2833,0,0.2417,0.0333,0.0333,0.2,0.025,0.0583,0.2917,GBC
audiology.csv,0.0005,0.0005,0.2921,0,0.2402,0,0.0108,1,0.0063,0,0.0316,0.2302,0.046,0.0023,0.0077,GBC
austrCredit .csv,0.0001,0.0435,1,0.0001,0.0497,0.0001,0.0235,0,0.0129,0.0001,0.0001,0.0028,0.0001,0.0002,0.0163,RF
austrlian statelog.csv,0.0001,0.0435,1,0.0001,0.0497,0.0001,0.0235,0,0.0129,0.0001,0.0001,0.0028,0.0001,0.0002,0.0163,RF
austrlian2.csv,0.0001,0.0435,1,0.0001,0.0497,0.0001,0.0235,0,0.0129,0.0001,0.0001,0.0028,0.0001,0.0002,0.0163,RF
Autism-Adult-Data.csv,0.0076,0.0189,1,0,0.2614,0,0.1364,0.0606,0.0871,0,0.0379,0.2273,0.0076,0.0152,0.1591,RF
balance-scaledata.csv,0.4242,0.4545,1,0.3939,0.7576,0.3939,1,0,0.8485,0.3939,0.3939,0.3939,0.3939,0.4545,1,GBC
ballons.csv,0.6667,0.6667,0.7667,0.6667,0.9667,0.6667,1,0,0.8,0.6667,0.6667,0.6667,0.6667,0.8333,0.8333,RF
BankNote_Authentication.csv,0,0.4225,1,0,0.005,0,0.0048,0,0.0035,0,0,0,0,0,0.0049,GBC
bankruptcy.csv,0,0.2155,1,0,0.0049,0,0.001,0,0.0007,0,0,0,0,0,0.0008,GBC
braest-cancer wincosin.csv,0.0001,0.4259,1,0.0001,0.0442,0.0001,0.0117,0,0.0086,0.0001,0.0001,0.0001,0.0001,0.0001,0.0119,GBC
breast_cancer.csv,0.0001,0.4259,1,0.0001,0.0442,0.0001,0.0117,0,0.0086,0.0001,0.0001,0.0001,0.0001,0.0001,0.0119,GBC
bridges1.csv,0.0027,0.0398,1,0,0.1487,0,0.0863,0.004,0.0478,0,0,0.0531,0.004,0.004,0.1235,GBC
bridges2.csv,0.0114,0.0171,1,0,0.0571,0,0.1143,0.0286,0.0857,0,0,0.3429,0.0114,0.0171,0.2057,GBC
car_evaluation.csv,0.4583,0.4583,0.7917,0.4583,0.5833,0.4583,1,0,0.9583,0.4583,0.4583,0.4583,0.5,0.5833,0.9583,GBC
chess.csv,0.0009,0,0.0009,0,0.0072,0,0.0036,1,0,0,0,0.2074,0.0397,0.0045,0.0018,GBC
cirrhosis.csv,0.0001,0.0693,1,0,0.024,0,0.0191,0.0009,0.0109,0,0,0.004,0.0005,0.0001,0.0205,GBC
cmc.csv,0.0345,0.069,1,0.0115,0.2069,0.0115,0.3103,0.1149,0.2184,0.023,0.0115,0.5862,0,0.046,0.3793,GBC
connect4.csv,0.001,0,0.0029,0,0.0029,0,0.0038,1,0.0019,0,0.0577,0.2887,0.0597,0.0029,0.0019,GBC
csv_result-caesarian.csv,0.1695,0.2034,1,0.1525,0.3051,0.1525,0.5085,0,0.322,0.1525,0.322,0.322,0.2203,0.2034,0.5932,GBC
csv_result-climate.csv,0.0001,0.0587,1,0.0001,0.0141,0.0001,0.0111,0,0.0081,0.0001,0.0001,0.0001,0.0001,0.0001,0.0117,GBC
csv_result-column_2C_weka.csv,0.0002,0.4682,1,0.0002,0.0237,0.0002,0.0199,0,0.0147,0.0002,0.0002,0.0002,0.0002,0.0002,0.0197,GBC
csv_result-column_3C_weka.csv,0.0002,0.4381,1,0.0002,0.0138,0.0002,0.0197,0,0.0143,0.0002,0.0002,0.0002,0.0002,0.0002,0.0189,GBC
csv_result-MagicTelescope.csv,0,0.2016,1,0,0.0003,0,0.0003,0,0.0003,0,0,0,0,0,0.0003,GBC
csv_result-phpV5QYya.csv,0.0479,0.0426,0.0585,0.0426,0.1436,0.0426,0.0691,0.1117,0.0479,0.0479,0.0426,1,0,0.0691,0.0851,GBC
