abalone.csv,Absenteeism_at_work.csv,Acoustic Features.csv,acute-inflammation.csv,Acute-urinary.csv,Algerian_forest_fires_dataset_UPDATE.csv,Annealing.csv,auction.csv,audiology.csv,austrCredit .csv,austrlian statelog.csv,austrlian2.csv,Autism-Adult-Data.csv,balance-scaledata.csv,ballons.csv,BankNote_Authentication.csv,bankruptcy.csv,braest-cancer wincosin.csv,breast_cancer.csv,bridges1.csv,bridges2.csv,car_evaluation.csv,chess.csv,cirrhosis.csv,cmc.csv,csv_result-caesarian.csv,csv_result-climate.csv,csv_result-column_2C_weka.csv,csv_result-column_3C_weka.csv,csv_result-MagicTelescope.csv,csv_result-phpV5QYya.csv,csv_result-ThoraricSurgery.csv,Customer Churn.csv,cylinder_bands.csv,dataR2.csv,dermatology.csv,diabetes.csv,diabetes_data_upload.csv,dressDataSet.csv,Dry_Bean_Dataset.csv,ecoli.csv,EEG_Eye_State_Classification.csv,electrical.csv,electricity.csv,faults.csv,fertility.csv,flags.csv,forestType.csv,German Credit Data.csv,glass.csv,haberman.csv,hapetitis.csv,hayes-roth.csv,hcvdat0.csv,heart.csv,heart_failure_clinical_records_dataset.csv,horse-ecolic surgical.csv,house_voting.csv,imageSegmentation.csv,Indian Liver Patient Dataset (ILPD).csv,indian liver.csv,indian_liver_patient.csv,ionospere.csv,Iris.csv,iymphography.csv,lenses.csv,librasMove.csv,lunCancer.csv,mammographic.csv,meta-data.csv,miceproteinNuclear.csv,molecular.csv,monksTest1.csv,monksTest2.csv,monksTrain1.csv,Movie_classification.csv,mushroom.csv,non-verbal tourist data.csv,NPHA-doctor-visits.csv,ObesityDataSet_raw_and_data_sinthetic.csv,ozonedet.csv,parkinsons.csv,penReco.csv,phone.csv,planningRelax.csv,pop_failure.csv,postOpertaivePatient.csv,Qualitative_Bankruptcy.csv,Raisin_Dataset.csv,risk_factors_cervical_cancer.csv,seeds.csv,sobar-72.csv,somervilehappy.csv,soyabean-large.csv,Spam.csv,spec-heart.csv,sponge.csv,statlog-austr.csv,statlog-german.csv,statlog-heart.csv,statlog-heart2.csv,statloglandsat.csv,studenperf.csv,student-dropout.csv,teachingassper.csv,thyroid.csv,Thyroid_Diff.csv,tic-toe.csv,transfusion.csv,turkiye-student-evaluation_R_Specific.csv,vehicles.csv,waveform.csv,waveformDG.csv,Wholesale customers data.csv,wine.csv,wirelessloca.csv,yeast.csv,zoo.csv,measureName
0.0,0.0,0.0002,0.0008,0.0008,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0003,0.0,0.0005,0.0,0.0,0.0,0.0001,0.0,0.0003,0.0022,0.0006,0.0196,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0075,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0003,attr_to_inst
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_to_num
0.0,0.0,0.0005,0.0042,0.0042,0.0001,0.0001,0.0001,0.0,0.0007,0.0007,0.0007,0.0005,0.0003,0.025,0.0004,0.0,0.0009,0.0009,0.0003,0.0003,0.0,0.0002,0.0003,0.0002,0.0062,0.0005,0.0012,0.0007,0.0,0.0,0.0006,0.0001,0.0003,0.0043,0.0003,0.0007,0.001,0.001,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0028,0.0006,0.001,0.0004,0.0004,0.0011,0.002,0.0023,0.0001,0.0005,0.0012,0.0017,0.0011,0.0005,0.0006,0.0006,0.0006,0.0004,0.002,0.0006,0.0067,0.0003,0.0036,0.0005,0.0,0.0001,0.0001,0.0012,0.0009,0.004,0.001,0.0001,0.0009,0.0003,0.0,0.0001,0.0017,0.0,0.0001,0.0019,0.0005,0.0008,0.002,0.0006,0.0003,0.0014,0.0049,0.0035,0.0001,0.0001,0.0062,0.0014,0.0007,0.0004,0.0019,0.0019,0.0,0.0,0.0,0.002,0.0007,0.0009,0.0005,0.0004,0.0,0.0002,0.0001,0.0001,0.0003,0.0017,0.0001,0.0,0.0003,freq_class.nanmean
0.125,0.0526,0.02,0.1425,0.1425,0.0769,0.027,0.1429,0.0143,0.0714,0.0714,0.0714,0.05,0.25,0.25,0.25,0.0105,0.0334,0.0334,0.0909,0.0909,0.1667,0.0278,0.0556,0.1111,0.2,0.05,0.1667,0.1667,0.1,0.0333,0.0625,0.0769,0.0256,0.1112,0.0295,0.125,0.0625,0.077,0.0625,0.125,0.0714,0.0769,0.125,0.0303,0.1114,0.0346,0.0369,0.05,0.1112,0.3333,0.0524,0.2,0.0833,0.0769,0.0833,0.037,0.0625,0.0529,0.1,0.1,0.1,0.0295,0.25,0.0556,0.2489,0.0111,0.0161,0.2,0.0475,0.0125,0.0164,0.1428,0.1429,0.1669,0.0555,0.0455,0.0454,0.0714,0.0625,0.0137,0.0435,0.0625,0.05,0.0835,0.05,0.125,0.1428,0.1429,0.0286,0.1429,0.0529,0.1664,0.0286,0.0175,0.0225,0.0224,0.0714,0.05,0.077,0.077,0.0278,0.0312,0.0278,0.2,0.2,0.0625,0.1111,0.25,0.0323,0.0556,0.0476,0.025,0.1428,0.077,0.1428,0.1111,0.0589,inst_to_attr
0.0004,0.0048,0.125,0.0583,0.0583,0.0099,0.0122,0.002,0.0608,0.0203,0.0203,0.0203,0.0194,0.0046,0.2,0.0029,0.0072,0.0527,0.0527,0.0312,0.0312,0.0012,0.0113,0.0232,0.0061,0.0625,0.0202,0.0143,0.0133,0.0005,0.0027,0.02,0.0024,0.0417,0.0776,0.0506,0.0104,0.0308,0.026,0.0006,0.007,0.0009,0.0013,0.0002,0.017,0.0511,0.0929,0.1364,0.0143,0.0197,0.0067,0.0772,0.0379,0.0045,0.0127,0.0296,0.09,0.0368,0.0905,0.012,0.012,0.012,0.0506,0.0267,0.0556,0.0889,0.25,1.0,0.0052,0.0398,0.0741,0.0123,0.0162,0.0121,0.0484,0.0356,0.0027,0.1019,0.0125,0.0076,0.0154,0.0782,0.0021,0.01,0.0462,0.0202,0.0317,0.028,0.0078,0.0218,0.0333,0.1863,0.042,0.0461,0.0124,0.55,0.2143,0.0203,0.0143,0.0481,0.0481,0.0056,0.011,0.0054,0.0331,0.0111,0.0291,0.0094,0.0035,0.0029,0.0213,0.0042,0.008,0.0074,0.073,0.0035,0.0019,0.0592,nr_attr
0.0,0.0008,0.0,0.05,0.05,0.0008,0.0046,0.0006,0.046,0.0058,0.0058,0.0058,0.0136,0.0,0.2,0.0,0.0001,0.0,0.0,0.0057,0.0057,0.0,0.011,0.0065,0.002,0.0125,0.0,0.0,0.0,0.0,0.002,0.0125,0.0006,0.0,0.0,0.0015,0.0,0.0288,0.0,0.0,0.0017,0.0,0.0,0.0,0.0041,0.017,0.0417,0.0,0.0021,0.0,0.0,0.0122,0.0,0.0004,0.0029,0.0123,0.01,0.0,0.0048,0.0012,0.0012,0.0012,0.0015,0.0,0.0278,0.0667,0.0,0.2321,0.0,0.0019,0.0028,0.0,0.0046,0.0034,0.0161,0.002,0.0006,0.0185,0.0054,0.0024,0.0,0.0,0.0,0.003,0.0,0.0,0.0079,0.0,0.0,0.0056,0.0,0.0,0.0,0.0013,0.0,0.0,0.0714,0.0058,0.0021,0.0111,0.0111,0.0,0.0045,0.0012,0.0132,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0002,0.0523,nr_bin
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nr_cat
0.0015,0.0048,0.01,0.0167,0.0167,0.0076,0.0016,0.0006,0.0208,0.0029,0.0029,0.0029,0.0019,0.0035,0.1,0.0015,0.0002,0.0035,0.0035,0.0227,0.0227,0.0008,0.0006,0.0065,0.002,0.025,0.002,0.0048,0.0067,0.0001,0.0002,0.0025,0.0004,0.0032,0.0172,0.0089,0.0026,0.0038,0.004,0.0003,0.007,0.0001,0.0002,0.0,0.001,0.0114,0.0192,0.0202,0.0014,0.0132,0.0044,0.0081,0.0227,0.0019,0.002,0.0049,0.0067,0.0046,0.0333,0.0024,0.0024,0.0024,0.0045,0.02,0.0123,0.0667,0.0417,0.0714,0.0021,0.0455,0.0074,0.0006,0.0046,0.0034,0.0161,0.004,0.0002,0.0278,0.0027,0.0033,0.0004,0.0068,0.0013,0.002,0.0077,0.002,0.0159,0.008,0.0022,0.0012,0.0143,0.0196,0.014,0.025,0.0004,0.025,0.0143,0.0029,0.0014,0.0074,0.0074,0.0009,0.0065,0.0005,0.0199,0.0067,0.0036,0.0021,0.0018,0.0003,0.0047,0.0006,0.0006,0.0032,0.0169,0.002,0.0022,0.0244,nr_class
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nr_inst
0.0004,0.0048,0.125,0.0583,0.0583,0.0099,0.0122,0.002,0.0608,0.0203,0.0203,0.0203,0.0194,0.0046,0.2,0.0029,0.0072,0.0527,0.0527,0.0312,0.0312,0.0012,0.0113,0.0232,0.0061,0.0625,0.0202,0.0143,0.0133,0.0005,0.0027,0.02,0.0024,0.0417,0.0776,0.0506,0.0104,0.0308,0.026,0.0006,0.007,0.0009,0.0013,0.0002,0.017,0.0511,0.0929,0.1364,0.0143,0.0197,0.0067,0.0772,0.0379,0.0045,0.0127,0.0296,0.09,0.0368,0.0905,0.012,0.012,0.012,0.0506,0.0267,0.0556,0.0889,0.25,1.0,0.0052,0.0398,0.0741,0.0123,0.0162,0.0121,0.0484,0.0356,0.0027,0.1019,0.0125,0.0076,0.0154,0.0782,0.0021,0.01,0.0462,0.0202,0.0317,0.028,0.0078,0.0218,0.0333,0.1863,0.042,0.0461,0.0124,0.55,0.2143,0.0203,0.0143,0.0481,0.0481,0.0056,0.011,0.0054,0.0331,0.0111,0.0291,0.0094,0.0035,0.0029,0.0213,0.0042,0.008,0.0074,0.073,0.0035,0.0019,0.0592,nr_num
