f1.nanmean,n2.nanmean,t1,original_dataset,Maxalg
0.5904,0.1414,0.2474,Absenteeism_at_work,GBC
0.8434,0.4343,0.9381,Acoustic Features,RF
0.7108,0.0101,0.0103,Acute-urinary,RF
0.0602,0.0606,0.0619,Algerian_forest_fires_dataset_UPDATE,GBC
0.6747,0.0606,0.0722,Annealing,GBC
0.7831,0.1414,0.1031,Autism-Adult-Data,RF
0.7831,0.1212,0.0206,BankNote_Authentication,GBC
0.8434,0.1616,0.134,Customer Churn,GBC
0.1687,0.2559,0.1512,Dry_Bean_Dataset,GBC
0.988,0.4141,0.701,EEG_Eye_State_Classification,RF
0.9759,0.2828,0.5773,German Credit Data,GBC
0.9157,0.2323,0.4536,Indian Liver Patient Dataset (ILPD),GBC
0.1566,0.202,0.1031,Iris,GBC
1,0.4949,0.9278,Movie_classification,RF
0.988,0.2626,0.4227,NPHA-doctor-visits,GBC
0.7831,0.303,0.4433,ObesityDataSet_raw_and_data_sinthetic,GBC
0.8554,0.1111,0.0722,Qualitative_Bankruptcy,GBC
0.5663,0.3434,0.3402,Raisin_Dataset,RF
0.9277,0.3434,0.3711,Spam,GBC
0.7952,0.1111,0.134,Thyroid_Diff,RF
0.988,0.1515,0.3608,Wholesale customers data,GBC
0.4036,0.2323,0.4588,abalone,GBC
0.7108,0.0101,0.0103,acute-inflammation,RF
0.9639,0.1919,0.268,auction,GBC
0.4699,0.0303,0.0928,audiology,GBC
0.8675,0.404,0.4021,austrCredit ,RF
0.8675,0.404,0.4021,austrlian statelog,RF
0.8675,0.404,0.4021,austrlian2,RF
0.8554,0.2424,0.2165,balance-scaledata,GBC
0.7349,0.2727,0.4845,ballons,RF
0.8072,0.2424,0.4536,bankruptcy,GBC
0.6145,0.3636,0.268,braest-cancer wincosin,GBC
0.6145,0.3636,0.268,breast_cancer,GBC
0.4819,0.0505,0.1649,bridges1,GBC
0.5301,0.0505,0.1546,bridges2,GBC
0.8795,0.1818,0.3299,car_evaluation,GBC
0.9759,0.3636,0.3918,chess,GBC
0.8434,0.2222,0.4845,cirrhosis,GBC
0.9639,0.5253,0.701,cmc,GBC
0.9819,0.7172,0.8041,csv_result-MagicTelescope,GBC
0.988,0.1717,0.2062,csv_result-ThoraricSurgery,GBC
0.9518,0.5051,0.5464,csv_result-caesarian,GBC
0.9398,0.2222,0.4639,csv_result-climate,GBC
0.8072,0.2121,0.299,csv_result-column_2C_weka,GBC
0.5542,0.1818,0.299,csv_result-column_3C_weka,GBC
0.9277,0.303,0.3093,csv_result-phpV5QYya,GBC
0.8916,0.202,0.3711,cylinder_bands,GBC
0.9398,0.4646,0.8763,dataR2,GBC
0.3373,0.101,0.0825,dermatology,GBC
0.9277,0.4545,0.6907,diabetes,GBC
0.8554,0.0808,0.1237,diabetes_data_upload,GBC
1,0.5051,0.8454,dressDataSet,RF
0.3253,0.0606,0.1237,ecoli,GBC
0.9036,0.4343,0.7216,electrical,RF
0.8771,0.3636,0.4309,electricity,RF
0.9639,0.303,0.4124,faults,GBC
0.9639,0.1616,0.134,fertility,GBC
0.8434,0.202,0.4948,flags,GBC
0.4699,0.3636,0.3608,forestType,RF
0.5783,0.1212,0.2268,glass,GBC
0.9639,0.1919,0.2887,haberman,RF
0.8916,0.1818,0.3402,hapetitis,GBC
0.8554,0.3939,0.6289,hayes-roth,GBC
0.6265,0.0808,0.1134,hcvdat0,GBC
0.8795,0,0.1443,heart,GBC
0.9398,0.2525,0.4948,heart_failure_clinical_records_dataset,RF
0.9518,0.4242,0.8041,horse-ecolic surgical,RF
0.7229,0.2323,0.1546,house_voting,GBC
0.3373,0.3434,0.433,imageSegmentation,GBC
