abalone.csv,Absenteeism_at_work.csv,Acoustic Features.csv,acute-inflammation.csv,Acute-urinary.csv,Algerian_forest_fires_dataset_UPDATE.csv,Annealing.csv,auction.csv,audiology.csv,austrCredit .csv,austrlian statelog.csv,austrlian2.csv,Autism-Adult-Data.csv,balance-scaledata.csv,ballons.csv,BankNote_Authentication.csv,bankruptcy.csv,braest-cancer wincosin.csv,breast_cancer.csv,bridges1.csv,bridges2.csv,car_evaluation.csv,chess.csv,cirrhosis.csv,cmc.csv,csv_result-caesarian.csv,csv_result-climate.csv,csv_result-column_2C_weka.csv,csv_result-column_3C_weka.csv,csv_result-MagicTelescope.csv,csv_result-phpV5QYya.csv,csv_result-ThoraricSurgery.csv,Customer Churn.csv,cylinder_bands.csv,dataR2.csv,dermatology.csv,diabetes.csv,diabetes_data_upload.csv,dressDataSet.csv,Dry_Bean_Dataset.csv,ecoli.csv,EEG_Eye_State_Classification.csv,electrical.csv,electricity.csv,faults.csv,fertility.csv,flags.csv,forestType.csv,German Credit Data.csv,glass.csv,haberman.csv,hapetitis.csv,hayes-roth.csv,hcvdat0.csv,heart.csv,heart_failure_clinical_records_dataset.csv,horse-ecolic surgical.csv,house_voting.csv,imageSegmentation.csv,Indian Liver Patient Dataset (ILPD).csv,indian liver.csv,indian_liver_patient.csv,ionospere.csv,Iris.csv,iymphography.csv,lenses.csv,librasMove.csv,lunCancer.csv,mammographic.csv,meta-data.csv,miceproteinNuclear.csv,molecular.csv,monksTest1.csv,monksTest2.csv,monksTrain1.csv,Movie_classification.csv,mushroom.csv,non-verbal tourist data.csv,NPHA-doctor-visits.csv,ObesityDataSet_raw_and_data_sinthetic.csv,ozonedet.csv,parkinsons.csv,penReco.csv,phone.csv,planningRelax.csv,pop_failure.csv,postOpertaivePatient.csv,Qualitative_Bankruptcy.csv,Raisin_Dataset.csv,risk_factors_cervical_cancer.csv,seeds.csv,sobar-72.csv,somervilehappy.csv,soyabean-large.csv,Spam.csv,spec-heart.csv,sponge.csv,statlog-austr.csv,statlog-german.csv,statlog-heart.csv,statlog-heart2.csv,statloglandsat.csv,studenperf.csv,student-dropout.csv,teachingassper.csv,thyroid.csv,Thyroid_Diff.csv,tic-toe.csv,transfusion.csv,turkiye-student-evaluation_R_Specific.csv,vehicles.csv,waveform.csv,waveformDG.csv,Wholesale customers data.csv,wine.csv,wirelessloca.csv,yeast.csv,zoo.csv,measureName
0.0,0.0003,0.0271,0.5,0.5,0.0344,0.1784,0.0603,0.0008,0.0197,0.0195,0.0195,0.5,0.0123,0.4915,0.1027,0.0,0.1324,0.1324,0.0142,0.0163,0.0062,0.003,0.0069,0.0001,0.0069,0.0005,0.0222,0.0016,0.0,0.0001,0.0021,0.0018,0.0011,0.162,0.0242,0.0123,0.0692,0.0007,0.0,0.0216,0.0,0.5,0.0,0.1823,0.0585,0.0595,0.3433,0.0048,0.0552,0.0043,0.057,0.0039,0.0113,0.0581,0.0316,0.0523,0.0402,0.0387,0.0,0.0,0.0,0.0356,0.238,0.0248,0.2974,0.0245,0.257,0.0002,0.0001,0.3756,0.0034,0.1911,0.0045,0.0407,0.0012,0.1207,0.1901,0.0001,0.0119,0.0,0.2667,0.0031,0.0161,0.0154,0.0049,0.0214,0.5,0.0047,0.0019,0.1779,0.3405,0.0013,0.0007,0.0,0.102,0.2059,0.0197,0.0047,0.0675,0.0675,0.0001,0.0006,0.0,0.0117,0.2524,0.0871,0.0132,0.0026,0.0001,0.0014,0.0005,0.0002,0.0001,0.2587,0.0047,0.0,0.2037,leaves
0.0,0.0,0.0034,0.2833,0.2833,0.0087,0.0523,0.0079,0.0002,0.0018,0.0018,0.0018,0.25,0.0007,0.2712,0.0205,0.0,0.0301,0.0301,0.0029,0.0028,0.0006,0.0005,0.0004,0.0,0.0014,0.0001,0.0042,0.0003,0.0,0.0,0.0002,0.0001,0.0001,0.0431,0.0085,0.0008,0.012,0.0001,0.0,0.003,0.0,0.25,0.0,0.1016,0.017,0.0074,0.133,0.0002,0.0079,0.0004,0.0135,0.0011,0.0024,0.0078,0.0046,0.0091,0.0076,0.0125,0.0,0.0,0.0,0.0075,0.0989,0.0054,0.1379,0.0025,0.0864,0.0,0.0,0.1408,0.0002,0.0849,0.0005,0.0124,0.0001,0.0302,0.0465,0.0,0.0008,0.0,0.096,0.0001,0.0007,0.0033,0.0014,0.0038,0.25,0.0004,0.0004,0.0481,0.1293,0.0002,0.0002,0.0,0.0369,0.087,0.0018,0.0002,0.0089,0.0089,0.0,0.0,0.0,0.0016,0.0738,0.0192,0.0009,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0804,0.0007,0.0,0.0794,leaves_branch.nanmean
0.0,0.0,0.0,0.05,0.05,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0026,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0047,0.0,0.0021,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,leaves_corrob.nanmean
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,leaves_homo.nanmean
0.0,0.0,0.0001,0.0833,0.0833,0.0001,0.0024,0.0006,0.0,0.0001,0.0001,0.0001,0.125,0.0,0.0678,0.0019,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0003,0.0,0.001,0.0,0.0,0.0,0.0,0.125,0.0,0.013,0.0015,0.0002,0.0086,0.0,0.0003,0.0,0.0012,0.0,0.0001,0.0006,0.0003,0.0007,0.0006,0.0002,0.0,0.0,0.0,0.0004,0.0053,0.0002,0.0086,0.0,0.0047,0.0,0.0,0.0047,0.0,0.0106,0.0,0.0009,0.0,0.003,0.0021,0.0,0.0,0.0,0.0133,0.0,0.0,0.0002,0.0001,0.0001,0.125,0.0,0.0,0.0022,0.0172,0.0,0.0,0.0,0.0039,0.0069,0.0001,0.0,0.0007,0.0007,0.0,0.0,0.0,0.0001,0.0058,0.0017,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.002,leaves_per_class.nanmean
0.0,0.0003,0.0267,0.3333,0.3333,0.0332,0.1665,0.059,0.0008,0.0195,0.0193,0.0193,0.25,0.0122,0.322,0.0989,0.0,0.1264,0.1264,0.0138,0.016,0.0061,0.003,0.0068,0.0001,0.0067,0.0005,0.0217,0.0016,0.0,0.0001,0.002,0.0018,0.001,0.1524,0.0229,0.0122,0.0672,0.0007,0.0,0.0212,0.0,0.25,0.0,0.1562,0.0556,0.0582,0.3004,0.0048,0.054,0.0042,0.0547,0.0038,0.011,0.0569,0.0309,0.0508,0.0389,0.0369,0.0,0.0,0.0,0.0344,0.2112,0.024,0.2543,0.0242,0.2336,0.0002,0.0001,0.3286,0.0034,0.1699,0.0044,0.0389,0.0012,0.1147,0.1795,0.0001,0.0118,0.0,0.24,0.0031,0.016,0.015,0.0048,0.0209,0.25,0.0047,0.0018,0.1667,0.2974,0.0013,0.0006,0.0,0.0941,0.1831,0.0195,0.0046,0.066,0.066,0.0001,0.0006,0.0,0.0115,0.233,0.0837,0.0131,0.0026,0.0001,0.0014,0.0005,0.0002,0.0001,0.237,0.0046,0.0,0.1833,nodes
0.0,0.0,0.0005,0.05,0.05,0.0026,0.0048,0.0084,0.0,0.0014,0.0014,0.0014,0.0,0.003,0.0678,0.0247,0.0,0.0042,0.0042,0.0013,0.0015,0.001,0.0001,0.0004,0.0,0.0013,0.0,0.0036,0.0003,0.0,0.0,0.0001,0.0001,0.0,0.0163,0.0007,0.0015,0.0043,0.0001,0.0,0.0026,0.0,0.025,0.0,0.0052,0.0061,0.0021,0.0129,0.0002,0.006,0.0014,0.0029,0.0008,0.0009,0.0043,0.0026,0.0019,0.0025,0.002,0.0,0.0,0.0,0.0011,0.0508,0.0014,0.0603,0.0003,0.0047,0.0,0.0,0.0047,0.0001,0.0234,0.0006,0.0065,0.0001,0.0054,0.0084,0.0,0.0007,0.0,0.0107,0.0002,0.0008,0.0012,0.0002,0.0026,0.025,0.0007,0.0001,0.0224,0.0129,0.0002,0.0,0.0,0.0024,0.0046,0.0014,0.0002,0.0051,0.0051,0.0,0.0,0.0,0.0023,0.0466,0.0052,0.0015,0.0006,0.0,0.0001,0.0,0.0,0.0,0.0152,0.0007,0.0,0.0102,nodes_per_attr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nodes_per_inst
0.0,0.0,0.0024,0.1667,0.1667,0.0033,0.0273,0.0074,0.0,0.0016,0.0016,0.0016,0.25,0.001,0.1525,0.0141,0.0,0.0181,0.0181,0.0012,0.0013,0.0004,0.0002,0.0004,0.0,0.0005,0.0,0.002,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0249,0.002,0.0009,0.0075,0.0,0.0,0.0019,0.0,0.25,0.0,0.026,0.0061,0.0058,0.0773,0.0003,0.006,0.0003,0.0062,0.0002,0.0008,0.0063,0.0031,0.0051,0.0035,0.0041,0.0,0.0,0.0,0.0034,0.0401,0.0022,0.0603,0.002,0.0467,0.0,0.0,0.108,0.0002,0.0276,0.0003,0.0043,0.0001,0.0163,0.0296,0.0,0.0008,0.0,0.048,0.0002,0.0012,0.0012,0.0003,0.0019,0.25,0.0003,0.0001,0.0268,0.0733,0.0001,0.0,0.0,0.0118,0.0297,0.0016,0.0003,0.0073,0.0073,0.0,0.0,0.0,0.0009,0.0466,0.0105,0.0011,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0457,0.0003,0.0,0.0305,nodes_per_level.nanmean
0.0,0.0,0.0009,0.1667,0.1667,0.0037,0.0143,0.0098,0.0,0.0018,0.0015,0.0015,0.25,0.003,0.1525,0.0247,0.0,0.009,0.0084,0.0014,0.0015,0.001,0.0001,0.0005,0.0,0.0013,0.0,0.0036,0.0003,0.0,0.0,0.0002,0.0001,0.0,0.0182,0.0015,0.0015,0.0045,0.0001,0.0,0.003,0.0,0.25,0.0,0.026,0.0094,0.0029,0.0429,0.0002,0.006,0.0014,0.0045,0.0008,0.001,0.0043,0.0031,0.003,0.0027,0.0031,0.0,0.0,0.0,0.002,0.0508,0.0017,0.0603,0.0005,0.0257,0.0,0.0,0.108,0.0001,0.0425,0.0006,0.0065,0.0001,0.0091,0.0137,0.0,0.0008,0.0,0.0267,0.0002,0.0008,0.0015,0.0003,0.0026,0.25,0.0007,0.0001,0.0268,0.0474,0.0002,0.0,0.0,0.0086,0.0229,0.0015,0.0002,0.0051,0.0051,0.0,0.0,0.0,0.0023,0.0466,0.0094,0.0015,0.0006,0.0,0.0001,0.0,0.0,0.0,0.0239,0.0007,0.0,0.0224,nodes_repeated.nanmean
