abalone.csv,Absenteeism_at_work.csv,Acoustic Features.csv,acute-inflammation.csv,Acute-urinary.csv,Algerian_forest_fires_dataset_UPDATE.csv,Annealing.csv,auction.csv,audiology.csv,austrCredit .csv,austrlian statelog.csv,austrlian2.csv,Autism-Adult-Data.csv,balance-scaledata.csv,ballons.csv,BankNote_Authentication.csv,bankruptcy.csv,braest-cancer wincosin.csv,breast_cancer.csv,bridges1.csv,bridges2.csv,car_evaluation.csv,chess.csv,cirrhosis.csv,cmc.csv,csv_result-caesarian.csv,csv_result-climate.csv,csv_result-column_2C_weka.csv,csv_result-column_3C_weka.csv,csv_result-MagicTelescope.csv,csv_result-phpV5QYya.csv,csv_result-ThoraricSurgery.csv,Customer Churn.csv,cylinder_bands.csv,dataR2.csv,dermatology.csv,diabetes.csv,diabetes_data_upload.csv,dressDataSet.csv,Dry_Bean_Dataset.csv,ecoli.csv,EEG_Eye_State_Classification.csv,electrical.csv,electricity.csv,faults.csv,fertility.csv,flags.csv,forestType.csv,German Credit Data.csv,glass.csv,haberman.csv,hapetitis.csv,hayes-roth.csv,hcvdat0.csv,heart.csv,heart_failure_clinical_records_dataset.csv,horse-ecolic surgical.csv,house_voting.csv,imageSegmentation.csv,Indian Liver Patient Dataset (ILPD).csv,indian liver.csv,indian_liver_patient.csv,ionospere.csv,Iris.csv,iymphography.csv,lenses.csv,librasMove.csv,lunCancer.csv,mammographic.csv,meta-data.csv,miceproteinNuclear.csv,molecular.csv,monksTest1.csv,monksTest2.csv,monksTrain1.csv,Movie_classification.csv,mushroom.csv,non-verbal tourist data.csv,NPHA-doctor-visits.csv,ObesityDataSet_raw_and_data_sinthetic.csv,ozonedet.csv,parkinsons.csv,penReco.csv,phone.csv,planningRelax.csv,pop_failure.csv,postOpertaivePatient.csv,Qualitative_Bankruptcy.csv,Raisin_Dataset.csv,risk_factors_cervical_cancer.csv,seeds.csv,sobar-72.csv,somervilehappy.csv,soyabean-large.csv,Spam.csv,spec-heart.csv,sponge.csv,statlog-austr.csv,statlog-german.csv,statlog-heart.csv,statlog-heart2.csv,statloglandsat.csv,studenperf.csv,student-dropout.csv,teachingassper.csv,thyroid.csv,Thyroid_Diff.csv,tic-toe.csv,transfusion.csv,turkiye-student-evaluation_R_Specific.csv,vehicles.csv,waveform.csv,waveformDG.csv,Wholesale customers data.csv,wine.csv,wirelessloca.csv,yeast.csv,zoo.csv,measureName
0.0,0.0082,0.0002,0.0751,0.0751,0.0006,0.0008,0.0417,0.0005,0.0001,0.0001,0.0001,0.0076,0.4242,0.6667,0.0,0.0,0.0001,0.0001,0.0027,0.0114,0.4583,0.0009,0.0001,0.0345,0.1695,0.0001,0.0002,0.0002,0.0,0.0479,0.0008,0.0,0.0003,0.0016,0.0083,0.0001,0.1569,0.0001,0.0,0.0002,0.0002,0.0,0.0,0.0,0.1714,0.0005,0.0006,0.0,0.0002,0.0,0.0019,0.0031,0.0001,0.0035,0.0014,0.0003,0.3448,0.0002,0.0002,0.0002,0.0002,0.0002,0.0211,0.2167,0.6071,0.0005,0.0056,0.007,0.0013,0.0,0.0001,0.0007,0.0007,0.5294,0.0002,0.0833,0.0286,0.0125,0.0,0.0,0.0005,0.0009,0.0001,0.0006,0.0001,0.3548,0.0017,0.0,0.0097,0.0007,0.058,0.1077,0.0694,0.0,0.0171,0.013,0.0001,0.0,0.0055,0.0055,0.0031,0.0053,0.0,0.015,0.0035,0.0115,0.5,0.0037,0.0769,0.0008,0.0,0.0,0.0001,0.0016,0.0096,0.0,0.0043,cor.nanmean
0.3404,0.1029,0.1221,0.0791,0.0791,0.2007,0.0023,0.0667,0.0005,0.0435,0.0435,0.0435,0.0189,0.4545,0.6667,0.4225,0.2155,0.4259,0.4259,0.0398,0.0171,0.4583,0.0,0.0693,0.069,0.2034,0.0587,0.4682,0.4381,0.2016,0.0426,0.0597,0.084,0.0332,0.2315,0.0083,0.067,0.1569,0.007,0.5358,0.0444,0.4992,0.0596,0.2293,0.1153,0.2286,0.013,0.2221,0.0027,0.1999,0.0371,0.0349,0.0065,0.1498,0.0386,0.0233,0.0179,0.2759,0.3537,0.1871,0.1871,0.1871,0.2547,0.5807,0.2,0.5714,0.265,0.0,0.0492,0.0283,0.2576,0.0001,0.0015,0.0016,0.5,0.2796,0.0938,0.0571,0.0,0.0627,0.0659,0.4571,0.2589,0.0121,0.2265,0.061,0.3226,0.0035,0.5675,0.0258,0.5886,0.2246,0.1077,0.0625,0.0396,0.2114,0.013,0.0435,0.0027,0.0435,0.0435,0.4888,0.0158,0.0264,0.0558,0.5618,0.0287,0.4643,0.2759,0.109,0.2054,0.334,0.1316,0.2727,0.2922,0.376,0.0038,0.0043,cov.nanmean
1.0,1.0,1.0,1.0,1.0,1.0,0.1146,1.0,0.2921,1.0,1.0,1.0,1.0,1.0,0.7667,1.0,1.0,1.0,1.0,1.0,1.0,0.7917,0.0009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0585,1.0,1.0,1.0,1.0,0.3958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3793,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.6786,1.0,0.0083,1.0,1.0,1.0,1.0,1.0,1.0,0.6765,1.0,0.3021,0.9286,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4516,1.0,1.0,0.6581,1.0,0.7971,0.2154,0.1111,1.0,1.0,0.3739,1.0,1.0,1.0,1.0,1.0,0.1684,1.0,1.0,1.0,1.0,0.6786,1.0,0.1667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,eigenvalues.nanmean
0.0,0.0,0.0001,0.0632,0.0632,0.0003,0.0,0.0333,0.0,0.0001,0.0001,0.0001,0.0,0.3939,0.6667,0.0,0.0,0.0001,0.0001,0.0,0.0,0.4583,0.0,0.0,0.0115,0.1525,0.0001,0.0002,0.0002,0.0,0.0426,0.0,0.0,0.0,0.0013,0.0,0.0001,0.1373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0004,0.0,0.0,0.0,0.0,0.0027,0.0001,0.0029,0.0013,0.0,0.2414,0.0,0.0,0.0,0.0,0.0001,0.0121,0.1667,0.5714,0.0004,0.0,0.0,0.0009,0.0,0.0001,0.0007,0.0007,0.5,0.0001,0.0625,0.0,0.0,0.0,0.0,0.0003,0.0005,0.0001,0.0005,0.0001,0.2903,0.0016,0.0,0.0,0.0004,0.0435,0.0769,0.0347,0.0,0.0114,0.0,0.0001,0.0,0.0043,0.0043,0.0012,0.0,0.0,0.0107,0.0018,0.0,0.4643,0.0,0.0385,0.0004,0.0,0.0,0.0001,0.0013,0.0032,0.0,0.0,g_mean.nanmean
0.0001,0.8642,0.0578,0.8103,0.8103,0.1325,0.19,0.4583,0.2402,0.0497,0.0497,0.0497,0.2614,0.7576,0.9667,0.005,0.0049,0.0442,0.0442,0.1487,0.0571,0.5833,0.0072,0.024,0.2069,0.3051,0.0141,0.0237,0.0138,0.0003,0.1436,0.0622,0.0143,0.0779,0.0385,0.3333,0.0214,0.4216,0.0153,0.0007,0.0494,0.016,0.0008,0.0037,0.007,0.6286,0.2366,0.1723,0.0122,0.0274,0.076,0.1599,0.0486,0.0353,0.1367,0.08,0.0517,1.0,0.0933,0.0713,0.0713,0.0713,0.0725,0.3092,1.0,0.9643,0.0639,0.0611,0.2974,0.0458,0.0162,0.0024,0.0097,0.0016,0.8235,0.0048,0.5417,0.6286,0.0375,0.0114,0.03,0.0852,0.1929,0.0158,0.0073,0.0123,1.0,0.1686,0.0122,0.2323,0.0565,1.0,0.2154,1.0,0.0672,0.6571,0.4,0.0497,0.0122,0.1495,0.1495,0.5849,0.3737,0.0326,0.0773,0.1151,0.523,0.6071,0.0486,0.1026,0.1107,0.0346,0.0328,0.0042,0.1614,0.6192,0.0119,0.1404,gravity
0.0,0.0,0.0001,0.0632,0.0632,0.0003,0.0,0.0333,0.0,0.0001,0.0001,0.0001,0.0,0.3939,0.6667,0.0,0.0,0.0001,0.0001,0.0,0.0,0.4583,0.0,0.0,0.0115,0.1525,0.0001,0.0002,0.0002,0.0,0.0426,0.0,0.0,0.0,0.0013,0.0,0.0001,0.1373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0004,0.0,0.0,0.0,0.0,0.0027,0.0001,0.0029,0.0013,0.0,0.2414,0.0,0.0,0.0,0.0,0.0001,0.0121,0.1667,0.5714,0.0004,0.0,0.0,0.0009,0.0,0.0001,0.0007,0.0007,0.5,0.0001,0.0625,0.0,0.0,0.0,0.0,0.0003,0.0005,0.0001,0.0005,0.0001,0.2903,0.0016,0.0,0.0,0.0004,0.0435,0.0769,0.0347,0.0,0.0114,0.0,0.0001,0.0,0.0043,0.0043,0.0012,0.0,0.0,0.0107,0.0018,0.0,0.4643,0.0,0.0385,0.0004,0.0,0.0,0.0001,0.0013,0.0032,0.0,0.0,h_mean.nanmean
0.0033,0.2428,0.0199,0.2253,0.2253,0.0357,0.0138,0.2833,0.0108,0.0235,0.0235,0.0235,0.1364,1.0,1.0,0.0048,0.001,0.0117,0.0117,0.0863,0.1143,1.0,0.0036,0.0191,0.3103,0.5085,0.0111,0.0199,0.0197,0.0003,0.0691,0.0538,0.0026,0.0196,0.0557,0.0542,0.0178,0.3235,0.015,0.0004,0.0262,0.0187,0.0006,0.0018,0.0045,0.6571,0.0423,0.035,0.0072,0.0438,0.1767,0.0862,0.0507,0.0171,0.0675,0.0378,0.0386,0.5862,0.0338,0.0317,0.0317,0.0317,0.018,0.2051,0.4167,1.0,0.0302,0.0111,0.1265,0.0233,0.0056,0.002,0.0151,0.0155,1.0,0.0156,0.25,0.3,0.075,0.0045,0.0047,0.0317,0.0529,0.0051,0.0346,0.011,0.6774,0.0268,0.0067,0.0484,0.033,0.4275,0.2308,0.1319,0.0038,0.2343,0.0696,0.0235,0.0072,0.0723,0.0723,0.0851,0.0895,0.0084,0.191,0.0764,0.1322,0.9643,0.0971,0.141,0.0297,0.0094,0.0107,0.0144,0.0559,0.1744,0.0046,0.0778,iq_range.nanmean
0.0,0.0576,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0286,0.0,1.0,0.0009,0.1149,0.0,0.0,0.0,0.0,0.0,0.1117,0.4487,0.0,0.0115,0.0,0.0833,0.0,0.0,0.0003,0.0,0.0007,0.002,0.0,0.0,0.0,0.0,0.0087,0.0,0.0004,0.0,0.0018,0.001,0.0,0.0,0.0,0.0,0.0401,0.0,0.0004,0.0016,0.0016,0.0016,0.0,0.0,0.0,0.0,0.0,0.0806,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3429,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581,0.0,0.0,0.0615,0.0,0.0021,0.0,0.6348,0.0,0.0004,0.0,0.0,0.0,0.0211,0.0034,0.0086,0.0,0.1724,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0022,kurtosis.nanmean
0.0022,0.1852,0.0147,0.1502,0.1502,0.0241,0.0062,0.2417,0.0063,0.0129,0.0129,0.0129,0.0871,0.8485,0.8,0.0035,0.0007,0.0086,0.0086,0.0478,0.0857,0.9583,0.0,0.0109,0.2184,0.322,0.0081,0.0147,0.0143,0.0003,0.0479,0.0387,0.0018,0.0095,0.0419,0.0333,0.0112,0.2157,0.0099,0.0003,0.0186,0.0138,0.0004,0.0012,0.003,0.4857,0.0282,0.0257,0.0052,0.0302,0.1095,0.0533,0.0401,0.0111,0.0496,0.0274,0.0255,0.4138,0.025,0.0198,0.0198,0.0198,0.0107,0.1629,0.2833,0.7143,0.0225,0.0,0.0913,0.0169,0.0042,0.0015,0.0114,0.0115,0.7941,0.0115,0.1771,0.2143,0.0375,0.0031,0.0033,0.0227,0.0347,0.0038,0.0258,0.0081,0.4194,0.021,0.005,0.0258,0.0246,0.2899,0.2615,0.0764,0.0019,0.1743,0.0261,0.0129,0.0052,0.0539,0.0539,0.0612,0.0579,0.005,0.1245,0.0494,0.0805,1.0,0.0545,0.1346,0.0202,0.007,0.0079,0.0106,0.0413,0.1184,0.0032,0.0518,mad.nanmean
0.0,0.0,0.0001,0.0751,0.0751,0.0006,0.0,0.0333,0.0,0.0001,0.0001,0.0001,0.0,0.3939,0.6667,0.0,0.0,0.0001,0.0001,0.0,0.0,0.4583,0.0,0.0,0.023,0.1525,0.0001,0.0002,0.0002,0.0,0.0479,0.0,0.0,0.0,0.0014,0.0042,0.0001,0.1373,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.1429,0.0,0.0005,0.0,0.0001,0.0,0.0,0.0027,0.0001,0.0029,0.0013,0.0,0.2759,0.0001,0.0001,0.0001,0.0001,0.0001,0.0196,0.2,0.5714,0.0004,0.0,0.0023,0.0012,0.0,0.0001,0.0007,0.0007,0.5,0.0002,0.0625,0.0143,0.0,0.0,0.0,0.0005,0.0006,0.0001,0.0006,0.0001,0.3226,0.0016,0.0,0.0065,0.0007,0.0507,0.0769,0.0694,0.0,0.0143,0.0043,0.0001,0.0,0.0043,0.0043,0.0031,0.0,0.0,0.0107,0.0042,0.0057,0.4643,0.0037,0.0897,0.0008,0.0,0.0,0.0001,0.0015,0.008,0.0,0.0022,nr_cor_attr
