checking account status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,employment, Installment,status n sex, Other debtors / guarantors,residence,Property,Age in years,Other installment plans,Housing,existing credits no.,Job,liability responsibles,Telephone,foreign worker,target
0,2,4,4,142,4,4,3,2,0,3,0,48,2,1,1,2,0,1,0,0
1,29,2,4,770,0,2,1,1,0,1,0,3,2,1,0,2,0,0,0,1
3,8,4,7,390,0,3,1,2,0,2,0,30,2,1,0,1,1,0,0,0
0,26,2,3,848,0,3,1,2,2,3,1,26,2,2,0,2,1,0,0,0
0,17,3,0,734,0,2,2,2,0,3,3,34,2,2,1,2,1,0,0,1
3,23,2,7,869,4,2,1,2,0,3,3,16,2,2,0,1,1,1,0,0
3,17,2,3,533,2,4,2,2,0,3,1,34,2,1,0,2,0,0,0,0
1,23,2,1,813,0,2,1,2,0,1,2,16,2,0,0,3,0,1,0,0
3,8,2,4,562,3,3,1,0,0,3,0,42,2,1,0,1,0,0,0,0
1,21,4,0,747,0,0,3,3,0,1,2,9,2,1,1,3,0,0,0,1
1,8,2,0,190,0,1,2,1,0,0,2,6,2,0,0,2,0,0,0,1
0,29,2,9,700,0,1,2,1,0,3,1,5,2,0,0,2,0,0,0,1
1,8,2,4,287,0,2,0,1,0,0,2,3,2,1,0,2,0,1,0,0
0,17,4,0,149,0,4,3,2,0,3,2,41,2,1,1,1,0,0,0,1
0,11,2,0,232,0,2,1,1,0,3,2,9,2,0,0,2,0,0,0,0
0,17,2,4,183,1,2,3,1,0,1,2,13,2,1,0,1,0,0,0,1
3,17,4,4,464,4,4,3,2,0,3,1,34,2,1,1,2,0,0,0,0
0,21,0,9,852,4,1,1,2,0,2,2,6,0,1,2,2,0,0,0,0
1,17,2,1,903,0,4,3,1,0,1,3,25,2,2,0,3,0,1,0,1
3,17,2,4,608,2,4,2,2,0,1,2,12,2,1,0,2,1,1,0,0
3,5,4,0,401,0,2,3,2,0,3,2,29,2,1,2,2,0,1,0,0
0,2,2,4,498,2,2,1,2,0,2,0,25,2,0,0,2,1,0,0,0
0,6,4,0,422,0,1,0,2,0,2,0,29,2,0,1,1,1,0,1,0
1,8,4,1,322,1,1,2,2,0,3,1,25,2,1,0,2,0,0,0,0
3,6,4,3,387,4,2,1,3,0,0,2,7,2,1,1,2,0,0,1,0
0,2,2,3,222,0,2,0,2,0,1,0,17,0,1,0,1,0,1,0,0
3,2,0,4,10,0,4,3,3,0,3,2,20,2,1,0,1,0,0,0,0
2,8,1,4,9,3,2,2,1,0,2,0,23,2,0,1,2,0,0,0,0
1,3,2,4,463,0,2,2,2,2,1,0,15,2,1,0,2,0,0,0,0
0,31,3,9,808,0,4,2,2,0,3,3,44,2,1,1,2,0,1,0,1
1,13,2,9,349,3,1,2,3,0,2,0,17,0,1,0,2,0,1,0,0
0,17,2,3,682,0,2,1,2,0,1,2,8,1,1,0,2,0,0,0,0
1,13,2,0,768,1,2,1,2,0,1,2,11,2,1,1,2,0,1,0,0
3,8,4,9,178,4,4,3,2,0,3,3,38,2,0,0,1,0,0,0,0
2,8,2,3,253,0,1,3,1,0,0,1,14,0,1,0,3,0,1,0,0
1,27,4,4,725,0,1,3,2,0,1,1,6,2,1,1,1,0,0,0,1
3,29,4,7,776,0,2,0,2,0,2,3,12,0,2,0,2,0,1,0,0
2,13,2,4,391,0,2,3,2,1,1,0,18,1,1,0,2,0,0,0,1
2,6,2,5,163,0,2,1,2,0,1,2,18,2,1,0,2,0,1,0,0
1,5,2,4,15,0,2,3,2,0,2,0,5,2,1,0,2,0,0,0,0
3,21,2,4,447,2,4,3,2,0,1,2,11,0,1,0,3,0,0,0,0
1,8,2,4,138,2,2,2,0,0,0,2,7,2,1,0,2,0,1,0,0
1,13,3,6,781,0,2,1,2,0,3,0,25,2,1,0,1,1,1,0,0
0,21,4,1,779,1,3,0,3,0,3,2,5,2,0,1,2,0,0,0,0
0,29,4,1,777,0,4,3,1,0,3,3,39,1,2,1,1,0,0,0,1
3,7,4,0,230,0,1,3,1,0,3,2,16,2,1,1,3,0,0,0,0
3,23,2,4,434,2,4,3,2,0,3,2,20,2,1,0,2,0,0,0,0
0,2,2,1,213,2,0,0,1,0,1,1,4,2,0,0,0,0,1,0,0
3,7,4,0,821,0,2,0,2,0,3,1,20,2,1,1,1,0,0,0,0
3,8,2,4,388,1,2,3,1,1,1,0,9,2,1,0,2,0,0,0,0
1,17,3,3,447,4,1,3,2,0,1,1,10,0,1,0,1,0,0,0,0
1,19,3,1,772,0,4,0,2,0,1,2,11,2,1,1,3,0,1,0,0
3,8,2,4,177,0,2,2,2,0,1,2,6,2,1,0,2,0,0,0,0
3,13,2,1,598,4,2,1,2,0,0,1,12,2,1,0,2,0,1,0,0
1,23,3,0,419,0,4,3,2,0,3,3,38,0,2,1,2,0,1,0,1
3,2,1,0,64,4,2,0,2,2,1,0,7,1,1,0,1,1,0,0,0
1,8,2,4,797,4,0,1,2,0,0,3,33,2,1,0,3,0,1,0,1
3,23,4,4,876,0,2,1,1,0,1,2,12,1,1,1,2,0,0,0,0
2,13,2,0,366,0,4,2,1,0,1,2,4,2,1,0,3,0,0,0,0
0,23,4,3,783,0,1,3,1,1,3,3,4,2,0,1,1,0,1,0,1
1,5,2,9,229,0,2,1,3,0,0,0,8,0,1,0,2,0,1,0,0
1,11,4,4,275,4,4,3,2,2,3,0,31,2,1,1,2,0,1,0,0
1,23,0,9,364,0,4,3,2,0,3,3,42,2,2,0,3,0,1,0,1
1,29,0,9,912,0,2,1,2,0,1,2,6,2,1,0,2,0,1,0,1
3,17,2,4,580,0,1,3,1,0,3,1,7,2,1,0,2,0,1,0,0
3,19,2,6,746,4,4,3,2,0,3,1,29,2,1,3,2,1,1,0,0
3,8,2,4,410,0,1,1,1,0,1,2,10,0,1,0,2,0,0,0,0
1,8,2,0,107,3,2,3,3,0,0,0,3,2,1,0,2,0,0,0,0
3,23,2,7,325,0,2,3,2,0,3,3,18,1,2,0,2,0,1,0,1
3,23,2,4,459,4,2,3,1,0,3,2,6,2,1,0,2,0,0,0,0
3,23,2,1,854,0,2,0,1,0,1,1,11,0,1,0,2,0,0,0,0
3,3,4,4,51,4,4,3,2,0,1,1,27,2,0,1,1,0,1,0,0
0,4,4,2,140,0,4,2,2,0,3,3,32,0,2,1,3,1,1,0,0
1,26,4,9,771,0,3,1,1,0,0,0,22,0,1,1,1,0,0,0,0
0,23,2,7,370,4,4,3,2,0,3,3,21,2,1,0,3,0,1,0,1
0,8,4,1,270,0,4,3,2,0,3,3,47,2,2,1,3,0,0,0,0
0,26,2,4,674,0,1,3,2,0,2,2,15,2,1,0,2,0,0,0,1
1,7,3,4,726,0,3,1,2,0,3,1,32,2,1,0,2,0,0,0,0
3,30,0,1,875,4,2,1,2,0,1,1,20,2,1,0,1,1,0,0,0
1,21,2,3,657,0,1,1,3,0,0,1,3,2,1,0,2,0,0,0,0
3,17,2,4,769,4,1,0,1,0,0,2,25,2,1,1,2,0,1,0,1
3,11,2,4,157,2,4,3,2,0,2,1,28,1,1,0,2,0,1,0,0
3,13,2,9,288,1,2,2,1,0,3,1,5,2,0,0,1,0,0,0,0
0,17,2,2,315,0,4,3,1,2,3,0,39,2,1,0,1,0,1,0,0
0,6,2,4,438,0,4,2,2,0,3,0,33,2,1,0,1,0,0,0,0
3,8,4,9,235,0,2,3,1,2,1,0,10,2,1,1,3,0,1,0,0
1,13,4,3,190,0,1,3,1,0,0,1,8,2,1,1,2,0,0,0,0
1,23,2,7,904,1,2,0,2,0,3,3,28,2,2,0,2,1,1,0,1
0,13,2,0,425,1,3,3,2,0,2,2,11,2,1,0,3,1,1,0,0
0,8,0,6,128,0,3,3,2,0,2,0,9,2,1,1,2,0,0,0,1
3,8,4,4,24,0,4,3,2,0,3,0,37,2,1,0,2,0,0,0,0
0,8,4,1,233,0,4,3,2,0,2,0,35,2,1,0,2,0,0,0,0
3,8,4,4,67,4,4,3,1,0,2,1,14,0,1,0,1,1,0,0,1
2,17,4,3,636,4,4,3,2,1,3,3,1,2,0,1,2,0,0,0,0
1,8,2,0,200,3,4,3,2,0,3,0,35,2,1,0,2,0,1,0,0
1,30,0,9,919,0,1,2,2,0,3,3,39,2,0,0,2,0,1,0,1
