Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
551,553,500,558,542,811,544,1
404,446,409,469,413,299,453,1
583,554,581,448,571,102,573,1
74,54,159,108,68,394,66,1
462,254,709,33,445,890,382,1
109,127,102,350,109,174,113,1
46,107,24,574,44,204,54,1
243,178,345,143,232,740,182,1
45,141,18,682,48,385,76,1
283,310,281,388,275,200,256,1
473,569,322,739,476,242,526,1
55,84,52,393,52,374,51,1
51,40,110,106,53,342,44,1
426,201,710,14,414,854,338,1
392,375,450,318,390,275,404,1
6,19,9,308,8,281,15,1
286,434,143,753,277,803,316,1
288,265,350,242,282,362,254,1
49,94,40,451,47,499,49,1
356,476,207,736,350,615,364,1
349,263,492,132,342,669,327,1
196,166,246,215,199,581,172,1
488,414,592,212,475,312,436,1
247,85,629,3,261,117,234,1
614,564,635,410,602,425,535,1
413,315,564,125,397,601,362,1
383,206,650,39,370,866,291,1
242,195,309,187,235,390,222,1
476,233,736,15,456,807,368,1
233,279,250,383,242,743,257,1
564,510,577,399,544,788,508,1
43,101,21,569,43,376,55,1
408,300,579,104,400,572,391,1
256,245,266,293,243,760,236,1
80,12,352,1,75,300,67,1
36,7,191,16,39,738,33,1
179,95,336,63,175,420,166,1
163,309,73,718,163,44,230,1
436,445,436,436,422,560,423,1
117,56,243,61,106,836,64,1
607,413,775,59,603,791,563,1
365,298,501,168,359,514,330,1
430,340,561,158,424,648,416,1
592,317,809,8,573,770,469,1
434,533,285,723,430,81,478,1
198,165,320,154,209,122,267,1
348,342,378,326,334,610,305,1
40,18,139,49,40,897,35,1
73,163,36,636,71,654,100,1
142,115,217,160,137,249,135,1
65,125,42,539,59,163,69,1
722,701,700,571,717,284,694,1
299,436,172,730,289,55,318,1
71,180,27,684,83,92,133,1
712,642,738,370,700,336,665,1
89,100,117,252,88,209,89,1
191,114,375,64,206,354,213,1
147,181,146,392,149,348,189,1
341,156,648,30,348,608,333,1
0,0,1,309,0,264,0,1
310,237,440,145,305,349,280,1
93,116,95,328,96,412,95,1
446,558,289,744,449,111,500,1
287,213,433,123,281,191,273,1
238,334,152,613,231,203,265,1
225,227,241,306,221,378,255,1
162,177,157,356,151,244,148,1
570,557,537,521,552,158,533,1
135,135,160,280,128,785,136,1
367,371,356,415,365,534,375,1
608,578,676,389,607,246,618,1
237,367,154,659,254,252,356,1
339,352,398,322,355,377,407,1
332,333,361,330,330,490,347,1
145,106,231,140,138,366,125,1
124,112,155,232,113,550,102,1
415,386,458,329,395,751,400,1
48,66,60,292,45,590,48,1
427,503,330,637,411,812,411,1
94,138,71,487,87,856,85,1
128,158,115,407,127,350,128,1
158,171,206,268,171,428,217,1
216,229,230,335,233,184,266,1
636,372,826,25,621,719,527,1
437,412,486,331,428,424,424,1
867,896,816,894,887,2,895,1
362,384,349,442,358,185,324,1
26,27,57,148,23,380,18,1
12,26,20,282,12,448,14,1
106,87,176,165,103,391,94,1
159,128,215,194,148,754,119,1
184,149,262,176,184,306,183,1
524,489,544,406,505,410,477,1
315,287,368,257,300,804,261,1
138,173,145,373,153,505,185,1
22,31,48,180,22,696,25,1
466,285,685,50,442,867,340,1
224,160,329,138,214,598,158,1
97,97,114,251,92,260,86,1
400,215,675,36,381,646,294,1
483,494,431,530,468,826,445,1
205,345,100,694,207,509,249,1
204,105,395,56,191,470,147,1
175,261,124,536,173,742,238,1
226,231,242,315,225,466,224,1
61,131,30,606,57,259,63,1
104,30,379,7,110,476,101,1
336,216,556,69,340,388,325,1
495,410,600,202,484,752,447,1
296,174,498,67,283,833,241,1
482,398,578,213,483,387,548,1
62,137,25,646,61,657,116,1
132,155,111,409,126,432,111,1
123,55,276,47,114,899,71,1
603,566,652,403,605,464,626,1
514,465,551,339,495,498,485,1
467,459,475,426,469,771,494,1
576,382,723,83,555,827,471,1
253,273,256,352,268,341,295,1
465,313,660,86,446,676,387,1
344,267,511,124,341,404,352,1
139,132,194,234,136,302,164,1
127,57,270,51,121,693,81,1
178,182,274,201,202,326,245,1
611,460,758,98,609,642,587,1
165,252,92,584,155,162,178,1
358,150,668,18,349,817,268,1
177,67,415,31,174,718,132,1
