Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,target
2,66,56,18,715,417,199,263,14
2,45,36,17,285,178,94,113,6
0,81,67,26,962,480,280,374,8
2,63,56,24,718,400,225,273,9
1,41,34,15,253,159,76,87,6
1,60,43,18,463,254,152,207,7
0,81,66,29,1109,441,280,592,19
0,84,68,24,1097,552,296,462,15
2,70,57,24,706,402,222,293,8
0,85,71,29,1301,593,299,572,18
0,80,59,27,858,358,292,374,13
2,61,53,21,548,307,159,234,9
2,73,59,26,757,404,187,340,10
0,82,64,28,972,511,339,365,9
0,69,54,19,657,307,158,331,9
2,75,63,25,946,483,263,427,11
1,46,39,16,380,169,76,197,6
0,63,51,19,616,346,171,224,9
2,48,42,15,328,173,83,169,6
2,65,47,19,508,313,147,197,8
2,46,39,18,315,170,121,122,10
1,51,38,19,285,141,95,140,9
0,88,71,30,1370,809,425,481,11
0,85,66,26,1090,600,417,357,8
0,98,79,32,1708,970,598,544,9
0,87,71,27,1355,723,373,536,10
0,91,73,36,1461,746,540,509,10
2,93,72,27,1359,670,465,501,11
2,96,78,35,1366,745,435,528,14
2,90,68,27,1249,743,451,357,10
2,91,77,32,1465,744,481,592,9
0,111,95,32,2206,1135,557,778,14
2,108,88,32,1930,1044,700,626,17
0,111,93,34,2299,1386,757,775,18
0,116,93,39,2246,1182,788,808,12
2,68,54,20,664,422,245,215,7
0,83,78,30,1785,1004,611,609,15
0,65,54,20,729,441,230,253,7
0,90,72,26,1283,720,404,462,10
2,46,41,17,430,241,169,150,8
0,65,50,20,574,343,179,197,8
0,85,68,26,1229,682,389,481,13
1,23,18,8,68,50,44,29,4
1,16,13,10,40,39,27,16,4
1,17,13,9,40,25,22,21,3
1,53,42,18,250,155,87,122,6
2,69,57,23,813,550,451,244,8
0,67,58,23,632,327,217,263,6
1,40,32,13,189,132,48,71,5
0,80,68,31,1203,668,424,435,8
1,79,65,23,840,444,219,340,7
2,55,47,18,394,240,117,169,6
2,72,55,25,757,486,189,283,9
0,69,55,23,660,390,208,263,9
2,56,45,19,512,318,180,187,6
0,75,63,27,940,480,348,393,7
2,64,53,23,602,354,188,234,7
2,69,60,26,829,519,237,303,7
1,24,21,11,87,68,25,36,3
0,76,63,24,820,459,257,311,6
2,65,52,20,555,332,222,234,6
2,76,64,21,886,574,317,311,8
0,81,65,25,992,568,384,357,9
2,60,48,18,503,313,157,169,6
2,79,63,23,814,435,260,331,7
2,70,54,23,665,435,200,234,7
0,88,71,31,1331,667,384,572,11
0,94,82,36,1869,787,445,804,12
0,70,61,23,740,396,228,303,9
1,37,30,13,176,108,78,71,5
2,86,68,25,1095,495,333,491,12
0,55,47,21,466,253,194,169,7
0,94,78,33,1822,909,447,739,19
2,89,79,34,1742,898,518,671,10
0,96,73,38,1614,911,575,563,12
0,95,78,29,1481,838,439,501,14
2,94,78,27,1377,683,375,563,8
0,95,77,29,1342,684,385,544,9
0,86,68,27,1124,530,316,509,10
0,98,78,33,1622,890,468,617,13
0,90,72,27,1372,727,500,509,8
2,99,85,34,2188,965,381,909,11
0,79,68,32,1449,748,447,572,15
2,94,78,31,1905,771,465,875,20
2,91,73,27,1489,718,429,642,13
0,89,76,35,1882,639,442,758,11
2,100,76,27,1755,914,407,702,12
2,87,71,31,1250,623,412,462,9
0,67,54,25,720,409,225,293,8
0,90,73,31,1430,591,459,592,11
2,88,68,26,1162,642,332,454,14
2,86,71,29,1077,578,302,462,11
2,94,76,34,1643,759,504,688,12
0,100,82,32,1839,958,630,688,9
2,114,95,37,2091,1104,675,804,14
2,108,90,38,2179,1080,751,801,13
2,82,70,29,1035,504,274,444,8
2,69,58,25,730,397,261,253,7
2,69,57,25,729,372,263,293,6
0,70,58,24,811,521,167,273,9
1,47,36,18,294,187,89,122,6
2,85,70,28,1215,618,380,454,14
2,81,70,31,1283,596,325,600,14
2,81,66,27,1033,585,332,365,9
2,96,77,31,1724,941,478,617,11
0,79,65,30,1037,547,364,419,11
0,84,69,32,1146,551,363,501,10
0,75,63,24,950,489,260,393,9
0,77,61,26,898,429,355,357,8
0,62,62,20,481,244,193,224,8
2,74,62,24,757,442,266,273,8
2,68,55,20,583,316,211,311,8
1,62,47,15,438,269,124,179,8
2,60,53,20,527,234,123,293,8
0,84,65,24,987,559,289,374,10
0,81,66,22,833,433,314,321,10
0,73,58,26,868,478,201,393,10
2,63,51,20,542,235,188,293,9
0,87,69,29,1282,653,341,554,8
2,56,44,16,336,204,116,140,7
0,69,56,20,568,298,204,244,8
1,52,42,16,326,184,112,140,6
0,78,68,27,1094,572,342,454,13
2,49,36,14,264,160,99,113,5
1,47,39,15,209,143,98,113,5
1,29,22,11,73,45,44,43,4
1,50,38,17,303,191,106,113,5
1,52,41,16,322,199,119,131,7
2,115,90,31,2252,1177,523,856,18
2,117,91,32,2351,1350,518,919,17
2,94,79,32,1839,916,562,718,16
0,63,53,24,544,322,123,222,8
0,40,35,17,232,151,69,99,6
1,45,35,18,261,153,109,110,6
1,28,23,12,103,64,38,40,6
0,60,49,22,548,299,159,235,7
0,36,29,15,183,116,66,76,6
2,44,34,17,246,167,56,101,8
0,56,48,21,470,274,123,201,8
2,50,40,18,325,171,112,155,8
0,88,72,30,1184,642,408,439,9
0,85,73,28,1059,554,284,474,9
2,105,87,37,1937,982,608,766,15
2,87,74,30,1139,641,377,431,10
2,70,58,25,721,384,230,303,9
0,73,59,24,767,457,212,309,9
2,67,53,23,716,416,213,276,9
1,31,24,15,143,87,75,65,8
1,10,9,10,26,13,10,17,4
1,9,9,18,24,18,13,13,3
2,93,78,28,1549,836,520,582,14
0,96,83,36,1649,889,513,600,8
0,102,86,37,1974,957,606,769,9
0,96,80,31,1554,698,468,635,9
0,88,73,26,1449,731,296,554,11
2,78,64,25,1029,604,259,374,9
0,90,75,37,1458,741,482,609,12
2,104,80,42,2102,1033,519,897,15
0,91,74,33,1319,706,424,509,12
0,90,75,32,1655,561,354,758,12
2,96,76,32,1553,797,492,609,12
0,96,80,31,1792,1003,511,501,12
2,97,80,34,1820,1029,590,617,11
0,120,95,41,2389,1208,765,925,17
0,105,92,45,2270,1057,575,921,15
2,120,97,37,2424,1488,849,916,13
0,120,98,34,2384,1349,827,922,19
0,111,97,40,2317,1168,781,902,19
2,116,95,43,2357,1388,613,918,13
0,111,86,34,2190,969,783,891,11
2,114,93,42,2350,1291,872,880,13
0,81,62,28,1105,580,335,454,6
2,80,70,30,1569,920,463,509,7
0,79,64,22,1106,604,366,393,7
1,22,15,7,47,27,33,21,4
1,47,35,17,213,111,71,122,6
1,38,25,11,140,102,72,53,4
1,38,32,16,165,89,92,80,7
1,20,15,8,45,38,27,21,3
2,91,78,29,1416,728,430,626,10
2,89,79,35,1370,754,397,528,13
2,103,85,34,1967,974,528,871,20
0,87,73,31,1506,812,532,536,9
0,99,78,34,1495,825,425,582,9
0,104,85,39,2154,1161,716,778,11
2,99,81,37,1786,1032,589,635,12
0,101,79,29,1548,741,664,509,11
0,101,83,36,1989,1022,655,671,9
0,101,79,31,1760,996,662,563,10
0,92,75,33,1362,688,538,518,8
2,98,79,35,1704,918,430,582,12
2,97,80,33,1504,793,478,642,11
2,91,73,29,1352,518,360,642,13
1,46,38,16,275,163,117,263,7
0,77,63,27,1166,870,390,349,9
2,75,64,30,1102,652,304,435,11
0,76,65,29,915,536,287,374,10
2,103,83,36,1891,842,523,783,15
2,87,73,31,1342,818,353,462,14
2,92,75,36,1342,685,423,509,9
