Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,target
115,266,61,24,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,1,18,11,3,53,19,11,2,77,35,25,41,0,0,22,13,4,4,40,2,0
116,306,61,24,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,3,18,11,10,28,21,11,2,32,51,41,60,0,0,22,8,4,4,40,2,1
114,11,49,245,3,1,3,2,1,2,1,2,1,2,4,2,5,2,3,3,22,5,16,40,21,22,12,31,48,37,72,0,0,26,12,7,4,39,2,1
114,222,47,238,3,1,3,2,1,2,3,2,1,2,4,3,5,2,3,0,16,5,10,40,16,4,12,25,16,44,62,0,0,22,18,7,4,60,2,1
117,154,44,194,2,1,3,2,1,2,1,2,1,2,4,3,1,4,0,0,15,11,10,53,21,11,12,0,58,51,94,10,0,20,6,5,4,53,2,1
114,228,47,228,3,1,3,2,1,2,3,2,1,2,4,3,1,2,3,0,15,5,8,52,17,6,10,46,16,37,52,10,0,22,10,7,4,39,2,1
117,301,55,122,2,1,3,2,1,1,1,2,1,2,3,6,1,4,1,1,15,11,10,48,16,11,12,0,80,70,51,11,0,22,6,1,4,53,2,1
117,369,55,122,2,1,3,2,1,1,1,2,1,2,3,6,5,4,2,1,15,11,3,48,16,11,10,0,80,70,51,11,0,22,15,1,4,53,2,1
118,176,49,245,3,1,3,2,1,2,3,2,3,2,1,0,4,2,3,0,15,10,14,1,11,11,34,0,31,64,72,4,0,29,13,7,4,34,2,0
120,133,16,171,3,1,3,2,1,2,3,2,1,2,4,2,1,2,3,1,24,8,12,40,16,18,14,117,42,11,9,0,0,29,13,6,4,52,2,1
120,137,16,171,3,1,3,2,1,2,3,2,1,2,4,2,5,2,3,0,24,8,3,40,9,11,12,87,42,20,36,0,0,29,13,6,4,51,2,1
117,327,36,119,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,1,15,15,14,16,21,11,20,61,35,31,45,0,0,22,13,6,4,40,2,0
121,350,35,119,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,1,15,15,10,28,11,18,12,57,27,24,73,0,0,26,13,6,4,52,2,0
124,379,30,3,3,1,3,2,1,2,3,2,1,2,3,4,4,4,3,1,8,10,10,23,11,10,7,0,20,61,76,0,0,15,13,7,4,21,2,0
121,309,35,119,3,1,3,2,1,2,3,2,1,2,3,4,1,4,3,1,15,8,8,40,16,18,2,89,27,23,25,0,0,22,13,6,4,34,2,1
113,32,49,245,1,1,3,2,1,1,1,2,1,1,2,1,5,2,3,1,28,10,6,28,28,18,36,0,11,70,51,0,0,22,13,7,4,34,2,0
126,47,38,232,2,1,3,2,1,1,1,2,1,1,2,1,2,2,1,1,3,10,3,16,6,22,36,0,27,70,51,0,0,22,10,3,4,21,2,1
126,54,38,232,2,1,3,2,1,1,1,2,1,1,2,1,0,2,1,1,3,10,3,34,6,22,36,27,27,57,31,0,0,22,23,3,4,21,2,1
