tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,class
2588,2715,8295,9769,5055,8115,4950,1846,6320,8521,8815,9558,8392,1
9267,4634,2681,915,9610,399,848,4966,3825,8551,5390,7702,3222,0
8917,8787,2680,752,3297,5283,4818,7196,1189,7544,8309,630,3874,1
227,7546,4196,1937,6036,6483,407,6684,4170,9755,9256,3291,6053,1
2772,7482,4677,9850,3879,5829,1026,9637,7864,4267,6388,8114,7930,1
6841,9062,3456,3966,8066,952,8864,652,2229,293,5188,4420,2331,0
6537,3437,6767,8756,364,9236,5274,9506,1346,3662,3705,3438,4067,1
6793,925,5494,7758,2534,8340,5423,4740,3382,6138,7186,3479,4946,1
4410,3692,1030,3403,6430,3931,5078,4048,2312,2109,1209,4551,739,0
9833,961,9757,7517,9009,57,7615,809,3435,5204,7810,697,4623,1
5715,6558,6047,35,301,8649,5887,9948,1998,5401,1204,7407,1454,0
5138,7910,7994,6599,9932,181,1004,2096,3262,1300,3148,6093,5984,1
1175,2567,336,3886,5005,3434,4796,6754,8944,8595,2672,290,225,0
8475,8226,2157,9922,9349,1275,5552,559,5920,2431,3203,4444,5951,1
665,2547,8895,7103,9567,1026,4248,1167,3182,4991,5778,6572,4799,1
6864,4078,4500,8777,2969,6917,3949,6894,6958,6056,4403,8896,9402,1
4686,7988,8824,5467,9608,2123,819,3274,2691,2714,8840,8730,9058,1
3834,2041,832,9427,5898,3538,1553,8676,7902,8324,9135,7831,3167,0
9311,7810,1931,2914,8549,5954,1686,1817,8274,6981,1173,4905,7206,1
3612,9137,5857,6096,9856,2032,798,1409,8286,5913,1691,6815,8188,1
8607,5350,4658,7217,1183,4021,7138,9985,5736,9827,2058,4254,8874,1
7245,5003,446,257,6108,3805,3833,5853,3952,5380,943,281,1580,0
4254,1547,8434,7433,7797,2490,1588,6835,3787,751,1219,4294,2440,0
5761,5834,5785,607,5381,6736,6139,1602,3162,822,5251,4778,1869,0
7108,7614,1180,7779,4072,4147,3669,8400,9327,9239,8149,531,7760,1
