name,zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,Column1,saltries,quarters,sunstars,crescent,triangle,icon,animate,text,topleft,botright,target
0,0,97,16,9,2,0,3,4,1,1,0,1,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,4,4
1,0,20,3,5,6,0,0,2,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,0,1,0,5,6,2
2,0,126,19,7,2,2,0,2,1,1,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,3,7,3
3,2,0,0,0,1,0,0,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,5
4,0,0,0,5,0,3,0,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,2
5,1,115,7,9,5,0,2,2,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,1,0,0,5,0,3
6,3,0,0,0,1,0,1,2,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,1,0,6,1,0
7,3,0,0,0,1,0,1,4,1,0,1,1,1,1,0,6,0,0,0,0,1,0,1,0,0,0,0,6,0
8,2,128,22,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
9,2,128,22,1,0,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
10,1,130,15,0,1,0,0,2,1,0,1,0,1,0,0,1,0,1,1,1,6,0,0,0,0,0,6,1,5
11,0,35,8,3,0,0,3,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,2
12,3,14,0,0,1,0,3,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
13,0,1,0,7,2,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,4
14,0,53,40,5,2,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,4,4
