Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,class
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,108,0
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,135,1
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,51,2
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,44,3
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,85,4
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,54,5
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,26,6
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,0,7
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,378,8
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,33,9
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,141,10
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,315,11
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,17,12
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,17,13
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,11,14
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,45,15
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,108,16
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,378,17
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,128,18
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,17,19
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,108,20
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,147,21
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,26,22
0,2,2,6,0,2,0,10,3,8,12,12,10,16,16,8,7,8,12,13,62,23
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,187,0
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,203,1
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,78,2
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,297,3
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,164,4
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,53,5
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,432,6
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,78,7
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,432,8
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,318,9
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,219,10
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,326,11
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,0,12
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,229,13
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,312,14
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,120,15
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,203,16
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,297,17
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,280,18
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,187,19
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,229,20
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,326,21
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,203,22
1,18,17,1,0,0,0,6,5,4,12,12,10,20,19,0,8,5,8,18,0,23
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,239,0
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,276,1
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,126,2
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,321,3
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,221,4
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,263,5
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,239,6
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,215,7
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,422,8
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,284,9
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,232,10
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,409,11
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,137,12
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,183,13
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,325,14
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,239,15
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,317,16
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,308,17
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,305,18
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,10,19
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,196,20
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,301,21
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,239,22
2,8,8,11,0,0,0,13,15,13,12,12,10,2,1,5,17,13,3,11,0,23
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,250,0
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,38,1
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,114,2
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,296,3
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,0,4
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,21,5
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,425,6
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,130,7
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,425,8
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,242,9
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,107,10
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,235,11
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,130,12
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,169,13
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,309,14
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,82,15
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,21,16
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,169,17
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,94,18
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,143,19
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,69,20
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,322,21
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,124,22
3,15,16,9,0,0,0,1,13,2,12,12,10,8,3,1,16,2,21,21,152,23
4,19,18,7,6,0,0,12,11,21,9,0,0,1,8,18,20,21,4,2,384,0
4,19,18,7,6,0,0,12,11,21,9,0,0,1,8,18,20,21,4,2,391,1
