col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,target
4,6,28,149,331,356,131,7,16,5,0
5,6,35,129,360,580,253,11,30,4,0
5,17,95,262,218,440,302,24,73,6,0
4,6,28,149,302,442,295,6,19,2,0
5,2,11,59,431,643,123,2,10,3,0
4,7,33,163,478,699,142,15,33,8,0
5,3,17,73,348,407,148,3,10,3,0
4,5,23,132,264,74,569,3,3,0,0
4,4,18,112,331,220,569,3,6,0,0
4,6,28,149,417,613,532,10,25,1,0
4,1,3,51,613,699,508,1,3,0,0
4,2,8,65,462,432,508,1,4,0,0
4,5,23,132,364,432,615,6,15,0,0
4,6,28,149,360,556,352,8,23,2,0
5,6,35,129,336,580,288,10,30,3,0
4,7,33,163,306,178,632,8,12,0,0
5,6,35,129,336,651,288,10,33,3,0
4,18,85,316,163,118,385,15,31,3,0
4,4,18,112,331,259,352,3,7,1,0
3,5,17,157,348,201,569,3,5,0,0
3,5,17,157,389,491,385,4,12,1,0
3,17,64,358,181,227,155,11,31,6,0
5,6,35,129,288,247,476,8,16,1,0
4,6,28,149,360,585,148,8,24,5,0
4,3,13,89,431,499,569,3,9,0,0
12,24,238,190,165,53,584,69,86,6,0
12,24,238,190,282,379,410,107,214,18,0
6,15,98,217,252,342,155,29,65,13,0
6,102,434,813,226,390,74,206,484,120,0
10,8,88,92,274,325,235,27,55,9,0
10,7,78,78,504,699,359,44,81,9,0
10,7,78,78,340,180,750,29,35,0,0
10,7,78,78,520,699,403,46,81,8,0
10,34,273,273,313,356,416,140,246,23,0
2,112,244,1309,341,176,624,132,153,9,1
2,58,145,957,406,178,810,77,77,0,1
1,19,33,635,567,374,720,20,20,0,1
1,100,161,1362,468,442,585,102,143,9,1
9,37,271,316,357,646,209,155,352,51,0
8,20,152,221,360,471,198,74,139,26,0
8,36,242,333,461,612,219,170,296,54,0
9,97,547,628,310,534,120,359,751,166,0
8,49,306,413,427,657,167,216,420,82,0
3,193,457,1352,194,50,746,197,205,5,1
1,17,29,595,565,393,707,17,18,0,1
1,21,37,683,596,449,742,26,26,0,1
1,17,29,595,614,532,726,22,23,0,1
1,21,37,683,579,563,638,24,31,1,1
9,65,410,475,204,360,92,173,425,92,0
8,89,473,635,191,485,116,204,601,96,0
8,21,158,227,219,517,146,50,155,22,0
8,91,482,646,217,584,91,230,681,122,0
8,11,95,143,375,680,69,41,99,27,0
8,50,310,420,227,485,132,129,353,57,0
8,33,226,313,251,585,54,91,264,62,0
8,79,433,590,264,577,100,233,598,118,0
7,94,451,719,234,636,75,223,665,129,0
10,98,592,595,161,300,112,243,616,116,0
9,11,104,132,298,699,67,37,113,25,0
9,52,349,401,225,518,77,149,423,86,0
8,91,482,646,223,542,103,235,653,117,0
10,84,531,533,188,593,65,233,765,143,0
