battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range(class)
255,0,17,0,1,0,5,5,108,1,2,18,186,963,4,7,17,0,0,1,1
382,1,0,1,0,1,51,6,56,2,6,738,1099,998,12,3,5,1,1,0,2
48,1,0,1,2,1,39,8,65,4,6,962,901,984,6,2,7,1,1,0,2
88,1,20,0,0,0,8,7,51,5,9,935,954,1055,11,8,9,1,0,0,2
954,1,7,0,13,1,42,5,61,1,14,928,517,499,3,2,13,1,1,0,1
986,0,0,1,3,0,20,6,84,0,7,810,852,344,12,1,8,1,0,0,1
954,0,12,0,4,1,8,7,59,7,10,322,375,1223,8,8,16,1,0,1,3
1056,0,0,1,0,0,22,7,107,3,0,437,470,191,11,3,3,1,1,1,0
686,1,0,0,0,0,51,6,94,6,14,327,246,361,12,1,18,1,0,0,0
7,1,1,1,2,1,7,0,13,4,15,888,524,115,14,10,10,1,0,0,0
201,1,24,1,0,0,7,0,102,4,1,208,276,1538,0,2,5,0,0,0,3
737,1,17,0,5,1,31,4,97,7,18,119,364,1481,9,9,11,1,1,1,3
951,0,23,0,2,0,31,5,79,3,17,514,180,532,13,0,0,1,0,0,1
223,1,16,0,7,0,15,9,118,3,11,291,695,1022,2,1,2,1,0,1,2
991,0,0,0,13,1,50,6,105,0,17,299,45,51,9,9,1,1,0,1,0
206,0,5,0,3,0,44,6,79,1,16,711,1005,137,12,15,9,1,1,1,0
251,0,0,0,1,1,11,0,116,7,4,795,997,1360,5,9,17,1,0,1,3
73,0,4,1,7,1,21,0,41,2,17,373,226,1451,5,2,16,1,1,0,3
457,1,0,1,11,0,47,5,21,4,18,558,280,661,14,13,14,1,1,0,1
136,1,0,0,4,0,17,9,41,3,11,736,411,869,6,1,16,0,1,1,1
204,0,6,1,12,0,37,7,1,6,14,987,1001,1073,12,15,1,1,1,0,3
