col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,class
1,1,14,10,19,11,9,4,7,3,15,14,16,19,15,16,10,4,9,5,6,6,19,21,18,22,8,10,15,7,15,11,12,15,10,3,11,5,17,10,22,27,23,30,1
13,9,13,10,24,23,11,6,18,12,13,13,18,16,19,22,15,21,14,13,10,18,21,26,27,27,21,26,19,20,11,7,9,13,9,17,12,8,14,20,15,24,15,21,1
12,9,14,7,13,9,16,6,19,18,15,14,14,7,10,12,16,17,23,22,17,14,3,0,9,4,27,24,20,10,11,5,7,8,17,16,15,12,9,5,10,5,10,11,1
10,18,14,21,7,8,4,6,8,8,9,12,17,17,14,9,3,4,10,7,5,6,21,21,19,18,9,10,18,24,8,13,9,12,5,7,15,12,17,20,16,21,18,26,1
11,13,5,9,7,3,6,10,20,17,5,14,17,13,12,10,17,21,18,17,20,17,20,17,5,4,1,2,7,4,14,10,12,14,11,15,19,13,15,11,9,10,9,7,1
0,16,12,18,15,19,10,12,6,10,15,17,19,11,10,9,3,4,19,10,16,10,24,18,20,21,21,11,9,19,14,11,10,12,7,4,18,14,24,24,20,23,20,28,1
10,13,6,18,13,16,9,17,18,19,9,12,17,22,15,15,14,23,13,9,9,7,18,16,20,15,21,21,16,16,15,10,10,12,13,16,21,19,14,15,18,26,22,22,1
2,7,4,5,10,17,5,8,22,17,19,13,20,13,25,25,17,16,23,14,7,4,12,8,21,23,20,15,12,10,11,4,3,4,10,12,15,8,6,6,9,20,9,15,1
6,9,11,11,11,12,8,12,13,6,16,15,14,11,5,8,10,8,22,14,17,16,27,25,9,8,3,1,16,16,13,10,7,8,11,9,23,10,22,26,16,23,18,19,1
15,20,16,22,12,6,13,7,14,13,21,17,10,2,3,2,5,1,15,11,16,10,9,6,8,3,21,5,5,16,13,10,5,8,8,8,22,16,7,14,9,11,12,11,1
11,16,4,5,4,5,8,18,18,18,16,11,14,12,18,16,19,21,11,12,5,14,5,8,10,6,20,25,16,19,13,10,8,7,12,13,13,15,9,23,12,14,13,13,1
8,13,9,20,12,15,9,13,20,16,19,15,19,18,23,22,17,19,17,9,15,10,23,20,25,28,14,7,18,19,18,14,19,16,16,17,18,10,10,9,21,26,23,30,1
17,16,22,16,14,12,12,11,24,19,22,16,24,17,23,22,19,14,28,26,14,18,22,23,21,33,17,23,15,9,7,12,1,10,6,5,2,2,20,12,22,23,10,12,1
11,16,11,9,14,5,13,18,19,16,14,14,24,21,19,15,20,22,11,3,6,5,19,14,14,10,8,6,15,12,13,9,14,7,12,12,22,15,19,15,25,22,24,25,1
19,20,12,17,14,14,0,15,17,16,16,16,12,13,13,18,9,14,9,14,12,11,8,9,19,24,17,23,14,13,13,12,8,9,7,12,17,12,16,10,17,20,20,22,1
8,0,17,8,15,2,9,5,13,6,11,10,16,5,19,9,11,8,13,7,14,9,15,7,19,13,17,16,18,11,11,4,5,1,10,5,20,9,19,8,24,18,21,19,1
11,3,10,9,22,0,11,2,17,3,24,3,13,3,17,1,16,7,24,2,19,1,23,4,13,2,21,3,8,10,6,10,9,3,4,2,14,5,10,2,21,3,10,4,1
4,10,13,15,13,7,2,1,17,4,11,14,19,20,13,9,4,3,18,9,9,7,19,15,12,13,13,9,14,11,15,14,17,14,10,4,24,17,22,14,26,21,23,21,1
3,4,10,2,20,20,5,3,14,8,17,9,17,7,16,20,9,12,19,20,17,14,18,10,17,30,14,22,14,12,12,5,6,7,7,8,22,20,21,14,25,24,21,21,1
21,21,25,20,20,19,10,18,13,10,16,16,19,14,11,17,9,14,11,9,7,15,17,22,14,22,15,25,14,17,9,14,9,10,4,11,16,13,19,18,14,24,18,25,1
4,6,10,1,3,3,6,15,1,1,6,4,22,9,22,24,2,12,16,11,9,14,17,19,30,32,22,27,19,18,14,10,7,7,15,16,14,9,15,16,19,23,17,24,1
11,12,9,5,14,12,14,15,11,10,9,5,15,16,13,13,14,17,22,18,14,18,16,17,22,23,19,26,3,6,12,8,12,21,17,19,24,18,18,19,21,23,24,27,1
2,10,3,5,3,5,4,16,10,7,7,14,4,4,15,13,16,22,19,23,20,23,16,18,24,27,21,27,3,3,2,3,4,9,8,18,19,20,14,17,13,21,24,25,1
11,11,0,3,21,24,7,13,0,0,1,2,2,4,1,4,0,0,0,0,1,0,13,19,1,7,0,0,0,0,0,9,8,18,0,0,1,0,0,0,8,20,5,20,1
16,18,2,0,2,1,5,10,2,5,0,0,0,0,10,11,16,23,1,1,6,2,12,20,10,18,7,22,4,2,1,0,5,11,16,11,0,0,9,4,3,8,8,15,1
18,8,6,11,8,3,9,9,24,20,19,20,18,17,11,8,20,20,9,6,9,16,16,15,11,11,9,10,17,21,12,16,12,18,10,14,16,13,16,14,9,13,12,20,1
16,19,19,22,18,13,16,18,18,15,16,20,13,15,6,9,12,15,15,13,14,8,16,12,13,12,20,16,15,17,14,15,10,14,12,10,21,16,18,9,7,7,4,6,1
19,23,15,15,11,16,12,15,19,13,8,19,11,15,8,8,8,11,21,21,18,20,15,13,14,6,14,19,10,10,10,11,6,8,8,7,25,22,7,14,5,6,7,5,1
10,15,19,17,24,17,12,13,10,7,15,14,21,14,19,19,11,8,10,14,5,7,21,25,19,26,14,18,12,14,14,14,13,15,13,11,11,10,9,7,22,28,22,30,1
13,13,19,10,7,4,1,5,10,16,18,19,12,0,10,7,12,14,16,16,6,15,16,14,23,29,22,24,2,5,13,16,10,22,6,8,13,14,3,3,17,33,18,32,1
5,11,14,18,16,16,11,12,8,9,5,11,16,8,18,23,12,15,9,11,0,3,10,13,24,29,14,19,15,16,3,2,2,1,11,12,10,5,9,12,19,26,16,26,1
13,10,12,5,18,8,16,4,6,2,19,18,3,2,2,3,1,2,5,4,15,18,6,5,2,4,9,13,1,1,6,7,19,20,1,1,12,9,2,1,4,2,3,3,1
20,24,10,6,15,7,15,11,20,20,16,21,21,7,17,13,19,17,16,16,9,11,1,1,1,1,18,15,14,17,11,11,4,6,11,9,15,16,15,21,1,1,0,1,1
7,26,19,15,15,12,11,20,16,22,19,18,15,6,7,8,17,20,4,10,11,18,4,2,4,5,17,28,9,12,12,10,8,11,11,12,9,18,1,6,2,4,2,2,1
6,13,15,15,13,20,13,22,19,23,13,19,16,10,12,22,12,22,20,21,13,20,16,15,12,17,11,12,10,19,14,10,12,9,13,19,15,17,8,12,13,20,12,8,1
12,22,20,17,17,13,4,9,18,24,18,17,7,3,20,20,13,20,22,20,8,18,16,19,24,30,15,17,8,21,11,12,8,14,14,17,8,11,9,8,20,14,14,26,1
11,13,10,11,17,14,1,4,17,16,2,1,19,13,22,14,14,19,27,27,19,22,14,18,8,8,19,20,14,18,5,12,5,10,9,11,20,14,15,18,15,17,11,16,1
14,23,12,17,3,4,10,17,4,1,18,21,1,1,0,0,3,5,4,3,17,19,0,3,0,0,10,6,15,22,4,1,0,0,10,11,11,7,4,19,0,0,1,0,1
9,23,23,21,9,18,5,19,13,20,16,20,13,13,7,8,4,9,2,12,2,14,2,19,3,6,5,10,3,8,12,18,12,23,1,6,12,17,5,11,7,12,9,14,1
9,11,9,11,9,9,14,14,23,21,23,20,16,13,10,12,16,14,11,10,13,13,16,16,6,17,14,4,14,10,14,11,11,12,7,7,19,16,19,14,6,9,8,10,1
3,14,8,13,5,3,4,15,9,15,11,11,19,13,9,14,7,20,12,13,11,17,16,20,14,16,10,23,13,20,17,13,8,10,8,13,21,21,16,18,19,22,25,24,0
3,14,12,13,11,15,10,18,18,19,12,16,17,16,20,22,19,21,14,15,10,13,17,21,18,25,10,24,14,20,17,16,15,18,15,19,21,18,18,24,20,29,23,29,0
1,15,13,10,15,4,15,14,15,14,20,16,20,8,15,6,14,12,17,16,12,13,27,26,24,23,21,22,16,16,14,8,6,9,9,10,22,18,25,22,22,18,27,29,0
16,22,14,20,13,20,12,16,16,15,17,16,14,14,13,21,19,16,15,11,11,15,19,15,24,26,26,25,19,25,14,13,10,18,15,15,15,10,15,20,14,21,17,22,0
18,25,23,20,20,21,13,20,14,17,9,9,20,15,21,19,10,19,11,10,9,7,23,16,23,22,16,17,17,19,12,12,16,14,8,16,19,17,18,23,27,26,24,26,0
9,11,18,23,22,17,15,16,16,13,18,23,23,19,15,15,10,13,18,8,15,22,17,15,18,18,16,16,4,8,9,10,6,13,2,4,3,3,18,17,17,18,6,7,0
17,20,18,19,6,14,13,17,17,18,21,22,5,5,18,20,10,12,21,17,17,21,7,15,28,27,24,26,7,16,18,13,18,19,10,10,14,9,23,15,23,21,21,23,0
2,23,15,11,23,14,14,10,13,24,14,24,21,14,20,20,13,19,9,19,7,19,11,12,17,24,13,21,19,19,6,8,6,12,10,11,9,15,19,18,17,21,22,22,0
8,12,21,17,13,11,4,11,14,13,18,21,12,16,11,11,8,11,21,20,12,16,21,28,21,23,17,19,11,18,15,17,10,12,7,10,22,19,21,22,20,27,24,27,0
12,8,18,17,22,19,6,0,17,26,14,21,6,6,19,23,14,14,20,19,16,18,14,15,18,18,19,23,23,25,6,16,14,19,15,10,19,21,26,23,22,26,13,17,0
5,17,15,12,18,15,12,19,10,15,12,11,14,12,20,21,18,22,21,20,17,18,26,28,27,28,23,31,21,26,16,10,12,12,16,18,8,9,16,21,16,20,17,20,0
17,22,12,21,17,17,9,16,10,14,10,13,13,17,9,9,6,13,7,11,5,12,21,20,11,14,5,8,15,19,12,15,12,16,5,13,18,21,22,22,22,23,22,24,0
15,20,16,18,9,7,4,8,21,23,18,22,16,13,13,18,8,15,26,25,18,20,18,20,15,20,21,23,17,20,14,12,13,15,11,12,20,20,11,16,11,18,14,19,0
