Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,target
8,0,35,0,991,71,5,17,2,0,0,2,1076,0
0,0,36,0,40,5,7,4,1,0,1,1,172,0
10,0,34,0,579,60,314,24,2,0,0,2,2487,0
10,0,35,0,964,66,1,35,0,0,0,0,1281,0
3,0,35,0,564,58,2,33,0,0,0,0,740,0
11,0,35,1,892,82,32,28,2,0,0,2,1459,0
4,0,35,0,555,39,269,18,2,0,0,2,2355,0
13,0,34,2,1445,121,141,43,2,0,0,2,2169,0
7,0,35,0,1601,169,0,44,2,0,0,2,1767,0
7,0,35,1,1012,83,2,25,2,0,0,2,1044,0
6,0,35,0,1134,95,7,12,2,0,0,2,1408,0
9,0,35,0,524,54,8,17,2,0,1,2,615,0
25,0,35,3,1657,213,54,32,2,0,0,2,2004,0
4,0,35,1,757,27,382,8,2,0,0,2,2624,0
9,0,34,0,1684,182,147,30,1,0,0,1,2414,0
3,0,34,1,1226,86,183,26,2,0,0,2,2234,0
0,0,34,0,168,14,0,11,1,0,1,1,141,1
2,0,35,0,131,14,13,8,2,0,1,2,357,0
0,0,34,0,0,0,0,0,1,0,1,1,0,1
3,0,34,0,1355,127,337,43,1,0,0,1,2629,0
7,0,34,1,1554,154,11,47,3,0,0,3,1548,0
8,0,34,1,1261,75,108,37,1,0,0,1,1952,0
23,1,30,0,190,47,16,17,1,0,1,1,572,1
21,1,33,8,1509,93,1,42,4,1,0,4,838,0
13,1,33,1,1122,98,26,24,1,0,0,1,1656,1
1,0,31,0,695,22,0,14,2,0,0,2,557,0
9,0,32,0,734,41,9,16,2,0,1,2,824,1
9,1,33,0,531,44,34,31,2,0,1,2,1226,1
0,0,33,0,14,2,0,2,2,0,1,2,7,1
1,0,33,0,373,25,0,6,2,0,0,2,280,0
3,0,30,1,1272,97,14,22,4,0,0,4,619,0
0,1,33,0,110,7,9,4,3,0,1,3,135,1
0,0,33,1,44,4,4,2,4,0,0,4,26,0
25,0,28,3,1728,226,0,80,1,1,0,1,1882,0
6,0,31,3,1299,116,255,33,1,1,0,1,2488,0
2,0,33,0,885,82,2,28,1,0,0,1,970,0
3,0,32,0,372,44,38,20,2,0,1,2,1186,0
6,0,33,0,678,53,172,23,1,0,0,1,2124,0
4,0,24,1,286,36,190,11,1,1,0,1,2146,0
4,0,23,0,348,39,30,68,3,0,0,3,559,0
11,0,24,0,128,25,10,7,1,0,1,1,334,0
0,0,23,0,159,10,21,3,3,0,1,3,314,1
10,0,22,0,257,32,19,13,1,0,0,1,716,0
2,0,22,0,790,61,8,23,2,0,0,2,860,0
2,0,15,0,380,26,28,14,1,0,0,1,1106,0
16,0,14,1,1208,141,85,42,1,1,0,1,1824,0
12,0,12,0,1431,171,73,40,3,0,0,3,1682,0
8,0,13,3,699,45,31,19,2,1,0,2,1280,0
2,0,6,1,995,40,212,10,2,0,0,2,2261,0
