Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,target
10098,11258,11818,10999,11021,11021,10135,10098,6732,6623,3482,2509,2591,2515,2509,1224,2
11081,12295,12255,12639,8767,8767,11183,11081,6343,316,3560,4496,960,3165,4496,505,2
8677,9053,9071,10237,8640,8640,8670,8677,12854,13429,8550,4974,3273,4651,4974,7722,2
11291,12526,12877,12475,11102,11102,11347,11291,797,2915,3758,2451,1088,1269,2451,1880,2
8811,9729,9676,9965,10298,10298,8840,8811,9155,6867,3703,3359,3543,3982,3359,7845,2
9257,10233,10017,10803,9061,9061,9350,9257,3632,951,3980,4349,2776,4113,4349,1420,2
6013,6622,6710,7667,5389,5389,6036,6013,4827,9762,9237,8268,5723,7238,8268,12539,2
10830,11890,12575,11637,11381,11381,10844,10830,12303,11115,4458,2215,1887,1608,2215,3625,2
11136,12757,12832,11925,11617,11617,11185,11136,8388,3946,163,1988,1571,1027,1988,5112,2
9019,9463,9165,10830,7185,7185,9038,9019,10377,12517,8257,6450,2617,4880,6450,10124,2
9998,10829,11025,11424,9477,9477,10018,9998,11853,7506,5159,4063,2095,3660,4063,3075,2
8990,10301,10071,10139,10487,10487,9051,8990,10727,2859,1899,3096,3410,3742,3096,3328,2
9138,10220,10958,9875,11590,11590,9180,9138,6564,7688,3220,1966,3732,2606,1966,2069,2
10296,11488,11656,11675,9988,9988,10437,10296,11966,435,3405,3371,1987,3123,3371,520,2
11145,12206,12690,12288,10823,10823,11152,11145,6737,13453,5082,2788,1224,1839,2788,4737,2
9579,10826,10986,10736,10494,10494,9688,9579,7696,861,2934,2933,2913,3274,2933,644,2
10450,11374,12234,11223,11288,11288,10468,10450,5769,9553,4809,2312,2300,2021,2312,3136,2
10064,11611,12251,10429,11854,11854,10095,10064,9545,6732,1760,1739,3096,1433,1739,4822,2
9717,10652,10167,11522,7864,7864,9735,9717,8464,10405,4429,5821,1904,4332,5821,12797,2
9948,11032,11891,10840,11265,11265,10065,9948,6550,707,3826,2082,2957,2124,2082,116,2
9739,10542,10618,11292,9154,9154,9793,9739,9967,4597,5221,4322,2262,3894,4322,2363,2
10567,11356,11294,12246,8147,8147,10595,10567,11418,7198,5745,5411,1254,3884,5411,5291,2
10784,12203,12220,12202,9968,9968,10929,10784,3475,164,2229,3251,1526,2625,3251,172,2
8951,10202,10749,9702,11609,11609,8994,8951,3563,5186,2167,1892,4016,2619,1892,458,2
8082,9046,8861,9211,10042,10042,8130,8082,6734,6139,3137,3414,4481,4353,3414,1138,2
