id,IR,MR,FF,CR,CO,OP,Class
0,2,2,0,0,0,2,1
1,1,1,0,0,0,1,1
2,0,0,0,0,0,0,1
3,2,2,2,2,2,2,1
4,1,1,2,2,2,1,1
5,0,0,2,2,2,0,1
6,2,2,0,2,2,2,1
7,2,2,2,0,0,2,1
8,2,2,0,2,0,2,1
9,2,2,0,0,2,2,1
10,2,2,2,2,0,2,1
11,2,2,2,0,2,2,1
12,1,1,0,2,2,1,1
13,1,1,2,0,0,1,1
14,1,1,0,2,0,1,1
15,1,1,0,2,0,1,1
16,1,1,0,0,2,1,1
17,1,1,2,2,0,1,1
18,1,1,2,0,2,1,1
19,0,0,0,2,2,0,1
20,0,0,2,0,0,0,1
21,0,0,0,2,0,0,1
22,0,0,0,0,2,0,1
23,0,0,2,2,0,0,1
24,0,0,2,0,2,0,1
25,2,1,0,0,0,2,1
26,1,2,0,0,0,1,1
27,2,1,0,0,0,1,1
28,2,1,2,2,2,2,1
29,1,2,2,2,2,1,1
30,2,1,2,2,2,1,1
31,1,1,0,2,2,2,1
32,2,1,2,0,0,2,1
33,1,2,0,2,0,2,1
34,1,2,0,0,2,1,1
35,2,1,2,2,0,1,1
36,1,2,2,0,2,0,1
37,0,1,0,2,2,0,1
38,0,2,2,0,0,0,1
39,0,0,0,2,0,2,1
40,0,0,0,0,2,1,1
41,1,0,2,2,2,1,1
42,0,1,2,0,2,1,1
43,0,2,2,0,2,1,1
44,1,1,2,0,2,2,1
45,1,1,2,2,2,2,1
46,2,0,2,2,2,1,1
47,0,2,2,2,2,1,1
48,0,1,1,0,2,2,1
49,0,2,2,0,2,2,1
50,2,0,2,0,2,1,1
51,0,1,0,0,2,2,1
52,0,1,0,0,2,1,1
53,0,1,0,0,2,0,1
54,0,0,1,2,2,0,1
55,0,0,1,2,2,2,1
56,0,2,2,2,2,2,1
57,0,2,0,0,0,2,1
58,1,2,1,2,2,0,1
59,1,1,2,2,2,0,1
60,0,0,0,2,2,0,1
61,0,0,0,2,2,2,1
62,2,0,0,2,2,2,1
63,0,1,1,2,2,0,1
64,2,1,1,2,2,0,1
65,0,0,1,2,2,2,1
66,2,0,2,1,2,1,1
67,2,0,1,0,2,1,1
68,2,2,2,0,2,1,1
69,2,0,2,1,2,1,1
70,2,0,0,2,2,1,1
71,2,2,0,2,2,2,1
72,2,0,2,0,2,2,1
73,2,2,0,0,2,1,1
74,0,0,0,0,0,2,1
75,2,2,0,2,2,1,1
76,0,2,1,2,0,2,1
77,0,2,0,2,0,2,1
78,2,0,1,0,2,0,1
79,0,2,1,2,0,2,1
80,2,0,0,0,2,0,1
81,0,2,0,2,0,2,1
82,0,2,2,2,2,2,1
83,2,0,0,1,2,2,1
84,0,2,0,0,0,2,1
85,0,1,1,1,2,2,1
86,1,2,1,2,2,0,1
87,2,1,0,1,0,2,1
88,1,1,2,2,2,0,1
89,0,0,0,2,2,0,1
