Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,target
2,95,78,37,1599,762,527,582,13
0,99,79,45,1608,762,487,635,13
2,75,58,25,1028,575,342,393,13
2,72,62,27,891,424,251,402,13
2,87,67,38,1157,569,356,509,13
2,89,73,30,1323,614,376,635,13
0,104,93,34,1877,1072,605,592,13
0,71,60,26,748,349,281,307,13
2,73,62,26,774,395,182,383,13
0,89,74,32,1559,833,436,509,13
0,87,70,36,1628,798,484,592,14
1,65,53,28,732,386,197,294,14
2,93,78,28,1549,836,520,582,14
0,76,65,26,934,547,263,349,14
0,81,66,31,1116,551,313,435,14
0,75,61,25,901,468,324,349,14
2,87,73,31,1342,818,353,462,14
2,102,79,37,2066,1094,602,733,14
0,82,66,36,1212,592,314,536,14
2,105,92,31,1816,922,588,801,14
0,69,55,28,750,317,272,349,14
2,107,89,33,1998,1109,421,772,14
2,89,76,24,1225,715,350,427,14
2,96,77,35,1680,709,557,679,14
2,64,52,27,658,380,200,184,14
1,79,64,27,961,538,289,365,14
1,71,61,28,819,430,239,454,14
0,76,62,28,926,505,303,365,14
0,96,78,28,1499,890,447,481,14
0,71,63,24,1084,394,355,427,14
0,72,59,29,855,400,277,321,14
0,76,65,26,934,547,263,349,14
0,68,61,27,776,395,212,383,14
2,93,75,30,1316,616,294,600,14
0,102,84,33,2019,1134,590,650,14
0,75,61,25,901,468,324,349,14
2,80,65,25,1452,730,483,528,14
1,106,86,28,1826,996,562,563,14
2,66,56,18,715,417,199,263,14
0,99,77,27,1521,679,445,642,14
2,80,65,25,1452,730,483,528,14
0,94,79,39,1425,674,404,609,14
0,76,65,26,934,547,263,349,14
1,65,53,28,732,386,197,294,14
2,79,63,23,1179,560,358,471,14
1,107,88,35,2241,1129,768,733,14
2,73,61,26,834,451,189,328,14
2,95,82,32,1814,919,551,609,14
1,106,86,28,1826,996,562,563,14
2,114,95,37,2091,1104,675,804,14
0,113,91,36,2157,1268,630,790,14
2,107,89,33,1998,1109,421,772,14
0,111,95,32,2206,1135,557,778,14
0,76,65,26,934,547,263,349,14
0,76,62,28,926,505,303,365,14
2,85,66,34,1533,621,462,519,14
2,107,90,39,2294,1316,630,856,14
2,68,53,27,806,373,298,340,14
2,99,82,38,2103,1087,681,838,14
0,80,68,28,1142,631,415,427,14
1,71,61,28,819,430,239,454,14
0,76,65,26,934,547,263,349,14
0,95,77,39,1518,741,404,518,14
2,82,67,31,1026,516,325,402,14
0,102,84,33,2019,1134,590,650,14
0,109,92,31,2127,1123,509,813,14
0,75,58,27,854,451,280,319,14
0,75,61,25,901,468,324,349,14
2,105,92,31,1816,922,588,801,14
2,97,78,32,1645,810,438,563,14
1,71,59,24,730,390,206,311,14
0,96,82,37,2039,889,527,718,14
1,68,55,20,693,397,229,244,14
2,103,81,27,1753,842,473,664,14
2,104,82,36,2090,996,553,775,14
2,59,48,22,378,179,111,194,14
2,87,73,34,1485,725,410,656,14
1,65,53,28,732,386,197,294,14
2,102,85,41,2174,1213,563,875,14
0,95,78,29,1481,838,439,501,14
0,68,61,27,776,395,212,383,14
0,87,70,36,1628,798,484,592,14
0,99,77,44,1643,714,426,642,14
1,71,59,24,730,390,206,311,14
2,114,95,37,2091,1104,675,804,14
2,84,71,32,1063,540,405,444,14
2,85,66,34,1533,621,462,519,14
0,79,63,23,926,489,400,293,14
1,71,59,24,730,390,206,311,14
1,71,61,28,819,430,239,454,14
1,86,74,33,1216,582,378,536,14
2,106,89,34,1840,920,523,726,14
2,96,77,22,1641,742,578,554,14
2,114,95,37,2091,1104,675,804,14
2,95,82,32,1814,919,551,609,14
0,80,68,28,1142,631,415,427,14
2,114,97,39,2368,1338,803,911,14
0,97,81,33,1730,1064,474,528,14
0,88,73,38,1474,767,498,509,14
2,107,90,39,2294,1316,630,856,14
2,96,77,22,1641,742,578,554,14
0,96,82,37,2039,889,527,718,14
0,79,63,25,885,399,410,303,14
0,96,78,28,1499,890,447,481,14
2,88,76,34,1460,736,363,656,14
2,74,63,23,939,488,319,340,14
