A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1,64,167,1,3,3,38,0,0,0,1,1,31,160,0
0,71,122,1,7,3,4,0,0,0,0,1,52,0,0
0,141,51,0,3,3,30,0,0,0,1,1,97,0,0
0,59,168,0,4,2,0,1,1,11,1,1,0,0,1
1,43,133,1,5,3,45,1,1,14,0,1,17,67,1
0,3,19,1,7,6,36,1,1,2,0,1,31,0,1
1,15,118,1,2,3,3,0,0,0,0,1,17,49,0
0,329,93,1,10,6,65,1,1,6,0,1,11,119,1
1,125,32,0,1,6,64,0,0,0,0,1,60,116,0
0,314,124,1,3,6,99,1,1,3,1,1,31,35,0
1,182,51,1,13,6,80,1,1,4,1,1,88,143,1
1,247,101,1,10,6,84,1,1,6,1,1,147,0,1
1,48,39,0,7,6,33,1,1,3,1,1,44,78,0
1,197,101,1,13,6,103,1,1,6,1,1,0,149,1
1,328,68,1,7,3,55,0,0,0,1,1,106,0,0
1,283,115,1,3,3,1,0,0,0,0,1,0,195,1
1,141,94,1,8,3,103,1,1,2,1,1,108,0,1
0,32,138,1,5,3,19,1,1,2,0,1,25,123,1
1,41,39,0,3,3,3,0,0,0,0,1,44,4,0
0,68,110,1,10,3,59,1,1,7,0,1,40,201,1
0,128,19,1,5,3,1,0,0,0,0,1,91,150,0
0,34,19,0,5,3,15,1,0,0,1,1,52,0,0
1,245,41,1,1,3,4,0,0,0,0,1,56,0,0
1,249,51,1,3,3,5,1,0,0,0,1,52,0,0
1,37,145,1,5,3,20,0,0,0,0,1,23,100,0
1,175,45,1,12,6,92,1,1,3,1,1,0,0,1
1,69,4,0,3,3,3,0,0,0,0,1,68,43,0
1,180,73,0,7,6,47,1,1,1,1,1,62,234,1
0,154,174,1,7,3,46,1,1,1,0,1,76,19,1
1,76,65,1,7,3,27,1,1,11,1,1,17,185,1
1,117,25,1,7,6,77,1,1,3,1,1,105,65,1
0,46,159,0,13,6,0,0,0,0,1,1,50,27,0
1,304,42,0,7,6,113,1,0,0,1,1,68,49,0
1,76,168,1,8,6,49,1,1,11,1,1,99,91,1
1,258,39,1,6,3,122,0,1,1,1,1,114,53,0
1,347,203,0,0,0,1,0,1,2,0,1,0,101,0
1,94,179,1,5,3,64,1,0,0,1,0,2,0,1
1,235,190,1,8,3,110,1,1,6,1,1,19,0,1
0,281,131,1,7,3,105,1,1,6,1,1,0,163,1
0,279,72,1,13,3,122,1,1,2,1,1,154,177,1
1,77,0,1,12,3,2,1,0,0,0,1,0,0,1
1,70,45,0,5,3,14,0,0,0,1,1,37,41,0
1,114,36,1,13,6,30,1,0,0,0,1,0,215,1
1,337,17,1,7,3,15,1,1,3,1,1,62,0,0
1,83,13,0,7,3,1,0,1,2,0,1,39,6,0
0,49,155,1,10,3,18,1,1,2,1,1,13,0,1
0,89,51,0,7,3,4,0,0,0,0,1,42,0,0
1,7,1,1,7,3,1,0,0,0,0,1,0,0,1
0,140,54,0,9,6,46,0,0,0,0,1,90,17,0
0,307,195,1,7,3,92,1,1,14,0,1,0,187,1
1,172,81,1,3,3,13,0,0,0,1,1,83,0,0
1,52,89,0,2,6,1,0,0,0,0,1,44,49,0
1,128,4,0,3,3,2,0,0,0,0,1,75,184,0
1,33,51,0,7,3,53,0,0,0,1,1,35,6,0
1,122,77,0,10,6,86,0,1,2,1,1,118,1,0
1,125,45,1,8,3,46,1,1,11,1,1,139,29,1
1,238,118,1,5,4,72,1,1,1,0,1,0,114,1
0,215,65,1,2,6,5,0,0,0,0,1,91,85,0
1,256,100,0,8,3,68,1,0,0,1,1,15,172,1
1,320,176,1,6,3,30,1,1,4,1,1,68,0,1
1,261,101,1,2,4,51,0,0,0,1,1,45,0,0
0,83,24,1,8,3,6,0,1,1,1,1,85,4,0
1,27,54,1,2,3,36,1,1,2,0,1,37,93,1
