river,location,erected,purpose,length,lanes,clear-g,t-or-d,material,span,rel-l,target
1,2,0,1,1,1,1,1,2,2,1,6
0,24,0,1,1,1,1,1,2,2,1,6
0,39,0,0,1,0,1,1,2,1,1,6
0,28,0,1,1,1,1,1,2,2,1,6
1,22,0,1,1,1,1,1,2,1,1,6
0,26,0,1,2,1,1,1,2,1,1,6
0,27,0,0,1,0,1,1,0,2,1,5
1,2,0,1,1,1,1,1,0,2,1,5
0,39,0,0,1,0,1,0,2,1,1,6
0,28,0,1,1,1,1,1,2,1,1,6
0,39,0,2,1,1,1,0,2,1,1,6
1,5,0,1,1,1,1,1,2,1,1,6
0,32,0,1,1,1,1,1,2,1,1,6
0,27,0,2,1,1,1,1,2,1,1,6
0,24,0,1,1,1,1,1,0,1,2,5
1,3,0,2,1,1,1,1,0,1,0,4
0,27,0,2,1,1,1,1,0,2,1,4
0,28,0,1,1,1,1,1,2,1,1,6
0,31,1,1,1,1,1,1,2,1,1,6
1,15,1,2,1,1,0,1,0,1,0,4
1,0,1,1,1,1,0,1,1,0,0,5
0,23,1,1,1,2,0,1,2,2,1,6
2,47,1,2,1,1,0,1,1,1,0,4
1,9,1,2,1,1,0,1,1,1,0,4
0,39,1,2,1,1,0,1,1,1,0,4
1,11,1,2,1,1,0,1,1,1,1,4
0,30,1,2,1,1,0,1,1,1,0,4
0,25,1,1,1,1,0,1,1,1,0,5
1,2,1,1,1,1,0,1,1,1,1,0
0,29,1,1,1,1,0,1,0,1,0,4
1,7,1,2,1,1,0,1,1,1,1,4
2,43,1,2,0,1,0,1,1,0,0,4
1,18,1,1,1,1,0,1,0,1,0,4
2,47,2,1,1,1,0,1,0,2,0,4
0,26,2,1,1,1,0,1,1,1,0,4
1,16,2,1,1,1,0,1,0,1,0,4
1,17,2,2,1,1,0,1,1,1,1,4
0,24,2,1,1,1,0,1,1,1,0,4
0,26,2,0,1,0,1,1,2,2,1,6
1,21,2,1,1,1,0,1,1,1,0,4
1,10,2,1,1,1,0,1,0,1,0,4
1,8,2,1,0,1,0,1,1,0,0,4
2,50,2,1,1,1,0,1,1,0,0,5
1,6,2,1,1,1,0,1,1,0,0,0
0,36,2,2,0,1,0,0,1,0,0,4
1,13,2,2,0,1,0,1,1,1,0,4
1,14,2,2,0,1,0,1,1,1,1,4
0,32,2,1,1,1,0,1,1,1,0,4
0,37,2,1,0,1,0,1,1,1,0,4
1,12,2,2,1,1,0,1,1,0,0,4
0,33,2,1,1,1,0,1,1,1,0,1
1,15,2,2,1,1,0,1,1,1,1,4
0,34,2,2,0,1,0,1,1,1,1,4
1,5,2,2,1,1,0,1,1,1,0,4
1,20,2,2,1,1,0,1,1,0,0,4
1,3,2,2,1,1,0,1,1,1,2,4
0,27,2,2,2,2,0,1,1,1,2,4
1,1,2,2,1,1,0,1,1,0,0,1
3,27,2,1,1,1,0,1,1,1,0,4
1,22,2,1,1,1,0,1,1,1,0,4
