fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class:
6934,6539,2113,3054,1647,6852,7548,10972,2038,11063,0
4920,10305,654,3546,2057,4880,3725,2427,12877,4394,0
8714,15043,2044,2303,1497,13436,13678,17610,14586,3037,0
15772,14642,3572,1068,670,14396,16179,1102,2676,16848,0
3747,3545,479,4662,2668,5870,3270,6119,15287,535,0
8475,5096,353,3888,2280,3641,4672,13121,12056,5479,0
10896,11290,2488,1545,886,11189,13507,5527,1924,5083,0
10208,10686,2894,1979,1110,17505,12641,3319,5396,6803,0
12748,13825,3973,1880,1335,2857,13407,1591,2032,16337,0
8343,11890,2540,2530,1589,10465,13052,1885,8940,16118,0
9093,12559,1268,3199,2009,2385,13222,4870,6129,3441,0
14969,15190,6630,813,561,2447,17496,17090,4013,17098,0
3508,3263,1035,4569,3270,9002,10647,12094,14483,915,0
11670,9656,3349,1473,861,5741,14063,9404,3724,13931,0
16804,10533,2805,2174,1203,2538,1005,14814,1761,17147,0
6556,8619,1606,2625,1428,9250,3544,13001,2130,11352,0
4531,2823,472,4277,3024,7131,3166,6257,12011,4453,0
8440,9255,1343,2534,1444,12759,12328,15236,11789,8332,0
14546,10902,4236,1290,862,17769,16866,16228,1818,14174,0
7271,6043,1579,3461,1914,7712,8374,9808,1978,7886,0
7553,6818,1064,2304,1350,13171,9450,13671,4551,11528,0
1627,5576,755,4523,2616,11218,7175,6888,8547,9073,0
8045,5584,644,3363,2036,2844,9526,10472,3978,12613,0
14693,16867,5277,1328,772,8453,15494,522,6462,17607,0
9971,11052,2232,1535,897,9142,12906,2534,8535,4226,0
3668,3925,1307,4493,2969,6881,5251,6740,6038,3877,0
464,2501,75,6154,4253,11258,6987,5521,14571,6765,0
6579,13280,3182,2065,1317,7276,6151,16558,16698,626,0
4006,11857,1882,2753,1644,10614,7822,15825,16533,1643,0
4295,2286,613,4894,2976,5764,3506,11795,7923,7214,0
15987,16138,6862,422,313,12751,17292,1712,3003,15910,0
1850,7888,1049,3957,2578,8415,4695,10462,4590,11622,0
3305,5266,591,3751,2093,3691,7201,12293,11242,10554,0
15332,6550,1564,3604,2464,1759,2092,6105,2107,17019,0
13144,14155,4272,2453,1581,8141,11991,9649,950,17538,0
185,4154,34,5774,3386,12038,5976,4245,12060,9144,0
12122,5932,2023,2922,1782,1609,13319,14246,6370,14640,0
7200,6299,1627,2505,1387,12946,9802,5062,4119,11449,0
5636,6452,2026,3688,2025,14222,6037,11882,7822,10911,0
4114,0,99,6172,3969,13755,10077,9107,6890,3773,0
10345,6899,1400,2713,1945,15477,14304,3835,9002,4661,0
1421,2930,195,4231,2329,8276,6716,8859,10488,10362,0
2323,7460,1207,3790,2062,4450,3507,6663,2841,11707,0
13536,9235,810,4133,2505,17243,15751,2452,4265,6380,0
5424,8187,592,3443,2206,11515,3423,13347,12329,6752,0
8919,7294,1454,2149,1196,9763,12597,13447,10583,7679,0
6700,11260,1186,3427,1896,5320,3575,5653,10502,10194,0
11147,10130,1847,1790,1041,16977,7228,7402,3918,9857,0
13775,13880,5645,1325,769,1666,14321,4628,575,15307,0
14464,13591,4864,1103,840,8703,16101,2296,3522,15917,0
143,1457,217,6326,4407,10615,7831,6865,10547,10692,0
1917,3629,421,5504,3591,5793,3449,11991,16482,1392,0
4890,5105,896,3034,1782,4570,6063,11237,7687,6985,0
4695,0,85,5882,3915,14147,9850,9107,16739,8667,0
8663,11015,2632,2111,1210,15004,13229,10119,1108,8755,0
10562,0,574,3972,2249,8314,6505,16182,17216,9387,0
3483,333,49,5771,3554,14066,7972,7242,12945,7356,0
6818,11339,1543,2900,1803,11393,2767,2589,16795,1752,0
1377,7475,1103,4302,3135,8614,5162,13140,12093,9134,0
9220,12705,2716,1932,1181,15742,13807,1621,2990,14140,0
7828,10366,2126,2070,1169,13495,13411,11911,3028,10693,0
14515,15620,5127,365,257,16216,16388,15711,9175,4897,0
438,3085,91,6045,4085,5777,6851,5377,9935,12412,0
15145,14799,6026,986,816,3237,16196,14040,323,16920,0
8361,7192,1513,2403,1426,14981,10978,12298,7995,12729,0
