date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
208,6,16,2517,1696,1333,1349,728,1
208,6,17,2517,1834,1333,1349,728,1
208,6,18,2517,1858,1333,1349,728,1
208,6,19,2316,1844,1333,1349,728,1
208,6,20,2517,1774,1333,1349,728,1
208,6,21,2316,1776,1333,1349,728,1
208,6,22,2316,1765,1333,1349,728,1
208,6,23,2316,1699,1333,1349,728,1
208,6,24,2107,1666,1333,1349,728,1
208,6,25,2316,1604,1333,1349,728,1
208,6,26,2316,1570,1333,1349,728,1
208,6,27,2316,1536,1333,1349,728,1
208,6,28,2517,1527,1333,1349,728,1
208,6,29,2517,1553,1333,1349,728,1
208,6,30,2319,1548,1333,1349,728,1
208,6,31,2316,1626,1333,1349,728,1
208,6,32,2517,1588,1333,1349,728,1
208,6,33,2517,1705,1333,1349,728,1
208,6,34,2641,1823,1333,1349,728,1
208,6,35,2517,1890,1333,1349,728,1
208,6,36,2517,1905,1333,1349,728,1
208,6,37,2988,2044,1333,1349,728,1
208,6,38,2988,2081,1333,1349,728,1
208,6,39,2316,2022,1333,1349,728,1
208,6,40,2316,1874,1333,1349,728,1
208,6,41,2107,1610,1333,1349,728,1
208,6,42,2316,1658,1333,1349,728,1
208,6,43,2107,1661,1333,1349,728,1
208,6,44,2018,1666,1333,1349,728,0
208,6,45,1505,1480,1333,1349,728,0
208,6,46,1505,1437,1333,1349,728,0
208,6,47,1506,1232,1333,1349,728,0
209,0,0,1505,1137,1333,1349,728,0
209,0,1,1505,895,1333,1349,728,0
209,0,2,1505,695,1333,1349,728,0
209,0,3,1224,505,1333,1349,728,0
209,0,4,1224,389,1333,1349,728,0
209,0,5,1224,342,1333,1349,728,0
209,0,6,1224,320,1333,1349,728,0
209,0,7,1224,372,1333,1349,728,0
209,0,8,1225,573,1333,1349,728,0
209,0,9,1528,822,1333,1349,728,0
209,0,10,2483,1391,1333,1349,728,1
209,0,11,2697,2012,1333,1349,728,1
209,0,12,2788,2231,1333,1349,728,1
209,0,13,3117,2695,1333,1349,728,1
209,0,14,1528,2898,1333,1349,728,0
209,0,15,2483,3059,1333,1349,728,1
209,0,16,2483,3430,1333,1349,728,1
209,0,17,2483,3614,1333,1349,728,1
209,0,18,3117,3551,1333,1349,728,1
209,0,19,2483,3592,1333,1349,728,1
209,0,20,3117,3705,1333,1349,728,1
209,0,21,3273,3824,1333,1349,728,1
209,0,22,3255,3794,1333,1349,728,1
209,0,23,3273,3781,1333,1349,728,1
209,0,24,3255,3747,1333,1349,728,1
209,0,25,3255,3690,1333,1349,728,1
209,0,26,3124,3637,1333,1349,728,1
209,0,27,3124,3595,1333,1349,728,1
209,0,28,3255,3589,1333,1349,728,1
209,0,29,3273,3642,1333,1349,728,1
209,0,30,3255,3651,1333,1349,728,1
209,0,31,3255,3671,1333,1349,728,1
209,0,32,3255,3573,1333,1349,728,1
209,0,33,3124,3436,1333,1349,728,1
209,0,34,2788,3180,1333,1349,728,1
209,0,35,2697,2994,1333,1349,728,1
209,0,36,2697,2819,1333,1349,728,1
209,0,37,2483,2721,1333,1349,728,1
209,0,38,2697,2823,1333,1349,728,1
209,0,39,2483,2811,1333,1349,728,1
209,0,40,2697,2608,1333,1349,728,1
209,0,41,2018,2269,1333,1349,728,0
209,0,42,2788,2393,1333,1349,728,1
209,0,43,1528,2428,1333,1349,728,0
209,0,44,2483,2537,1333,1349,728,1
209,0,45,2087,2529,1333,1349,728,0
209,0,46,2087,2447,1333,1349,728,0
209,0,47,2697,2304,1333,1349,728,1
210,1,0,2018,2086,1333,1349,728,0
210,1,1,1356,1667,1333,1349,728,0
210,1,2,1299,1324,1333,1349,728,0
210,1,3,1299,1062,1333,1349,728,0
210,1,4,1299,819,1333,1349,728,0
210,1,5,1914,733,1333,1349,728,0
210,1,6,1914,645,1333,1349,728,0
210,1,7,2008,644,1333,1349,728,0
210,1,8,2008,816,1333,1349,728,0
210,1,9,2799,1081,1333,1349,728,1
210,1,10,3108,1509,1333,1349,728,1
210,1,11,2775,2093,1333,1349,728,1
210,1,12,2899,2238,1333,1349,728,1
210,1,13,3108,2681,1333,1349,728,1
210,1,14,2775,2866,1333,1349,728,1
210,1,15,3009,2993,1333,1349,728,1
210,1,16,3133,3339,1333,1349,728,1
210,1,17,2775,3390,1333,1349,728,1
210,1,18,2775,3350,1333,1349,728,1
210,1,19,3273,3306,1333,1349,728,1
210,1,20,2775,3291,1333,1349,728,1
210,1,21,2775,3344,1333,1349,728,1
210,1,22,2799,3307,1333,1349,728,1
210,1,23,2799,3300,1333,1349,728,1
210,1,24,2799,3330,1333,1349,728,1
210,1,25,2799,3341,1333,1349,728,1
210,1,26,3108,3336,1333,1349,728,1
210,1,27,3108,3308,1333,1349,728,1
210,1,28,3108,3284,1333,1349,728,1
210,1,29,2799,3291,1333,1349,728,1
210,1,30,3108,3299,1333,1349,728,1
210,1,31,3108,3312,1333,1349,728,1
210,1,32,3108,3224,1333,1349,728,1
210,1,33,2775,3185,1333,1349,728,1
210,1,34,2775,2936,1333,1349,728,1
210,1,35,2018,2824,1333,1349,728,0
210,1,36,2775,2687,1333,1349,728,1
210,1,37,2775,2594,1333,1349,728,1
210,1,38,2799,2585,1333,1349,728,1
210,1,39,1421,2543,1333,1349,728,0
210,1,40,2018,2341,1333,1349,728,0
210,1,41,1570,2100,1333,1349,728,0
210,1,42,2018,2299,1333,1349,728,0
210,1,43,2018,2336,1333,1349,728,0
210,1,44,2775,2465,1333,1349,728,1
210,1,45,2775,2450,1333,1349,728,1
210,1,46,2775,2432,1333,1349,728,1
210,1,47,2018,2261,1333,1349,728,0
211,2,0,2018,2074,1333,1349,728,0
211,2,1,1488,1654,1333,1349,728,0
211,2,2,1316,1299,1333,1349,728,0
211,2,3,1316,1014,1333,1349,728,0
211,2,4,1316,804,1333,1349,728,0
211,2,5,1316,727,1333,1349,728,0
211,2,6,2008,647,1333,1349,728,0
211,2,7,2008,724,1333,1349,728,0
211,2,8,2056,933,1333,1349,728,0
211,2,9,2888,1126,1333,1349,728,1
211,2,10,3185,1628,1333,1349,728,1
211,2,11,2909,2228,1333,1349,728,1
211,2,12,3273,2383,1333,1349,728,1
211,2,13,3273,2796,1333,1349,728,1
211,2,14,2888,2995,1333,1349,728,1
211,2,15,3185,3146,1333,1349,728,1
211,2,16,3273,3465,1333,1349,728,1
211,2,17,3273,3548,1333,1349,728,1
211,2,18,3273,3531,1333,1349,728,1
211,2,19,3274,3466,1333,1349,728,1
211,2,20,3351,3506,1333,1349,728,1
211,2,21,3273,3484,1333,1349,728,1
211,2,22,3273,3522,1333,1349,728,1
211,2,23,3273,3501,1333,1349,728,1
211,2,24,3273,3518,1333,1349,728,1
211,2,25,3273,3564,1333,1349,728,1
211,2,26,3260,3548,1333,1349,728,1
211,2,27,3274,3547,1333,1349,728,1
211,2,28,3274,3509,1333,1349,728,1
211,2,29,3274,3532,1333,1349,728,1
211,2,30,3273,3561,1333,1349,728,1
211,2,31,3273,3492,1333,1349,728,1
211,2,32,3260,3376,1333,1349,728,1
211,2,33,3185,3252,1333,1349,728,1
211,2,34,2909,2992,1333,1349,728,1
211,2,35,2018,2805,1333,1349,728,0
211,2,36,1401,2636,1333,1349,728,0
211,2,37,2018,2535,1333,1349,728,0
