RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,target
146,86,93,27,19,5,72,0,0,0
81,101,62,52,68,30,11,0,0,0
29,81,57,66,88,26,10,0,0,0
84,58,71,45,60,39,33,0,0,0
71,62,64,40,97,37,23,0,0,0
22,28,63,72,86,46,23,0,22,0
72,64,62,30,98,40,30,0,0,0
80,55,63,23,108,39,35,0,0,0
131,109,60,53,31,38,38,0,0,0
79,45,62,52,88,39,46,0,9,0
14,23,48,68,105,49,25,0,20,0
82,29,68,43,90,42,58,0,0,0
17,36,45,55,112,51,22,0,20,0
74,34,58,43,106,36,44,0,14,0
82,15,61,47,113,40,53,0,0,0
81,30,56,39,108,40,45,0,0,0
92,20,69,32,100,43,70,0,0,0
155,120,85,19,12,14,95,0,0,0
128,102,74,34,32,5,79,0,0,0
69,47,56,78,68,36,50,0,5,0
75,31,57,62,70,36,54,0,16,0
135,130,76,0,28,2,86,0,0,0
70,27,64,45,74,41,70,0,0,0
76,30,59,51,91,44,61,0,0,0
64,69,52,31,78,32,49,0,0,0
83,43,56,37,89,47,55,0,0,0
95,58,50,56,61,41,49,0,0,0
65,35,50,49,93,38,49,0,0,0
85,13,54,57,103,39,56,0,0,0
92,50,51,44,79,42,52,0,0,0
85,18,58,46,97,43,69,0,11,0
73,32,52,30,111,38,57,0,0,0
87,33,50,39,86,43,58,2,19,0
77,14,49,54,116,42,57,0,4,0
91,21,56,50,84,39,72,0,0,0
12,63,47,37,69,38,59,0,0,0
127,101,55,48,21,33,75,3,0,0
97,25,50,51,85,46,68,0,0,0
158,116,82,2,18,10,106,0,0,0
158,116,82,2,18,10,106,0,0,0
95,28,52,29,92,46,74,0,0,0
79,22,44,36,105,41,65,0,0,0
90,58,41,49,71,41,61,0,0,0
156,92,84,10,17,16,111,0,0,0
93,24,45,35,84,44,73,0,25,0
125,78,50,51,24,37,86,0,0,0
120,56,40,34,67,39,78,0,13,0
172,105,72,9,14,1,114,0,8,0
160,58,78,14,26,12,117,0,0,0
124,84,38,39,31,41,81,0,0,0
165,91,73,3,16,8,118,0,13,0
132,57,36,44,44,42,94,0,9,0
100,74,26,35,77,37,88,0,0,0
109,54,24,44,78,37,91,0,0,0
89,58,23,45,87,33,87,0,7,0
86,11,20,45,124,38,90,0,20,0
2,44,49,29,87,44,43,0,26,0
105,35,50,45,84,42,49,0,0,0
78,77,75,33,88,41,20,0,0,0
78,70,68,35,74,39,36,0,9,0
126,85,64,28,61,13,73,0,0,0
137,97,60,48,15,11,67,17,0,0
153,80,86,18,20,19,105,0,9,0
161,113,81,13,11,0,109,0,0,0
153,77,75,20,27,17,107,0,5,0
145,88,61,29,25,8,100,0,0,0
151,49,67,17,37,18,115,0,14,0
151,49,67,17,41,18,115,0,14,0
151,53,60,20,36,19,114,0,13,0
163,65,60,15,26,11,120,0,2,0
15,133,69,80,22,15,8,0,10,1
116,86,87,43,25,36,40,0,27,1
20,51,61,64,99,49,11,0,0,1
34,67,59,69,80,43,14,0,0,1
22,47,58,66,100,53,15,0,0,1
18,47,60,63,101,51,17,0,0,1
37,75,63,66,47,48,20,0,0,1
32,45,60,66,76,43,21,0,0,1
27,103,54,41,81,24,16,0,11,1
18,31,54,90,79,51,18,0,0,1
19,34,54,100,63,51,18,0,0,1
20,61,47,57,104,43,12,0,0,1
38,72,57,41,75,50,26,0,0,1
21,51,54,67,80,50,22,0,7,1
6,118,30,97,40,58,7,0,0,1
31,68,60,62,67,28,32,0,0,1
13,60,51,60,109,25,20,0,0,1
37,71,51,64,62,49,24,0,8,1
29,46,52,61,82,42,28,0,0,1
35,12,50,88,107,45,24,0,7,1
112,39,75,28,40,46,84,0,19,1
24,38,46,59,95,27,36,0,0,1
16,53,43,70,110,6,45,0,16,1
18,60,37,60,99,26,33,0,0,1
33,22,36,62,112,49,35,0,0,1
119,68,45,57,39,33,62,0,0,1
112,47,64,24,43,46,93,0,12,1
72,8,34,32,122,44,80,0,20,1
56,19,27,79,106,54,56,0,0,1
101,41,29,57,83,42,76,4,0,1
42,26,25,58,111,39,76,3,19,1
67,10,21,73,80,52,97,0,0,1
104,16,22,16,127,23,102,0,17,1
173,96,31,7,6,7,133,0,0,1
168,98,28,33,8,7,122,0,0,1
169,4,0,89,35,56,136,0,28,1
176,0,0,99,0,40,137,33,23,1
177,9,0,22,2,11,142,0,20,1
159,125,0,22,64,9,130,0,6,1
103,91,0,4,129,0,124,0,0,1
171,3,0,12,106,0,140,0,0,1
174,1,0,11,97,0,141,0,0,1
175,17,0,8,28,5,139,0,0,1
123,76,83,42,58,39,32,0,11,1
115,52,91,35,49,42,49,0,0,1
114,72,88,49,46,33,37,0,0,1
106,60,89,56,42,37,39,0,8,1
60,91,70,84,30,46,13,0,0,1
51,64,66,65,56,47,20,0,24,1
40,83,59,60,50,46,17,0,0,1
113,61,77,48,48,40,48,0,0,1
46,39,56,72,85,46,20,0,18,1
55,59,56,61,77,38,26,0,0,1
59,77,50,79,55,44,19,0,0,1
154,57,70,31,70,36,54,0,0,1
121,39,68,68,54,40,57,0,10,1
49,40,63,42,70,38,62,0,0,1
144,94,16,57,26,31,115,0,14,1
143,82,12,77,34,35,106,7,14,1
139,104,4,73,17,26,121,0,15,1
154,93,3,52,35,22,125,0,0,1
170,89,0,52,9,18,138,0,8,1
102,74,92,34,52,40,29,0,0,1
98,90,90,66,21,36,32,0,12,1
101,66,85,41,73,34,28,0,0,1
94,56,89,46,42,37,50,0,23,1
