Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,target
6,1,1,0,2,1,3,2,1,0,3,1,0,1,0,2,2,0,2,2,1,1,0,2,1,2,0,2,1,0,2,2,4,1,4,2,5,4,1,1,0,0,2,2,2,1,1,4,4,1,2,0,2,1,1,0,2,4,1,4,2,0
7,0,3,0,1,1,1,2,1,1,2,2,2,0,2,2,1,2,2,0,2,2,0,1,1,4,2,1,0,2,2,2,4,2,0,2,1,1,1,1,0,1,1,2,1,1,1,1,4,1,1,2,4,2,1,1,1,1,1,2,1,0
14,3,0,2,2,3,2,0,0,2,2,0,1,2,4,1,1,3,3,1,1,1,1,0,2,2,0,2,1,1,2,2,4,2,0,2,0,0,2,1,2,1,0,2,4,1,2,2,2,2,2,1,0,1,2,2,2,2,0,4,2,0
15,3,3,2,1,3,2,1,2,3,3,2,1,3,2,2,3,1,0,1,0,4,4,1,1,4,2,2,1,0,2,2,4,0,4,2,2,2,2,1,2,2,2,2,1,4,4,2,1,4,1,2,2,4,4,4,4,1,1,1,1,0
13,3,1,3,1,0,2,1,1,1,1,1,0,2,2,3,1,0,1,1,1,0,2,2,0,0,1,4,2,0,1,2,4,2,0,2,5,2,4,1,1,1,1,0,4,1,1,1,2,2,1,1,1,4,4,2,0,1,1,1,4,0
32,1,0,2,0,1,3,2,2,2,3,2,2,0,1,0,0,1,0,0,0,0,1,1,4,4,1,0,2,1,2,2,4,0,0,2,0,2,0,2,2,2,1,1,0,0,2,1,4,1,0,2,0,2,0,1,1,0,1,0,2,0
33,1,1,3,3,3,2,0,2,2,0,1,0,2,1,0,1,1,0,0,2,0,0,2,4,2,4,2,1,0,2,2,4,0,1,2,5,4,1,1,1,0,1,1,4,2,1,1,1,4,2,2,4,2,2,1,1,2,1,1,0,0
31,1,1,1,3,1,2,3,2,1,2,2,3,1,1,0,1,2,0,1,1,0,0,2,0,1,1,0,2,1,2,2,4,2,0,2,1,1,0,1,2,2,2,1,0,2,2,1,1,2,2,2,2,4,1,2,4,2,2,2,2,0
42,4,3,2,1,2,0,1,3,0,1,2,2,1,2,1,2,2,0,2,2,1,1,1,4,2,2,0,2,0,2,2,4,2,0,2,2,0,1,1,1,4,1,1,4,2,4,1,1,1,4,2,1,4,1,1,0,2,4,1,1,0
43,0,0,2,1,3,2,0,1,0,2,3,2,2,0,1,1,1,2,2,4,1,0,0,1,4,4,1,0,0,2,2,4,2,0,2,1,1,0,2,2,0,2,4,1,2,2,2,4,2,2,2,0,2,2,2,4,2,0,2,0,0
47,4,3,2,1,2,0,1,3,0,1,2,2,1,2,1,2,2,0,2,2,1,1,1,4,2,2,0,2,0,2,2,4,2,0,2,2,0,1,1,1,4,2,2,4,0,4,1,1,1,4,2,1,4,2,1,1,0,2,4,1,0
48,0,0,2,1,3,2,0,2,0,2,3,2,2,0,1,1,1,3,2,4,1,0,0,1,4,4,1,0,0,2,2,4,2,0,2,1,1,0,1,1,0,2,4,1,2,2,2,4,2,2,2,2,0,2,2,2,4,2,0,2,0
54,3,3,0,0,2,0,3,2,1,3,2,2,0,2,2,0,2,0,0,0,1,1,1,4,2,2,2,0,0,2,2,4,0,2,2,1,4,1,4,2,2,4,2,0,1,1,0,2,2,0,1,0,0,2,2,2,0,2,2,2,0
55,0,0,2,1,3,2,1,0,3,2,3,2,2,0,3,1,1,3,2,0,2,0,0,1,4,4,1,0,2,2,2,4,2,0,2,5,0,1,0,2,2,0,2,0,4,2,4,4,4,1,0,2,1,1,1,4,2,4,4,2,0
56,3,3,0,0,2,0,3,2,3,3,2,2,0,2,2,0,2,0,0,0,1,1,1,4,2,2,2,0,0,2,2,4,0,2,2,1,4,1,4,2,2,4,2,0,1,1,0,2,2,0,1,0,0,2,2,2,0,2,2,2,0
57,0,0,2,1,3,2,1,0,3,2,3,2,2,0,3,1,1,3,2,0,2,0,0,1,4,4,1,0,2,2,2,4,2,0,2,5,0,1,0,2,2,0,2,0,4,2,4,4,4,1,0,2,1,1,1,4,2,4,4,2,0
80,3,3,1,0,1,1,0,1,1,0,1,3,2,0,1,1,3,2,2,2,0,1,0,2,4,2,0,0,4,1,2,4,0,0,2,5,0,4,2,1,1,4,4,4,1,0,1,4,2,1,2,0,2,2,2,2,4,4,1,4,0
81,4,4,2,1,3,1,3,2,2,3,2,0,0,4,3,0,1,0,4,1,4,4,1,4,4,4,0,0,0,2,2,4,0,0,2,2,4,4,2,1,4,1,0,0,1,1,0,2,1,1,4,2,0,2,1,4,2,4,4,4,0
82,1,0,1,1,0,0,2,3,3,1,1,3,2,2,0,0,0,0,4,2,0,0,2,0,1,0,2,0,0,2,2,4,2,0,5,5,1,1,1,1,0,0,1,1,4,2,0,2,2,2,4,2,0,1,1,0,0,2,0,0,0
79,0,1,0,2,0,2,2,0,2,2,1,0,1,1,1,1,3,2,0,0,2,1,4,1,4,1,1,0,0,2,2,4,2,0,2,0,4,1,0,1,1,1,4,2,0,1,2,0,1,1,4,4,2,4,4,2,1,0,1,1,0
92,3,4,2,1,1,1,0,3,1,0,1,1,0,0,1,2,1,1,0,1,1,1,4,2,2,0,1,1,2,2,2,4,2,0,2,5,2,1,1,4,2,2,2,1,4,0,2,1,1,1,4,2,4,1,1,4,2,0,2,1,0
93,1,0,1,2,0,3,1,3,3,3,1,3,1,0,2,0,2,0,2,4,0,1,1,0,2,0,1,1,1,2,2,4,2,0,2,0,2,1,1,1,1,1,0,4,4,1,1,0,0,4,2,1,0,1,1,1,1,1,2,0,0
94,0,3,1,2,2,2,0,2,0,0,3,2,2,2,0,1,1,2,4,1,4,1,1,0,2,0,4,0,1,2,2,4,2,0,2,2,2,1,1,0,2,1,1,1,4,1,0,2,2,1,0,2,2,0,2,2,2,4,4,1,0
