Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),target
2,32,32,77,1
0,12,12,21,1
1,15,15,28,1
2,19,19,37,1
1,23,23,65,0
4,3,3,2,0
2,6,6,8,1
1,11,11,28,0
2,8,8,15,1
5,31,31,77,1
4,22,22,49,0
0,2,2,2,0
2,9,9,21,1
1,12,12,39,0
2,5,5,9,1
2,4,4,5,1
2,13,13,40,1
2,14,14,41,1
2,5,5,9,1
2,2,2,2,1
2,2,2,2,1
4,10,10,21,0
2,5,5,10,1
2,5,5,10,1
9,8,8,10,0
4,13,13,33,0
4,5,5,8,0
4,11,11,27,1
4,4,4,5,1
4,7,7,14,0
1,13,13,49,0
4,9,9,21,1
4,9,9,21,1
4,8,8,19,1
2,15,15,55,0
2,7,7,21,1
2,11,11,39,1
4,5,5,10,1
2,13,13,48,1
4,6,6,15,1
2,12,12,45,1
2,4,4,10,0
2,4,4,10,1
2,4,4,10,0
4,19,19,57,1
4,8,8,21,1
2,8,8,29,0
2,1,1,0,0
2,1,1,0,0
2,1,1,0,0
2,10,10,38,0
2,10,10,38,1
2,5,5,15,0
2,11,11,44,0
4,4,4,8,1
4,18,18,57,1
4,7,7,19,1
2,6,6,21,1
2,15,15,68,0
3,5,5,14,0
2,6,6,22,0
2,7,7,28,1
2,9,9,41,0
4,4,4,10,1
2,2,2,3,1
3,15,15,62,0
2,3,3,8,1
0,1,1,2,0
4,6,6,18,0
1,8,8,43,0
2,3,3,10,0
2,3,3,10,0
4,16,16,59,1
2,1,1,2,0
2,1,1,2,1
2,1,1,2,1
2,3,3,10,1
2,1,1,2,0
2,1,1,2,0
2,1,1,2,0
4,5,5,16,1
2,3,3,10,0
2,3,3,10,0
2,3,3,10,0
2,5,5,21,1
2,5,5,21,0
4,1,1,2,0
4,1,1,2,0
4,1,1,2,0
2,6,6,28,1
4,1,1,2,1
4,1,1,2,0
4,1,1,2,0
4,1,1,2,0
12,10,10,16,0
4,6,6,21,0
3,16,16,71,0
4,8,8,31,1
4,3,3,8,1
5,6,6,19,1
4,7,7,27,1
2,12,12,64,1
4,8,8,33,0
2,4,4,19,0
2,4,4,19,0
6,16,16,58,0
0,7,7,50,0
3,4,4,19,0
2,2,2,8,0
2,9,9,55,0
4,4,4,16,1
4,8,8,38,0
4,4,4,16,0
4,7,7,33,1
2,11,11,69,0
11,23,23,55,0
2,6,6,38,1
4,10,10,52,0
1,6,6,48,0
2,10,10,67,1
2,2,2,10,1
4,4,4,19,1
2,5,5,34,1
2,4,4,26,1
2,3,3,19,0
2,4,4,27,0
4,7,7,38,1
2,3,3,19,0
4,7,7,40,1
2,1,1,4,1
4,4,4,21,0
2,11,11,76,0
2,1,1,4,0
4,5,5,28,0
2,10,10,73,0
2,2,2,13,0
2,4,4,30,0
2,11,11,77,0
9,4,4,13,0
2,1,1,5,0
2,8,8,62,0
5,13,13,71,0
4,2,2,10,0
4,2,2,10,0
4,1,1,3,1
4,2,2,10,1
6,2,2,8,0
2,1,1,5,0
2,1,1,5,1
2,1,1,5,0
2,6,6,49,1
4,5,5,32,0
4,10,10,66,0
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
11,9,9,28,0
11,3,3,10,1
4,4,4,26,1
4,5,5,34,1
2,2,2,15,0
4,3,3,19,1
10,3,3,10,0
2,3,3,28,0
4,11,11,73,0
13,7,7,19,0
11,8,8,26,0
4,4,4,27,0
4,3,3,19,0
8,14,14,65,0
4,4,4,28,1
4,6,6,44,0
4,6,6,44,0
2,3,3,28,0
11,10,10,35,0
2,1,1,8,0
2,4,4,39,1
9,7,7,31,1
4,5,5,39,0
11,6,6,22,0
9,8,8,37,0
4,5,5,44,0
4,6,6,49,0
6,1,1,5,1
4,6,6,49,0
11,8,8,31,0
11,5,5,19,0
2,1,1,10,0
2,6,6,64,0
11,5,5,20,0
11,2,2,8,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,1
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,1
4,0,0,2,1
4,0,0,2,0
4,0,0,2,1
4,0,0,2,1
4,0,0,2,0
4,2,2,17,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,0
4,0,0,2,1
4,0,0,2,0
10,7,7,32,0
14,6,6,19,0
8,9,9,54,0
11,2,2,9,0
4,1,1,8,0
2,3,3,36,0
8,8,8,49,0
8,7,7,44,1
11,21,21,77,0
4,2,2,18,1
11,16,16,67,1
9,1,1,5,0
4,4,4,38,0
11,11,11,49,0
7,11,11,71,0
