col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,target
41,67,57,51,34,58,45,38,34,57,44,43,47,77,67,57,41,65,54,41,35,59,44,41,48,77,68,58,39,73,65,56,34,62,53,47,2
34,57,45,39,34,58,42,41,31,57,44,40,41,66,55,41,34,58,42,39,35,56,44,38,38,73,63,54,35,62,53,45,34,56,45,41,2
34,57,42,42,31,58,42,38,34,50,44,40,34,59,43,39,34,55,42,36,35,56,44,41,34,62,51,43,35,56,45,39,34,56,45,41,2
31,57,42,39,34,51,42,38,31,50,41,38,34,56,43,36,34,55,42,39,29,56,44,41,34,56,43,37,35,56,45,39,34,59,45,41,2
34,50,42,39,31,51,39,36,31,57,44,40,34,56,43,39,28,55,42,39,29,56,47,43,34,56,43,37,35,59,45,39,30,62,49,47,2
31,50,39,37,31,58,42,38,28,57,44,40,28,56,43,39,28,55,45,41,29,59,56,46,34,59,43,37,31,62,49,45,30,62,49,47,2
28,57,45,42,28,58,45,44,31,54,47,40,31,62,55,44,31,65,54,44,32,62,52,43,30,62,51,43,31,59,45,42,30,59,45,41,2
28,57,45,45,31,55,45,38,28,50,44,38,31,66,55,44,31,61,50,41,32,52,41,38,30,59,43,40,31,59,45,39,30,52,42,41,2
28,47,39,37,28,51,39,36,28,54,44,34,31,52,43,33,28,48,42,33,29,52,41,38,27,49,37,34,28,49,39,32,30,46,37,34,3
28,50,39,37,28,55,42,32,28,50,34,38,28,49,43,33,28,51,39,36,29,49,41,35,27,49,37,30,31,46,37,32,30,46,37,30,3
28,54,42,33,28,51,32,36,28,47,38,38,28,52,40,36,28,48,39,33,29,46,41,35,30,46,35,30,31,46,37,28,27,46,39,34,3
25,50,32,33,25,48,36,36,25,47,41,38,28,46,33,33,28,45,32,26,25,46,30,31,27,49,37,30,28,46,37,28,24,46,33,30,3
25,47,36,37,25,48,39,36,28,50,41,38,28,46,33,26,24,45,28,29,25,43,30,28,27,46,35,26,25,46,33,28,24,41,25,25,3
28,50,39,37,25,45,32,32,22,44,38,34,24,43,29,26,22,42,28,26,23,43,30,28,24,41,23,21,25,41,29,23,21,39,29,25,3
22,44,28,29,22,48,28,32,22,44,34,38,24,43,29,26,22,42,28,26,23,43,30,28,24,41,27,21,25,39,25,28,24,39,25,25,3
22,47,28,33,22,45,32,36,22,50,38,40,22,43,29,26,22,42,28,26,25,43,30,31,24,39,23,26,25,39,25,23,21,39,29,34,3
22,44,32,37,22,51,36,38,28,50,51,40,22,43,29,26,24,42,28,29,29,49,34,35,24,39,23,21,22,39,29,32,21,39,39,41,3
22,50,36,39,28,51,49,38,31,54,47,43,24,43,29,29,28,48,32,33,29,52,44,41,21,39,27,30,22,39,39,39,27,43,39,44,3
31,50,42,42,31,58,49,44,34,60,55,50,34,59,43,41,34,58,45,41,39,62,56,46,30,56,43,40,35,56,53,45,34,56,49,47,2
38,60,53,45,38,65,49,48,38,60,55,46,38,62,55,48,38,65,50,44,39,59,52,46,38,62,51,43,39,62,45,45,38,62,49,44,2
34,54,49,42,31,48,53,44,38,57,47,46,38,59,46,41,34,55,45,41,39,56,44,43,34,56,47,40,39,59,49,45,38,59,49,47,2
31,47,53,45,38,58,45,44,41,67,51,50,34,56,46,41,38,55,42,41,39,59,52,46,38,59,47,43,39,59,49,45,34,59,53,47,2
38,57,45,45,41,68,49,48,41,67,55,52,38,56,43,41,38,58,50,44,39,66,56,50,38,59,47,43,35,59,53,45,38,65,53,52,2
41,67,53,51,41,65,57,48,34,60,51,46,38,66,55,48,38,65,57,44,42,66,64,50,38,65,51,48,43,62,49,50,42,65,53,52,2
34,60,49,45,34,55,49,44,34,54,47,50,41,66,51,44,38,58,50,41,46,62,52,46,38,65,55,48,43,62,53,45,42,62,53,47,2
34,54,45,49,34,58,49,44,34,60,51,46,45,62,51,44,41,65,54,48,42,66,56,50,42,62,51,43,43,62,49,45,38,62,49,52,2
34,57,49,45,34,61,49,44,38,64,55,50,41,66,55,48,41,65,54,48,42,62,52,50,42,62,47,43,39,62,49,50,38,62,49,47,2
34,60,49,45,38,65,53,48,38,64,59,46,41,66,55,48,41,61,50,48,42,62,56,46,38,62,47,48,39,62,49,45,38,62,49,47,2
38,64,53,49,38,65,57,44,38,64,55,46,41,62,51,48,41,61,54,44,39,62,56,46,38,62,47,43,39,62,49,45,38,62,49,47,2
38,64,53,45,41,61,45,44,38,60,47,46,38,62,55,44,38,61,54,44,39,59,47,43,38,62,47,43,39,59,49,45,42,59,49,47,2
41,60,45,45,38,61,45,44,34,60,51,43,38,62,55,44,38,58,45,41,39,59,52,50,38,59,47,43,43,59,49,45,38,62,49,47,2
38,54,45,42,34,55,45,41,38,60,44,43,38,62,51,44,38,58,45,39,39,59,47,46,38,65,51,48,39,62,53,45,38,62,53,47,2
34,54,45,42,38,61,42,41,38,57,44,43,38,59,46,39,38,58,45,44,35,56,44,43,38,62,51,43,39,62,53,45,38,62,49,44,2
38,57,42,42,38,55,45,41,34,57,47,43,34,56,43,41,34,58,45,39,39,56,44,43,38,62,47,40,35,56,45,45,30,56,42,41,2
38,54,45,42,34,58,45,41,38,64,51,46,34,59,46,39,38,55,42,41,35,59,47,43,34,56,43,43,31,56,42,39,38,52,42,41,2
34,57,45,42,38,65,49,44,38,64,47,46,38,56,43,41,34,58,45,41,39,52,44,41,30,56,40,37,39,52,42,39,38,52,42,44,2
38,64,45,45,38,61,49,44,34,60,47,46,38,52,43,39,34,55,45,41,39,59,52,43,38,52,40,40,39,59,42,42,38,59,49,44,2
34,60,45,45,34,61,49,48,34,60,55,46,38,59,51,41,38,61,50,41,39,59,47,43,38,59,47,40,39,59,53,42,34,59,45,44,2
34,60,53,45,38,61,49,44,38,60,47,46,38,59,46,41,38,58,50,41,39,56,44,43,34,59,43,40,35,56,49,42,34,59,45,44,2
38,60,49,45,38,61,45,44,34,60,47,46,38,59,51,41,38,55,42,41,35,56,44,43,34,56,47,40,35,59,45,42,38,56,42,41,2
38,60,45,45,34,61,45,44,34,57,51,43,38,56,43,41,34,55,42,41,35,56,44,41,34,59,43,40,39,56,42,39,34,56,45,41,2
34,57,49,42,34,55,39,41,31,54,44,43,34,56,43,39,34,55,39,39,32,49,38,38,34,56,43,37,31,52,42,39,30,56,42,44,2
34,54,39,42,31,55,42,41,31,50,44,43,34,56,40,39,31,48,36,36,32,46,38,35,30,52,40,37,31,56,42,42,30,52,42,44,2
31,50,42,42,28,48,39,38,22,39,38,40,31,46,37,33,24,38,28,36,18,20,30,35,30,52,40,40,31,49,45,39,27,41,39,41,4
28,47,39,39,22,40,36,38,17,27,22,38,24,39,29,36,17,19,28,33,15,27,30,38,30,49,43,37,28,41,39,39,27,43,39,41,4
17,27,20,37,19,38,32,36,31,50,47,43,14,27,29,36,24,40,39,39,32,52,41,43,27,43,37,37,35,56,45,42,34,56,45,44,4
19,37,32,37,31,51,45,41,34,54,44,43,24,41,40,39,31,51,39,41,32,49,41,41,34,56,43,40,35,56,45,42,30,52,42,38,5
31,50,42,37,28,51,36,32,25,41,26,30,28,43,33,33,24,40,28,29,25,41,22,28,27,43,27,30,25,39,29,28,24,41,21,30,5
25,41,24,29,22,38,20,25,19,33,22,27,24,41,21,26,24,40,24,26,25,41,22,24,24,41,19,26,25,39,25,28,21,37,25,30,5
22,37,20,26,19,34,20,25,22,39,30,27,24,41,25,26,24,40,20,22,23,39,22,28,24,39,23,26,22,37,25,28,21,30,25,30,5
22,39,28,26,19,31,28,28,15,20,22,34,22,39,21,26,17,32,20,26,13,20,18,31,21,30,23,26,17,27,21,32,13,20,29,30,4
19,30,28,29,15,21,20,32,12,15,15,27,17,33,21,26,12,19,16,29,13,20,14,24,16,27,19,30,14,20,29,28,13,17,18,30,4
15,20,20,33,12,16,13,25,15,15,18,27,12,20,17,29,12,19,12,22,15,20,14,24,13,20,27,26,14,17,18,28,13,15,14,25,4
15,15,16,26,12,16,16,28,12,17,18,30,14,20,13,22,14,16,8,22,13,17,10,28,13,15,12,21,11,15,14,28,10,15,14,30,4
47,76,67,59,41,66,55,42,34,58,45,42,48,77,68,58,38,72,62,54,35,62,52,45,40,67,54,48,41,67,60,52,43,77,64,61,2
41,65,55,43,34,59,43,40,34,55,45,39,38,73,63,54,34,61,50,43,35,56,44,39,40,67,58,50,44,79,64,59,43,75,64,58,2
34,58,43,41,34,56,43,37,34,55,45,42,34,62,51,43,34,55,42,37,35,56,44,39,43,79,62,57,44,75,64,56,32,57,48,45,2
34,55,43,38,34,56,43,40,28,55,45,42,34,56,43,37,34,55,42,37,35,59,44,39,43,75,62,54,33,57,48,43,32,57,48,43,2
34,55,43,41,28,56,43,40,28,55,48,44,34,56,43,37,34,58,42,37,31,62,48,45,32,57,46,41,33,57,48,41,32,57,45,40,2
28,55,46,43,28,59,55,45,31,61,57,47,30,62,47,43,30,61,46,43,31,62,52,45,32,57,43,36,30,57,45,41,32,60,45,45,2
28,58,55,46,31,62,55,45,31,65,57,47,30,62,47,43,30,61,50,43,31,59,44,42,29,57,43,39,33,60,45,43,32,60,48,45,2
31,61,55,46,31,66,55,45,31,61,53,44,30,62,51,43,30,58,42,40,31,59,44,39,32,60,43,41,33,60,48,43,32,57,48,45,2
31,65,55,46,31,62,51,42,31,51,42,39,30,59,43,40,30,58,42,37,31,52,41,39,32,60,46,41,33,57,48,43,29,53,39,40,2
31,48,40,38,31,49,40,34,31,51,45,36,30,52,40,34,27,51,39,37,28,49,38,36,26,49,34,29,30,49,39,35,26,46,36,33,3
31,51,43,35,28,49,43,34,28,51,42,39,27,49,37,34,27,48,36,30,31,46,36,32,26,46,34,29,27,46,32,31,29,46,28,33,3
28,48,43,35,28,52,40,37,28,48,42,36,27,49,37,30,30,45,34,30,31,46,36,28,26,46,30,29,30,46,28,31,26,46,32,29,3
