Alcohol,Malicacid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,0D280_0D315_of_diluted_wines,Proline,class
118,43,44,12,45,73,107,11,87,81,49,120,94,0
65,49,18,1,21,68,91,9,31,56,50,102,92,0
63,71,63,32,22,73,115,13,96,83,48,86,101,0
121,59,49,21,33,95,122,7,84,109,30,104,116,0
67,81,75,45,37,73,89,20,66,53,49,73,66,0
115,47,46,10,32,89,120,17,75,97,50,68,115,0
123,54,46,7,17,59,80,13,76,72,47,113,110,0
109,68,59,27,40,63,79,14,29,68,51,113,111,0
125,37,21,6,18,73,102,12,76,70,53,68,91,0
103,20,30,13,19,81,110,6,68,103,46,110,91,0
110,69,33,29,26,79,119,6,90,85,68,86,117,0
111,27,35,21,16,46,76,9,51,66,61,65,108,0
96,45,42,13,10,63,91,12,65,80,59,71,113,0
124,45,40,2,12,84,127,24,96,75,68,59,100,0
122,54,39,3,23,90,125,12,98,105,64,75,119,0
87,51,66,24,32,75,98,13,45,104,70,70,112,0
119,58,67,40,39,73,109,16,75,91,52,55,108,0
101,32,60,40,34,79,121,21,62,95,58,53,99,0
114,33,48,18,29,90,130,15,69,116,66,65,120,0
88,91,55,10,35,69,105,2,57,69,41,98,76,0
109,36,31,13,44,82,111,7,82,82,54,118,71,0
55,106,62,32,23,54,75,8,76,59,48,108,70,0
92,53,37,19,22,64,95,10,59,41,56,121,90,0
51,34,51,28,16,58,74,9,45,45,54,115,88,0
81,51,59,40,17,60,84,11,57,36,57,119,76,0
59,63,77,56,43,66,88,27,72,37,58,89,73,0
75,48,60,14,14,75,100,17,44,63,37,91,103,0
71,44,18,22,15,53,66,10,35,47,47,62,109,0
104,57,72,37,28,79,101,19,63,59,68,102,82,0
108,41,24,13,17,68,73,9,76,62,49,114,90,0
94,28,66,49,22,82,116,12,90,84,63,57,109,0
85,39,37,36,27,76,113,6,73,99,54,70,118,0
90,52,37,24,25,55,89,23,75,42,66,69,87,0
97,31,66,38,47,79,90,29,35,75,68,75,104,0
82,50,62,35,30,51,81,12,48,50,55,69,96,0
79,51,42,42,21,69,102,9,69,69,49,105,83,0
69,37,73,11,30,63,88,17,36,60,54,63,79,0
59,38,54,29,19,56,76,12,43,51,57,51,97,0
60,28,15,11,19,53,86,11,37,39,62,56,89,0
117,115,50,5,46,82,106,4,81,69,33,109,69,0
84,43,34,15,36,85,118,17,88,90,40,100,72,0
77,108,16,33,11,56,88,10,46,52,36,75,90,0
105,56,57,9,22,88,124,2,60,76,32,111,96,0
67,114,32,26,24,67,85,15,57,55,27,75,58,0
59,48,15,22,28,82,104,11,79,67,32,97,80,0
116,116,45,34,31,75,87,13,29,71,31,96,95,0
122,103,31,13,23,88,111,10,85,64,49,103,94,0
106,41,16,13,22,84,120,5,83,89,36,96,86,0
110,62,41,33,24,72,99,15,90,91,52,61,93,0
107,45,30,25,29,77,123,15,81,117,57,81,105,0
59,45,14,4,13,70,117,2,97,102,57,72,100,0
101,38,58,24,15,56,103,6,87,80,67,99,106,0
100,46,43,6,31,96,128,15,70,100,46,92,102,0
98,57,64,23,34,82,93,20,58,93,58,73,114,0
95,40,28,17,37,63,97,5,53,86,37,89,93,0
84,45,47,42,35,80,92,4,91,92,43,77,98,0
117,42,33,16,37,87,104,9,79,94,39,95,85,0
70,60,64,21,23,82,114,14,57,88,52,67,107,0
93,24,49,20,29,92,126,3,80,98,33,69,109,0
31,4,0,0,9,39,9,11,1,3,50,26,37,1
28,10,31,13,22,42,29,37,0,31,68,17,58,1
41,21,13,21,21,41,40,31,3,85,43,12,24,1
89,16,7,29,15,43,52,15,6,41,66,47,51,1
31,11,20,35,8,93,108,3,70,58,65,69,19,1
22,25,52,35,25,34,50,26,19,24,76,40,8,1
31,14,55,30,19,55,87,19,81,60,63,43,57,1
62,7,1,9,1,81,112,9,86,74,57,87,34,1
