Sequence_Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,target
32,42,46,25,10,0,0,28,8,6
33,27,52,26,24,0,0,33,8,6
34,48,47,27,12,0,0,33,8,6
2,42,29,35,10,0,0,34,8,7
4,26,29,26,51,0,0,28,8,6
3,35,25,34,14,0,1,29,8,0
5,34,39,26,62,0,0,33,8,6
100,32,30,37,17,0,0,38,20,7
6,39,35,44,33,0,0,29,8,6
7,24,24,38,12,0,0,38,16,0
8,27,24,32,18,0,0,33,13,7
9,26,22,37,17,0,0,32,15,7
11,24,27,35,32,0,0,33,11,0
13,44,25,30,43,0,0,33,8,6
16,50,40,23,16,0,0,26,8,6
20,30,29,30,8,0,0,30,8,0
17,31,24,28,8,0,0,29,26,0
18,42,32,32,8,0,0,31,12,7
19,34,19,33,18,0,0,29,8,7
21,45,45,33,18,0,0,30,11,7
115,29,25,28,13,0,0,30,8,0
819,27,29,26,19,0,0,31,8,0
818,57,48,20,27,0,0,29,8,0
25,27,38,30,10,0,0,35,8,0
26,30,38,30,12,0,0,38,8,0
27,35,36,30,48,0,0,34,8,6
28,43,30,31,16,0,0,39,13,0
501,41,32,38,15,0,0,31,8,0
502,47,52,35,21,0,0,29,8,6
29,64,73,14,36,0,0,36,19,3
30,37,39,21,7,0,0,37,18,7
35,35,36,21,76,0,0,32,8,6
36,22,46,39,9,0,0,33,33,0
881,17,40,29,40,0,0,31,8,7
37,62,59,20,23,0,0,23,8,3
38,58,52,25,31,0,0,22,8,2
1446,56,46,23,27,0,0,34,11,6
1181,24,30,35,15,0,0,36,12,0
259,43,38,21,41,0,0,30,8,6
260,41,38,31,31,0,0,33,8,6
41,70,53,17,21,0,0,34,8,4
42,70,59,29,37,0,0,35,8,4
396,63,42,19,25,0,0,39,8,4
43,25,39,17,17,0,0,31,8,5
566,21,21,34,15,0,0,28,12,9
49,37,16,36,36,0,0,27,23,7
50,58,60,36,44,0,0,20,21,4
54,33,24,30,26,0,0,28,8,2
55,58,42,29,25,0,0,38,8,9
44,26,9,12,13,0,0,30,8,5
24,32,24,29,18,0,0,32,14,0
1385,25,38,23,11,0,0,32,52,5
56,29,31,33,40,0,0,35,24,7
58,40,33,36,24,0,0,31,8,0
59,48,44,34,20,0,0,26,8,0
60,48,41,34,19,0,0,25,8,0
72,50,47,27,7,0,0,29,8,0
701,37,29,29,30,0,0,35,8,0
66,22,34,31,16,0,0,30,8,0
57,29,43,26,64,0,0,32,8,6
64,27,20,30,49,0,0,34,8,6
61,21,17,25,15,0,0,25,11,7
62,32,28,29,29,0,0,32,29,7
63,25,31,37,16,0,0,38,13,7
67,38,33,22,5,0,0,32,13,0
68,44,32,23,19,0,0,31,15,0
69,18,31,35,6,0,0,35,8,0
70,32,39,33,9,0,0,31,8,0
182,31,24,37,12,0,0,37,8,0
71,65,70,25,34,0,0,36,8,2
73,32,27,30,21,0,0,36,8,0
78,42,36,27,24,0,0,37,15,0
81,44,35,22,58,0,0,27,8,6
88,29,40,32,63,0,0,27,8,6
97,30,34,36,20,0,0,24,8,6
94,33,27,34,52,0,0,22,11,6
95,47,38,32,37,0,0,30,8,6
96,34,39,31,51,0,0,31,13,6
91,47,42,37,37,0,0,18,8,6
89,27,42,29,46,0,0,28,8,6
92,32,30,33,47,0,0,33,8,6
90,34,43,24,43,0,0,26,8,6
93,35,39,38,54,0,0,38,8,6
85,38,37,41,34,0,0,26,8,6
86,51,47,18,40,0,2,30,8,6
98,12,43,0,10,0,0,31,8,5
1351,23,29,13,13,0,0,35,8,5
101,64,48,23,26,0,0,31,8,2
102,34,37,37,27,0,0,31,21,7
103,26,32,30,38,0,0,33,18,0
104,20,31,40,43,0,0,31,19,0
105,30,23,25,19,0,0,32,13,6
506,24,30,34,17,0,0,25,8,0
106,17,28,42,13,0,0,32,38,7
107,33,46,27,22,0,0,30,14,0
108,22,35,15,23,0,0,23,8,5
109,53,55,30,33,0,0,26,8,2
228,45,57,17,30,0,0,38,8,6
1444,62,60,18,25,0,0,33,8,6
110,48,42,35,24,0,0,17,8,0
112,20,43,13,21,0,0,24,8,5
113,20,28,17,9,0,0,29,8,5
114,31,37,28,37,0,0,21,8,0
119,32,8,35,24,0,0,28,33,7
126,31,24,33,21,0,0,27,8,0
124,28,44,14,13,0,0,32,8,5
127,26,20,32,15,0,0,36,8,0
128,14,41,33,15,0,0,30,8,0
65,49,50,30,13,0,0,40,8,0
686,11,45,26,20,0,0,35,8,0
118,29,26,28,43,0,1,30,13,8
133,28,37,19,20,0,0,31,8,7
139,14,17,35,16,0,0,28,41,7
137,24,29,27,44,0,0,29,13,7
140,29,36,28,13,0,0,32,67,7
141,29,30,28,57,0,0,29,8,6
142,43,52,34,38,0,0,27,8,6
143,31,32,35,45,0,0,28,8,6
144,19,37,26,19,0,0,7,8,6
145,31,26,44,23,0,0,33,8,6
657,48,47,7,25,0,0,31,8,6
148,39,38,33,43,0,0,32,8,6
149,51,47,32,40,0,0,33,8,6
1237,43,45,27,40,0,0,33,17,6
99,38,40,12,28,0,0,34,8,5
167,42,47,32,14,0,0,28,8,6
169,24,23,31,13,0,0,32,13,7
170,30,56,26,50,0,0,33,8,6
171,37,36,33,2,0,0,25,11,7
223,25,25,37,44,0,0,28,29,0
150,34,49,35,12,0,0,27,8,0
151,24,47,30,28,0,0,29,17,0
152,44,35,35,22,0,0,21,12,0
153,46,36,30,39,0,0,34,13,7
154,19,43,32,13,0,0,31,8,7
155,18,39,28,18,0,0,34,17,0
156,23,43,28,23,0,0,34,45,5
157,32,39,28,14,0,0,33,8,7
172,13,17,36,12,0,0,30,16,0
158,31,17,42,27,0,0,43,8,7
471,23,32,34,13,0,0,27,8,0
1273,42,33,29,44,0,0,35,8,7
674,48,45,35,16,0,0,23,8,7
673,21,31,18,24,0,0,25,8,7
163,27,42,31,13,0,0,34,8,0
159,12,22,39,6,0,0,32,41,7
160,43,33,28,11,0,0,25,11,0
120,23,40,26,28,0,0,34,15,0
889,10,21,25,31,0,0,33,58,7
161,35,19,28,16,0,0,30,8,7
1339,42,35,28,9,0,0,28,11,7
162,28,24,31,11,0,0,34,30,0
165,25,24,22,31,0,0,28,26,7
1193,29,28,29,21,0,0,34,19,0
164,20,53,24,13,0,0,33,14,7
166,26,16,28,12,0,0,33,8,7
534,26,28,34,7,0,0,29,8,0
270,51,56,30,62,0,0,33,22,7
576,33,32,31,13,0,0,28,13,7
173,55,44,26,40,0,0,39,8,6
935,24,27,48,18,0,0,34,18,0
935,24,27,48,18,0,0,34,18,0
193,38,34,27,17,0,0,32,8,0
180,26,36,28,9,0,0,32,32,7
181,41,36,31,15,0,0,36,11,7
802,19,30,21,8,0,0,36,8,5
720,26,27,20,17,0,0,29,8,5
183,10,35,11,25,0,0,31,8,5
184,23,27,16,37,0,0,29,33,5
185,10,29,8,8,0,0,31,33,5
186,15,29,31,20,0,0,31,18,7
187,32,46,22,17,0,0,27,8,0
188,50,30,28,20,0,0,29,8,0
189,5,26,33,8,0,0,30,13,0
190,22,53,22,42,0,0,33,8,6
191,28,23,26,29,0,2,33,8,8
509,15,16,34,30,0,0,32,19,7
510,33,16,27,32,0,0,31,15,7
511,22,22,34,18,0,0,29,8,7
520,23,25,31,64,0,0,27,8,0
192,8,19,47,15,0,0,32,8,0
174,33,28,29,10,0,0,27,8,0
175,38,23,30,15,0,0,28,8,0
176,27,42,31,50,0,0,33,11,0
122,32,49,39,20,0,0,40,8,0
512,15,40,30,14,0,0,32,8,0
513,16,42,28,12,0,0,33,8,0
703,16,27,30,21,0,0,40,8,0
704,43,35,30,25,0,0,35,11,0
121,21,27,29,8,0,0,37,8,0
123,59,55,16,24,0,0,29,8,3
229,45,57,9,30,0,0,36,8,6
197,28,27,38,18,0,0,37,8,0
198,36,36,29,51,0,0,35,13,6
199,47,41,23,55,0,0,31,8,6
200,36,41,32,50,0,0,25,8,6
1284,42,43,36,46,0,0,29,12,6
201,56,47,12,26,0,0,36,14,6
202,56,46,15,27,0,0,37,8,6
