animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,target
0,1,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,0
1,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
2,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
3,1,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,0
4,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
5,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
6,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1,0
7,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,3
8,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
9,1,0,0,1,0,0,0,1,1,1,0,0,2,0,1,0,0
10,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,0
11,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
12,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
14,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,6
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
16,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
17,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
19,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
20,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
21,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
22,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
23,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1
24,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,5
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0,4
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0,4
26,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0
27,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
28,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0
29,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,5
30,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1,0
31,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0
32,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1
33,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
34,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,0,0
35,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0
36,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
37,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
38,1,0,1,0,1,0,0,0,0,1,1,0,4,0,1,0,5
